Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
2	Antas 	S2	28/07/2015	29	down	20/06/2016	3	50	8	0	0	0	0	0	0
2	Monti	S2	28/07/2015	30	down	20/06/2016	3	50	40	6	6	0	0	0	0
3	Denmark	S2	28/07/2015	31	down	20/06/2016	3	50	43	1	1	0	0	0	0
3	Antas 	S2	28/07/2015	32	down	20/06/2016	3	50	28	2	2	0	0	0	0
3	Monti	S2	28/07/2015	33	down	20/06/2016	3	50	40	5	3	0	2	0	0
3	Woogenellup	S2	28/07/2015	34	down	20/06/2016	3	50	7	0	0	0	0	0	0
3	Leura	S2	28/07/2015	35	down	20/06/2016	3	50	32	2	2	0	0	0	0
3	Narrikup	S2	28/07/2015	36	down	20/06/2016	3	50	14	1	1	0	0	0	0
1	Antas 	S1	24/06/2015	1	up	25/06/2016	5	50	32	3	3	0	0	0	0
1	Monti	S1	24/06/2015	2	up	25/06/2016	5	50	34	3	2	0	1	0	0
1	Denmark	S1	24/06/2015	3	up	25/06/2016	5	50	32	1	1	0	0	0	0
1	Leura	S1	24/06/2015	4	up	25/06/2016	5	50	37	0	0	0	0	0	0
1	Narrikup	S1	24/06/2015	5	up	25/06/2016	5	50	40	0	0	0	0	0	0
1	Woogenellup	S1	24/06/2015	6	up	25/06/2016	5	50	30	1	1	0	0	0	0
2	Antas 	S1	24/06/2015	7	up	25/06/2016	5	50	39	3	2	0	1	0	0
2	Woogenellup	S1	24/06/2015	8	up	25/06/2016	5	50	35	1	1	0	0	0	0
2	Denmark	S1	24/06/2015	9	up	25/06/2016	5	50	37	3	3	0	0	0	0
2	Monti	S1	24/06/2015	10	up	25/06/2016	5	50	37	3	3	0	0	0	0
2	Narrikup	S1	24/06/2015	11	up	25/06/2016	5	50	32	2	1	0	1	0	0
2	Leura	S1	24/06/2015	12	up	25/06/2016	5	50	33	1	1	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	up	25/06/2016	5	50	38	3	3	0	0	0	0
3	Antas 	S1	24/06/2015	14	up	25/06/2016	5	50	41	1	0	0	1	0	0
3	Monti	S1	24/06/2015	15	up	25/06/2016	5	50	35	8	8	0	0	0	0
3	Narrikup	S1	24/06/2015	16	up	25/06/2016	5	50	41	3	3	0	0	0	0
3	Denmark	S1	24/06/2015	17	up	25/06/2016	5	50	37	2	2	0	0	0	0
3	Leura	S1	24/06/2015	18	up	25/06/2016	5	50	22	0	0	0	0	0	0
1	Antas 	S1	24/06/2015	1	down	25/06/2016	5	24	14	2	2	0	0	0	0
1	Monti	S1	24/06/2015	2	down	25/06/2016	5	50	37	4	4	0	0	0	0
1	Denmark	S1	24/06/2015	3	down	25/06/2016	5	50	25	0	0	0	0	0	0
1	Leura	S1	24/06/2015	4	down	25/06/2016	5	50	23	0	0	0	0	0	0
1	Narrikup	S1	24/06/2015	5	down	25/06/2016	5	50	36	1	1	0	0	0	0
1	Woogenellup	S1	24/06/2015	6	down	25/06/2016	5	50	31	0	0	0	0	0	0
2	Antas 	S1	24/06/2015	7	down	25/06/2016	5	50	36	2	2	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	down	25/06/2016	5	50	35	0	0	0	0	0	0
2	Denmark	S1	24/06/2015	9	down	25/06/2016	5	50	38	3	3	0	0	0	0
2	Monti	S1	24/06/2015	10	down	25/06/2016	5	50	35	5	5	0	0	0	0
2	Narrikup	S1	24/06/2015	11	down	25/06/2016	5	50	34	1	1	0	0	0	0
2	Leura	S1	24/06/2015	12	down	25/06/2016	5	50	28	0	0	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	down	25/06/2016	5	50	32	1	1	0	0	0	0
3	Antas 	S1	24/06/2015	14	down	25/06/2016	5	50	29	3	3	0	0	0	0
3	Monti	S1	24/06/2015	15	down	25/06/2016	5	50	38	5	5	0	0	0	0
3	Narrikup	S1	24/06/2015	16	down	25/06/2016	5	50	41	3	3	0	0	0	0
3	Denmark	S1	24/06/2015	17	down	25/06/2016	5	50	31	2	2	0	0	0	0
3	Leura	S1	24/06/2015	18	down	25/06/2016	5	50	27	1	0	1	0	0	0
1	Denmark	S3	15/09/2015	37	up	25/06/2016	2	50	42	1	1	0	0	0	0
1	Antas 	S3	15/09/2015	38	up	25/06/2016	2	50	30	2	2	0	0	0	0
1	Woogenellup	S3	15/09/2015	39	up	25/06/2016	2	50	42	1	1	0	0	0	0
1	Leura	S3	15/09/2015	40	up	25/06/2016	2	50	49	0	0	0	0	0	0
1	Narrikup	S3	15/09/2015	41	up	25/06/2016	2	50	40	1	1	0	0	0	0
1	Monti	S3	15/09/2015	42	up	25/06/2016	2	50	48	0	0	0	0	0	0
2	Woogenellup	S3	15/09/2015	43	up	25/06/2016	2	50	40	0	0	0	0	0	0
2	Leura	S3	15/09/2015	44	up	25/06/2016	2	50	45	0	0	0	0	0	0
2	Narrikup	S3	15/09/2015	45	up	25/06/2016	2	50	45	1	1	0	0	0	0
2	Antas 	S3	15/09/2015	46	up	25/06/2016	2	50	39	2	2	0	0	0	0
2	Denmark	S3	15/09/2015	47	up	25/06/2016	2	50	47	0	0	0	0	0	0
2	Monti	S3	15/09/2015	48	up	25/06/2016	2	50	44	0	0	0	0	0	0
3	Leura	S3	15/09/2015	49	up	25/06/2016	2	50	47	0	0	0	0	0	0
3	Woogenellup	S3	15/09/2015	50	up	25/06/2016	2	50	43	1	1	0	0	0	0
3	Antas 	S3	15/09/2015	51	up	25/06/2016	2	50	38	2	1	0	1	0	0
3	Monti	S3	15/09/2015	52	up	25/06/2016	2	50	48	1	1	0	0	0	0
3	Narrikup	S3	15/09/2015	53	up	25/06/2016	2	50	43	0	0	0	0	0	0
3	Denmark	S3	15/09/2015	54	up	25/06/2016	2	50	44	1	1	0	0	0	0
1	Denmark	S3	15/09/2015	37	down	25/06/2016	2	50	37	1	1	0	0	0	0
1	Antas 	S3	15/09/2015	38	down	25/06/2016	2	50	16	0	0	0	0	0	0
1	Woogenellup	S3	15/09/2015	39	down	25/06/2016	2	50	34	2	1	1	0	0	0
1	Leura	S3	15/09/2015	40	down	25/06/2016	2	50	41	0	0	0	0	0	0
1	Narrikup	S3	15/09/2015	41	down	25/06/2016	2	50	43	0	0	0	0	0	0
1	Monti	S3	15/09/2015	42	down	25/06/2016	2	50	44	1	0	1	0	0	0
2	Woogenellup	S3	15/09/2015	43	down	25/06/2016	2	50	37	0	0	0	0	0	0
2	Leura	S3	15/09/2015	44	down	25/06/2016	2	50	37	0	0	0	0	0	0
2	Narrikup	S3	15/09/2015	45	down	25/06/2016	2	50	37	0	0	0	0	0	0
2	Antas 	S3	15/09/2015	46	down	25/06/2016	2	50	30	1	1	0	0	0	0
2	Denmark	S3	15/09/2015	47	down	25/06/2016	2	50	40	1	0	0	0	1	0
2	Monti	S3	15/09/2015	48	down	25/06/2016	2	50	46	1	0	1	0	0	0
3	Leura	S3	15/09/2015	49	down	25/06/2016	2	50	46	1	0	1	0	0	0
3	Woogenellup	S3	15/09/2015	50	down	25/06/2016	2	50	41	0	0	0	0	0	0
3	Antas 	S3	15/09/2015	51	down	25/06/2016	2	50	30	2	2	0	0	0	0
3	Monti	S3	15/09/2015	52	down	25/06/2016	2	50	44	2	1	1	0	0	0
3	Narrikup	S3	15/09/2015	53	down	25/06/2016	2	50	39	0	0	0	0	0	0
3	Denmark	S3	15/09/2015	54	down	25/06/2016	2	50	49	0	0	0	0	0	0
1	Narrikup	S4	5/11/2015	55	up	6/07/2016	1	50	50	7	5	0	0	2	0
1	Antas 	S4	5/11/2015	56	up	6/07/2016	1	50	50	28	25	0	2	1	0
1	Denmark	S4	5/11/2015	57	up	6/07/2016	1	50	50	11	6	0	1	4	0
1	Leura	S4	5/11/2015	58	up	6/07/2016	1	50	50	9	5	0	0	4	0
1	Monti	S4	5/11/2015	59	up	6/07/2016	1	50	50	6	6	0	0	0	0
1	Woogenellup	S4	5/11/2015	60	up	6/07/2016	1	50	50	11	6	0	3	2	0
2	Antas 	S4	5/11/2015	61	up	6/07/2016	1	50	50	34	28	0	0	6	0
2	Woogenellup	S4	5/11/2015	62	up	6/07/2016	1	50	50	6	0	0	4	2	0
2	Narrikup	S4	5/11/2015	63	up	6/07/2016	1	50	50	18	6	0	4	8	0
2	Leura	S4	5/11/2015	64	up	6/07/2016	1	50	50	14	7	0	2	5	0
2	Denmark	S4	5/11/2015	65	up	6/07/2016	1	50	50	2	1	0	1	0	0
2	Monti	S4	5/11/2015	66	up	6/07/2016	1	50	50	12	7	0	2	3	0
3	Leura	S4	5/11/2015	67	up	6/07/2016	1	50	50	16	4	1	9	2	0
3	Monti	S4	5/11/2015	68	up	6/07/2016	1	50	50	28	8	0	3	17	0
3	Narrikup	S4	5/11/2015	69	up	6/07/2016	1	50	50	8	4	0	3	1	0
3	Antas 	S4	5/11/2015	70	up	6/07/2016	1	50	50	26	19	0	2	5	0
3	Woogenellup	S4	5/11/2015	71	up	6/07/2016	1	50	50	7	2	0	1	4	0
3	Denmark	S4	5/11/2015	72	up	6/07/2016	1	50	50	10	9	0	0	1	0
1	Narrikup	S4	5/11/2015	55	down	6/07/2016	1	50	50	20	6	2	8	4	0
1	Antas 	S4	5/11/2015	56	down	6/07/2016	1	50	32	20	13	0	1	6	0
1	Denmark	S4	5/11/2015	57	down	6/07/2016	1	50	50	5	4	0	0	1	0
1	Leura	S4	5/11/2015	58	down	6/07/2016	1	50	17	4	2	0	1	1	0
1	Monti	S4	5/11/2015	59	down	6/07/2016	1	50	50	6	3	0	0	3	0
1	Woogenellup	S4	5/11/2015	60	down	6/07/2016	1	50	50	16	5	0	5	6	0
2	Antas 	S4	5/11/2015	61	down	6/07/2016	1	50	50	21	14	0	1	6	0
2	Woogenellup	S4	5/11/2015	62	down	6/07/2016	1	50	50	18	0	0	9	9	0
2	Narrikup	S4	5/11/2015	63	down	6/07/2016	1	50	50	15	9	0	4	2	0
2	Leura	S4	5/11/2015	64	down	6/07/2016	1	50	3	2	2	0	0	0	0
2	Denmark	S4	5/11/2015	65	down	6/07/2016	1	50	50	1	1	0	0	0	0
2	Monti	S4	5/11/2015	66	down	6/07/2016	1	50	50	13	11	0	0	2	0
3	Leura	S4	5/11/2015	67	down	6/07/2016	1	50	50	15	8	0	7	0	0
3	Monti	S4	5/11/2015	68	down	6/07/2016	1	50	50	15	10	0	1	4	0
3	Narrikup	S4	5/11/2015	69	down	6/07/2016	1	50	50	13	3	0	8	2	0
3	Antas 	S4	5/11/2015	70	down	6/07/2016	1	50	50	21	18	0	3	0	0
3	Woogenellup	S4	5/11/2015	71	down	6/07/2016	1	50	50	8	2	0	1	5	0
3	Denmark	S4	5/11/2015	72	down	6/07/2016	1	50	50	18	3	1	9	5	0
1	Narrikup	S2	28/07/2015	19	up	12/07/2016	4	50	25	3	3	0	0	0	0
1	Monti	S2	28/07/2015	20	up	12/07/2016	4	50	44	2	2	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	up	12/07/2016	4	50	37	1	0	0	0	1	0
1	Leura	S2	28/07/2015	22	up	12/07/2016	4	50	43	0	0	0	0	0	0
1	Denmark	S2	28/07/2015	23	up	12/07/2016	4	50	27	0	0	0	0	0	0
1	Antas 	S2	28/07/2015	24	up	12/07/2016	4	50	32	1	1	0	0	0	0
2	Leura	S2	28/07/2015	25	up	12/07/2016	4	50	25	0	0	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	up	12/07/2016	4	50	23	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	up	12/07/2016	4	50	36	3	3	0	0	0	0
2	Narrikup	S2	28/07/2015	28	up	12/07/2016	4	50	23	4	4	0	0	0	0
2	Antas 	S2	28/07/2015	29	up	12/07/2016	4	50	9	1	1	0	0	0	0
2	Monti	S2	28/07/2015	30	up	12/07/2016	4	50	35	5	4	0	1	0	0
3	Denmark	S2	28/07/2015	31	up	12/07/2016	4	50	40	1	1	0	0	0	0
3	Antas 	S2	28/07/2015	32	up	12/07/2016	4	50	32	1	1	0	0	0	0
3	Monti	S2	28/07/2015	33	up	12/07/2016	4	50	39	4	4	0	0	0	0
3	Woogenellup	S2	28/07/2015	34	up	12/07/2016	4	50	20	0	0	0	0	0	0
3	Leura	S2	28/07/2015	35	up	12/07/2016	4	50	36	1	1	0	0	0	0
3	Narrikup	S2	28/07/2015	36	up	12/07/2016	4	50	11	0	0	0	0	0	0
1	Narrikup	S2	28/07/2015	19	down	12/07/2016	4	50	30	1	1	0	0	0	0
1	Monti	S2	28/07/2015	20	down	12/07/2016	4	50	36	1	1	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	down	12/07/2016	4	50	38	0	0	0	0	0	0
1	Leura	S2	28/07/2015	22	down	12/07/2016	4	50	42	0	0	0	0	0	0
1	Denmark	S2	28/07/2015	23	down	12/07/2016	4	50	30	1	1	0	0	0	0
1	Antas 	S2	28/07/2015	24	down	12/07/2016	4	50	27	1	1	0	0	0	0
2	Leura	S2	28/07/2015	25	down	12/07/2016	4	50	21	0	0	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	down	12/07/2016	4	50	36	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	down	12/07/2016	4	50	31	0	0	0	0	0	0
2	Narrikup	S2	28/07/2015	28	down	12/07/2016	4	50	27	1	1	0	0	0	0
2	Antas 	S2	28/07/2015	29	down	12/07/2016	4	50	8	1	1	0	0	0	0
2	Monti	S2	28/07/2015	30	down	12/07/2016	4	50	34	7	7	0	0	0	0
3	Denmark	S2	28/07/2015	31	down	12/07/2016	4	50	42	1	1	0	0	0	0
3	Antas 	S2	28/07/2015	32	down	12/07/2016	4	50	26	0	0	0	0	0	0
3	Monti	S2	28/07/2015	33	down	12/07/2016	4	50	35	7	5	1	1	0	0
3	Woogenellup	S2	28/07/2015	34	down	12/07/2016	4	50	7	0	0	0	0	0	0
3	Leura	S2	28/07/2015	35	down	12/07/2016	4	50	30	1	1	0	0	0	0
3	Narrikup	S2	28/07/2015	36	down	12/07/2016	4	50	13	2	2	0	0	0	0
1	Denmark	S3	15/09/2015	37	up	17/07/16	3	50	41	2	2	0	0	0	0
1	Antas 	S3	15/09/2015	38	up	17/07/16	3	50	28	2	2	0	0	0	0
1	Woogenellup	S3	15/09/2015	39	up	17/07/16	3	50	41	3	3	0	0	0	0
1	Leura	S3	15/09/2015	40	up	17/07/16	3	50	49	0	0	0	0	0	0
1	Narrikup	S3	15/09/2015	41	up	17/07/16	3	50	39	0	0	0	0	0	0
1	Monti	S3	15/09/2015	42	up	17/07/16	3	50	48	20	20	0	0	0	0
2	Woogenellup	S3	15/09/2015	43	up	17/07/16	3	50	40	1	1	0	0	0	0
2	Leura	S3	15/09/2015	44	up	17/07/16	3	50	45	0	0	0	0	0	0
2	Narrikup	S3	15/09/2015	45	up	17/07/16	3	50	44	3	3	0	0	0	0
2	Antas 	S3	15/09/2015	46	up	17/07/16	3	50	37	11	11	0	0	0	0
2	Denmark	S3	15/09/2015	47	up	17/07/16	3	50	47	3	3	0	0	0	0
2	Monti	S3	15/09/2015	48	up	17/07/16	3	50	44	14	13	0	1	0	0
3	Leura	S3	15/09/2015	49	up	17/07/16	3	50	47	2	2	0	0	0	0
3	Woogenellup	S3	15/09/2015	50	up	17/07/16	3	50	42	1	1	0	0	0	0
3	Antas 	S3	15/09/2015	51	up	17/07/16	3	50	36	9	9	0	0	0	0
3	Monti	S3	15/09/2015	52	up	17/07/16	3	50	47	11	11	0	0	0	0
3	Narrikup	S3	15/09/2015	53	up	17/07/16	3	50	43	5	5	0	0	0	0
3	Denmark	S3	15/09/2015	54	up	17/07/16	3	50	43	0	0	0	0	0	0
1	Denmark	S3	15/09/2015	37	down	17/07/16	3	50	36	2	2	0	0	0	0
1	Antas 	S3	15/09/2015	38	down	17/07/16	3	50	16	0	0	0	0	0	0
1	Woogenellup	S3	15/09/2015	39	down	17/07/16	3	50	32	2	2	0	0	0	0
1	Leura	S3	15/09/2015	40	down	17/07/16	3	50	41	0	0	0	0	0	0
1	Narrikup	S3	15/09/2015	41	down	17/07/16	3	50	43	7	7	0	0	0	0
1	Monti	S3	15/09/2015	42	down	17/07/16	3	50	43	8	8	0	0	0	0
2	Woogenellup	S3	15/09/2015	43	down	17/07/16	3	50	37	1	1	0	0	0	0
2	Leura	S3	15/09/2015	44	down	17/07/16	3	50	37	1	1	0	0	0	0
2	Narrikup	S3	15/09/2015	45	down	17/07/16	3	50	37	5	5	0	0	0	0
2	Antas 	S3	15/09/2015	46	down	17/07/16	3	50	29	6	6	0	0	0	0
2	Denmark	S3	15/09/2015	47	down	17/07/16	3	50	39	0	0	0	0	0	0
2	Monti	S3	15/09/2015	48	down	17/07/16	3	50	45	17	17	0	0	0	0
3	Leura	S3	15/09/2015	49	down	17/07/16	3	50	45	3	3	0	0	0	0
3	Woogenellup	S3	15/09/2015	50	down	17/07/16	3	50	41	4	4	0	0	0	0
3	Antas 	S3	15/09/2015	51	down	17/07/16	3	50	28	6	6	0	0	0	0
3	Monti	S3	15/09/2015	52	down	17/07/16	3	50	42	12	11	0	1	0	0
3	Narrikup	S3	15/09/2015	53	down	17/07/16	3	50	39	5	5	0	0	0	0
3	Denmark	S3	15/09/2015	54	down	17/07/16	3	50	49	4	4	0	0	0	0
1	Narrikup	S2	28/07/2015	19	up	4/08/2016	5	50	22	0	0	0	0	0	0
1	Monti	S2	28/07/2015	20	up	4/08/2016	5	50	42	1	0	0	1	0	0
1	Woogenellup	S2	28/07/2015	21	up	4/08/2016	5	50	36	0	0	0	0	0	0
1	Leura	S2	28/07/2015	22	up	4/08/2016	5	50	43	1	1	0	0	0	0
1	Denmark	S2	28/07/2015	23	up	4/08/2016	5	50	27	3	3	0	0	0	0
1	Antas 	S2	28/07/2015	24	up	4/08/2016	5	50	31	0	0	0	0	0	0
2	Leura	S2	28/07/2015	25	up	4/08/2016	5	50	25	0	0	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	up	4/08/2016	5	50	23	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	up	4/08/2016	5	50	33	4	4	0	0	0	0
2	Narrikup	S2	28/07/2015	28	up	4/08/2016	5	50	19	1	1	0	0	0	0
2	Antas 	S2	28/07/2015	29	up	4/08/2016	5	50	8	0	0	0	0	0	0
2	Monti	S2	28/07/2015	30	up	4/08/2016	5	50	30	0	0	0	0	0	0
3	Denmark	S2	28/07/2015	31	up	4/08/2016	5	50	39	4	4	0	0	0	0
3	Antas 	S2	28/07/2015	32	up	4/08/2016	5	50	31	1	1	0	0	0	0
3	Monti	S2	28/07/2015	33	up	4/08/2016	5	50	35	1	0	0	1	0	0
3	Woogenellup	S2	28/07/2015	34	up	4/08/2016	5	50	20	2	1	0	1	0	0
3	Leura	S2	28/07/2015	35	up	4/08/2016	5	50	35	2	2	0	0	0	0
3	Narrikup	S2	28/07/2015	36	up	4/08/2016	5	50	11	0	0	0	0	0	0
1	Narrikup	S2	28/07/2015	19	down	4/08/2016	5	50	29	1	1	0	0	0	0
1	Monti	S2	28/07/2015	20	down	4/08/2016	5	50	35	2	1	0	0	1	0
1	Woogenellup	S2	28/07/2015	21	down	4/08/2016	5	50	38	0	0	0	0	0	0
1	Leura	S2	28/07/2015	22	down	4/08/2016	5	50	42	0	0	0	0	0	0
1	Denmark	S2	28/07/2015	23	down	4/08/2016	5	50	29	0	0	0	0	0	0
1	Antas 	S2	28/07/2015	24	down	4/08/2016	5	50	26	0	0	0	0	0	0
2	Leura	S2	28/07/2015	25	down	4/08/2016	5	50	21	1	1	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	down	4/08/2016	5	50	36	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	down	4/08/2016	5	50	31	2	2	0	0	0	0
2	Narrikup	S2	28/07/2015	28	down	4/08/2016	5	50	26	4	2	0	0	2	0
2	Antas 	S2	28/07/2015	29	down	4/08/2016	5	50	7	1	0	0	1	0	0
2	Monti	S2	28/07/2015	30	down	4/08/2016	5	50	27	1	1	0	0	0	0
3	Denmark	S2	28/07/2015	31	down	4/08/2016	5	50	41	1	1	0	0	0	0
3	Antas 	S2	28/07/2015	32	down	4/08/2016	5	50	26	1	1	0	0	0	0
3	Monti	S2	28/07/2015	33	down	4/08/2016	5	50	28	0	0	0	0	0	0
3	Woogenellup	S2	28/07/2015	34	down	4/08/2016	5	50	7	0	0	0	0	0	0
3	Leura	S2	28/07/2015	35	down	4/08/2016	5	50	29	1	1	0	0	0	0
3	Narrikup	S2	28/07/2015	36	down	4/08/2016	5	50	11	0	0	0	0	0	0
1	Denmark	S3	15/09/2015	37	up	09/08/16	4	50	39	0	0	0	0	0	0
1	Antas 	S3	15/09/2015	38	up	09/08/16	4	50	26	1	0	0	0	1	0
1	Woogenellup	S3	15/09/2015	39	up	09/08/16	4	50	38	1	0	0	0	1	0
1	Leura	S3	15/09/2015	40	up	09/08/16	4	50	49	1	1	0	0	0	0
1	Narrikup	S3	15/09/2015	41	up	09/08/16	4	50	39	3	1	2	0	0	0
1	Monti	S3	15/09/2015	42	up	09/08/16	4	50	28	7	3	2	0	2	0
2	Woogenellup	S3	15/09/2015	43	up	09/08/16	4	50	39	0	0	0	0	0	0
2	Leura	S3	15/09/2015	44	up	09/08/16	4	50	45	1	1	0	0	0	0
2	Narrikup	S3	15/09/2015	45	up	09/08/16	4	50	41	4	1	1	0	2	0
2	Antas 	S3	15/09/2015	46	up	09/08/16	4	50	26	3	2	0	0	1	0
2	Denmark	S3	15/09/2015	47	up	09/08/16	4	50	44	3	3	0	0	0	0
2	Monti	S3	15/09/2015	48	up	09/08/16	4	50	30	4	3	1	0	0	0
3	Leura	S3	15/09/2015	49	up	09/08/16	4	50	45	3	3	0	0	0	0
3	Woogenellup	S3	15/09/2015	50	up	09/08/16	4	50	41	2	2	0	0	0	0
3	Antas 	S3	15/09/2015	51	up	09/08/16	4	50	27	3	2	0	0	1	0
3	Monti	S3	15/09/2015	52	up	09/08/16	4	50	36	13	4	5	0	4	0
3	Narrikup	S3	15/09/2015	53	up	09/08/16	4	50	38	2	1	0	0	1	0
3	Denmark	S3	15/09/2015	54	up	09/08/16	4	50	43	3	2	1	0	0	0
1	Denmark	S3	15/09/2015	37	down	09/08/16	4	50	34	2	2	0	0	0	0
1	Antas 	S3	15/09/2015	38	down	09/08/16	4	50	16	3	2	1	0	0	0
1	Woogenellup	S3	15/09/2015	39	down	09/08/16	4	50	30	0	0	0	0	0	0
1	Leura	S3	15/09/2015	40	down	09/08/16	4	50	41	1	0	0	0	1	0
1	Narrikup	S3	15/09/2015	41	down	09/08/16	4	50	36	6	6	0	0	0	0
1	Monti	S3	15/09/2015	42	down	09/08/16	4	50	35	6	1	3	0	2	0
2	Woogenellup	S3	15/09/2015	43	down	09/08/16	4	50	36	1	0	0	0	1	0
2	Leura	S3	15/09/2015	44	down	09/08/16	4	50	36	0	0	0	0	0	0
2	Narrikup	S3	15/09/2015	45	down	09/08/16	4	50	32	4	0	3	0	1	0
2	Antas 	S3	15/09/2015	46	down	09/08/16	4	50	23	7	6	0	0	1	0
2	Denmark	S3	15/09/2015	47	down	09/08/16	4	50	39	1	1	0	0	0	0
2	Monti	S3	15/09/2015	48	down	09/08/16	4	50	28	7	3	3	0	1	0
3	Leura	S3	15/09/2015	49	down	09/08/16	4	50	42	2	2	0	0	0	0
3	Woogenellup	S3	15/09/2015	50	down	09/08/16	4	50	37	2	2	0	0	0	0
3	Antas 	S3	15/09/2015	51	down	09/08/16	4	50	22	5	2	1	0	2	0
3	Monti	S3	15/09/2015	52	down	09/08/16	4	50	30	2	2	0	0	0	0
3	Narrikup	S3	15/09/2015	53	down	09/08/16	4	50	34	7	2	3	0	2	0
3	Denmark	S3	15/09/2015	54	down	09/08/16	4	50	45	2	2	0	0	0	0
1	Antas 	S1	24/06/2015	1	up	16/08/2016	6	50	29	29	27	0	0	2	0
1	Monti	S1	24/06/2015	2	up	16/08/2016	6	50	31	31	31	0	0	0	0
1	Denmark	S1	24/06/2015	3	up	16/08/2016	6	50	31	31	27	0	0	4	0
1	Leura	S1	24/06/2015	4	up	16/08/2016	6	50	37	37	32	0	2	3	0
1	Narrikup	S1	24/06/2015	5	up	16/08/2016	6	50	40	40	40	0	0	0	0
1	Woogenellup	S1	24/06/2015	6	up	16/08/2016	6	50	29	29	29	0	0	0	0
2	Antas 	S1	24/06/2015	7	up	16/08/2016	6	50	36	36	30	0	3	3	0
2	Woogenellup	S1	24/06/2015	8	up	16/08/2016	6	50	34	34	30	0	0	4	0
2	Denmark	S1	24/06/2015	9	up	16/08/2016	6	50	34	34	29	0	2	3	0
2	Monti	S1	24/06/2015	10	up	16/08/2016	6	50	34	34	31	0	2	1	0
2	Narrikup	S1	24/06/2015	11	up	16/08/2016	6	50	30	30	26	0	1	3	0
2	Leura	S1	24/06/2015	12	up	16/08/2016	6	50	32	32	29	0	0	3	0
3	Woogenellup	S1	24/06/2015	13	up	16/08/2016	6	50	35	34	25	0	2	7	1
3	Antas 	S1	24/06/2015	14	up	16/08/2016	6	50	40	40	36	0	1	3	0
3	Monti	S1	24/06/2015	15	up	16/08/2016	6	50	27	27	26	0	0	1	0
3	Narrikup	S1	24/06/2015	16	up	16/08/2016	6	50	38	38	34	0	1	3	0
3	Denmark	S1	24/06/2015	17	up	16/08/2016	6	50	35	35	31	1	2	1	0
3	Leura	S1	24/06/2015	18	up	16/08/2016	6	50	22	22	19	0	1	2	0
1	Antas 	S1	24/06/2015	1	down	16/08/2016	6	24	12	12	11	0	0	1	0
1	Monti	S1	24/06/2015	2	down	16/08/2016	6	50	33	33	33	0	0	0	0
1	Denmark	S1	24/06/2015	3	down	16/08/2016	6	50	25	25	25	0	0	0	0
1	Leura	S1	24/06/2015	4	down	16/08/2016	6	50	23	23	23	0	0	0	0
1	Narrikup	S1	24/06/2015	5	down	16/08/2016	6	50	35	35	34	0	0	1	0
1	Woogenellup	S1	24/06/2015	6	down	16/08/2016	6	50	31	31	31	0	0	0	0
2	Antas 	S1	24/06/2015	7	down	16/08/2016	6	50	34	34	34	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	down	16/08/2016	6	50	35	35	34	0	0	1	0
2	Denmark	S1	24/06/2015	9	down	16/08/2016	6	50	35	35	32	0	2	1	0
2	Monti	S1	24/06/2015	10	down	16/08/2016	6	50	30	30	25	0	1	4	0
2	Narrikup	S1	24/06/2015	11	down	16/08/2016	6	50	33	33	31	0	0	2	0
2	Leura	S1	24/06/2015	12	down	16/08/2016	6	50	28	28	24	0	2	2	0
3	Woogenellup	S1	24/06/2015	13	down	16/08/2016	6	50	31	31	24	0	3	4	0
3	Antas 	S1	24/06/2015	14	down	16/08/2016	6	50	26	26	21	0	2	3	0
3	Monti	S1	24/06/2015	15	down	16/08/2016	6	50	33	33	30	0	0	3	0
3	Narrikup	S1	24/06/2015	16	down	16/08/2016	6	50	38	38	34	0	2	2	0
3	Denmark	S1	24/06/2015	17	down	16/08/2016	6	50	29	29	25	0	2	2	0
3	Leura	S1	24/06/2015	18	down	16/08/2016	6	50	26	26	21	0	2	3	0
1	Denmark	S3	15/09/2015	37	up	1/09/2016	5	50	39	7	7	0	0	0	0
1	Antas 	S3	15/09/2015	38	up	1/09/2016	5	50	25	3	0	0	0	3	0
1	Woogenellup	S3	15/09/2015	39	up	1/09/2016	5	50	37	2	1	0	0	1	0
1	Leura	S3	15/09/2015	40	up	1/09/2016	5	50	48	0	0	0	0	0	0
1	Narrikup	S3	15/09/2015	41	up	1/09/2016	5	50	36	4	0	0	0	4	0
1	Monti	S3	15/09/2015	42	up	1/09/2016	5	50	21	5	0	0	0	5	0
