Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
1	Woogenellup	S1	24/06/2015	6	down	09/03/16	2	50	44	11	11	0	0	0	0
2	Antas 	S1	24/06/2015	7	down	09/03/16	2	50	44	7	7	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	down	09/03/16	2	50	45	7	6	1	0	0	0
2	Denmark	S1	24/06/2015	9	down	09/03/16	2	50	48	6	5	0	1	0	0
2	Monti	S1	24/06/2015	10	down	09/03/16	2	50	47	2	2	0	0	0	0
2	Narrikup	S1	24/06/2015	11	down	09/03/16	2	50	42	2	2	0	0	0	0
2	Leura	S1	24/06/2015	12	down	09/03/16	2	50	29	0	0	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	down	09/03/16	2	50	42	8	8	0	0	0	0
3	Antas 	S1	24/06/2015	14	down	09/03/16	2	50	44	10	9	0	1	0	0
3	Monti	S1	24/06/2015	15	down	09/03/16	2	50	48	2	2	0	0	0	0
3	Narrikup	S1	24/06/2015	16	down	09/03/16	2	50	46	1	1	0	0	0	0
3	Denmark	S1	24/06/2015	17	down	09/03/16	2	50	34	0	0	0	0	0	0
3	Leura	S1	24/06/2015	18	down	09/03/16	2	50	29	0	0	0	0	0	0
1	Narrikup	S2	28/07/2015	19	up	16/03/2016	1	50	50	23	17	1	5	0	0
1	Monti	S2	28/07/2015	20	up	16/03/2016	1	50	50	2	2	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	up	16/03/2016	1	50	50	10	10	0	0	0	0
1	Leura	S2	28/07/2015	22	up	16/03/2016	1	50	50	6	6	0	0	0	0
1	Denmark	S2	28/07/2015	23	up	16/03/2016	1	50	50	22	22	0	0	0	0
1	Antas 	S2	28/07/2015	24	up	16/03/2016	1	50	50	14	12	2	0	0	0
2	Leura	S2	28/07/2015	25	up	16/03/2016	1	50	50	20	20	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	up	16/03/2016	1	50	50	26	26	0	0	0	0
2	Denmark	S2	28/07/2015	27	up	16/03/2016	1	50	50	10	10	0	0	0	0
2	Narrikup	S2	28/07/2015	28	up	16/03/2016	1	50	50	21	21	0	0	0	0
2	Antas 	S2	28/07/2015	29	up	16/03/2016	1	50	50	34	30	2	2	0	0
2	Monti	S2	28/07/2015	30	up	16/03/2016	1	50	50	5	5	0	0	0	0
3	Denmark	S2	28/07/2015	31	up	16/03/2016	1	50	50	6	6	0	0	0	0
3	Antas 	S2	28/07/2015	32	up	16/03/2016	1	50	50	13	11	0	2	0	0
3	Monti	S2	28/07/2015	33	up	16/03/2016	1	50	50	8	6	1	0	1	0
3	Woogenellup	S2	28/07/2015	34	up	16/03/2016	1	50	50	27	23	0	3	1	0
3	Leura	S2	28/07/2015	35	up	16/03/2016	1	50	50	10	9	0	1	0	0
3	Narrikup	S2	28/07/2015	36	up	16/03/2016	1	50	50	34	16	4	12	2	0
1	Narrikup	S2	28/07/2015	19	down	16/03/2016	1	50	50	19	17	0	2	0	0
1	Monti	S2	28/07/2015	20	down	16/03/2016	1	50	50	8	7	1	0	0	0
1	Woogenellup	S2	28/07/2015	21	down	16/03/2016	1	50	50	11	10	0	1	0	0
1	Leura	S2	28/07/2015	22	down	16/03/2016	1	50	50	6	5	0	0	1	0
1	Denmark	S2	28/07/2015	23	down	16/03/2016	1	50	50	18	17	0	0	1	0
1	Antas 	S2	28/07/2015	24	down	16/03/2016	1	50	50	21	17	1	3	0	0
2	Leura	S2	28/07/2015	25	down	16/03/2016	1	50	50	27	26	0	1	0	0
2	Woogenellup	S2	28/07/2015	26	down	16/03/2016	1	50	50	14	13	0	1	0	0
2	Denmark	S2	28/07/2015	27	down	16/03/2016	1	50	50	17	17	0	0	0	0
2	Narrikup	S2	28/07/2015	28	down	16/03/2016	1	50	50	22	17	1	4	0	0
2	Antas 	S2	28/07/2015	29	down	16/03/2016	1	50	50	37	27	1	8	1	0
2	Monti	S2	28/07/2015	30	down	16/03/2016	1	50	50	7	6	1	0	0	0
3	Denmark	S2	28/07/2015	31	down	16/03/2016	1	50	50	6	6	0	0	0	0
3	Antas 	S2	28/07/2015	32	down	16/03/2016	1	50	50	16	14	1	1	0	0
3	Monti	S2	28/07/2015	33	down	16/03/2016	1	50	50	8	6	2	0	0	0
3	Woogenellup	S2	28/07/2015	34	down	16/03/2016	1	50	50	42	36	1	5	0	0
3	Leura	S2	28/07/2015	35	down	16/03/2016	1	50	50	17	16	1	0	0	0
3	Narrikup	S2	28/07/2015	36	down	16/03/2016	1	50	50	36	14	4	15	3	0
1	Antas 	S1	24/06/2015	1	up	13/05/2016	3	50	36	2	0	2	0	0	0
1	Monti	S1	24/06/2015	2	up	13/05/2016	3	50	39	3	3	0	0	0	0
1	Denmark	S1	24/06/2015	3	up	13/05/2016	3	50	37	1	1	0	0	0	0
1	Leura	S1	24/06/2015	4	up	13/05/2016	3	50	40	2	2	0	0	0	0
1	Narrikup	S1	24/06/2015	5	up	13/05/2016	3	50	46	2	2	0	0	0	0
1	Woogenellup	S1	24/06/2015	6	up	13/05/2016	3	50	31	1	1	0	0	0	0
2	Antas 	S1	24/06/2015	7	up	13/05/2016	3	50	41	1	1	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	up	13/05/2016	3	50	40	2	2	0	0	0	0
2	Denmark	S1	24/06/2015	9	up	13/05/2016	3	50	37	0	0	0	0	0	0
2	Monti	S1	24/06/2015	10	up	13/05/2016	3	50	42	3	3	0	0	0	0
2	Narrikup	S1	24/06/2015	11	up	13/05/2016	3	50	38	3	3	0	0	0	0
2	Leura	S1	24/06/2015	12	up	13/05/2016	3	50	35	1	1	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	up	13/05/2016	3	50	39	1	1	0	0	0	0
3	Antas 	S1	24/06/2015	14	up	13/05/2016	3	50	45	1	1	0	0	0	0
