"Cultivar" "SowingD" "Block" "Depth" "hardSeed" "transf_no" "transf_logit"
"75" "Woogenellup" "2015-09-15" 1 "surface" 84 84 1.65822807660353
"76" "Leura" "2015-09-15" 1 "surface" 98 98 3.89182029811063
"77" "Narrikup" "2015-09-15" 1 "surface" 80 80 1.38629436111989
"78" "Monti" "2015-09-15" 1 "surface" 96 96 3.17805383034794
"79" "Woogenellup" "2015-09-15" 2 "surface" 80 80 1.38629436111989
"80" "Leura" "2015-09-15" 2 "surface" 90 90 2.19722457733622
"81" "Narrikup" "2015-09-15" 2 "surface" 90 90 2.19722457733622
"82" "Antas" "2015-09-15" 2 "surface" 78 78 1.26566637333128
"83" "Denmark" "2015-09-15" 2 "surface" 94 94 2.75153531304195
"84" "Monti" "2015-09-15" 2 "surface" 88 88 1.99243016469021
"85" "Leura" "2015-09-15" 3 "surface" 94 94 2.75153531304195
"86" "Woogenellup" "2015-09-15" 3 "surface" 86 86 1.81528996663825
"87" "Antas" "2015-09-15" 3 "surface" 76 76 1.15267950993839
"88" "Monti" "2015-09-15" 3 "surface" 96 96 3.17805383034794
"89" "Narrikup" "2015-09-15" 3 "surface" 86 86 1.81528996663825
"90" "Denmark" "2015-09-15" 3 "surface" 88 88 1.99243016469021
"91" "Denmark" "2015-09-15" 1 "buried" 74 74 1.04596855518269
"92" "Antas" "2015-09-15" 1 "buried" 32 32 -0.75377180237638
"93" "Woogenellup" "2015-09-15" 1 "buried" 68 68 0.75377180237638
"94" "Leura" "2015-09-15" 1 "buried" 82 82 1.51634748936809
"95" "Narrikup" "2015-09-15" 1 "buried" 86 86 1.81528996663825
"96" "Monti" "2015-09-15" 1 "buried" 88 88 1.99243016469021
"97" "Woogenellup" "2015-09-15" 2 "buried" 74 74 1.04596855518269
"98" "Leura" "2015-09-15" 2 "buried" 74 74 1.04596855518269
"99" "Narrikup" "2015-09-15" 2 "buried" 74 74 1.04596855518269
"100" "Antas" "2015-09-15" 2 "buried" 60 60 0.405465108108164
"101" "Denmark" "2015-09-15" 2 "buried" 80 80 1.38629436111989
"102" "Monti" "2015-09-15" 2 "buried" 92 92 2.44234703536921
"103" "Leura" "2015-09-15" 3 "buried" 92 92 2.44234703536921
"104" "Woogenellup" "2015-09-15" 3 "buried" 82 82 1.51634748936809
"105" "Antas" "2015-09-15" 3 "buried" 60 60 0.405465108108164
"106" "Monti" "2015-09-15" 3 "buried" 88 88 1.99243016469021
"107" "Narrikup" "2015-09-15" 3 "buried" 78 78 1.26566637333128
"108" "Denmark" "2015-09-15" 3 "buried" 98 98 3.89182029811063
"109" "Narrikup" "2015-11-05" 1 "surface" 86 86 1.81528996663825
"110" "Antas" "2015-11-05" 1 "surface" 44 44 -0.241162056816888
"111" "Denmark" "2015-11-05" 1 "surface" 78 78 1.26566637333128
"112" "Leura" "2015-11-05" 1 "surface" 82 82 1.51634748936809
"113" "Monti" "2015-11-05" 1 "surface" 88 88 1.99243016469021
"114" "Woogenellup" "2015-11-05" 1 "surface" 78 78 1.26566637333128
"115" "Antas" "2015-11-05" 2 "surface" 32 32 -0.75377180237638
"116" "Woogenellup" "2015-11-05" 2 "surface" 88 88 1.99243016469021
"117" "Narrikup" "2015-11-05" 2 "surface" 64 64 0.575364144903562
"118" "Leura" "2015-11-05" 2 "surface" 72 72 0.944461608840851
"119" "Denmark" "2015-11-05" 2 "surface" 96 96 3.17805383034794
"120" "Monti" "2015-11-05" 2 "surface" 76 76 1.15267950993839
"121" "Leura" "2015-11-05" 3 "surface" 68 68 0.75377180237638
"122" "Monti" "2015-11-05" 3 "surface" 44 44 -0.241162056816888
"123" "Narrikup" "2015-11-05" 3 "surface" 84 84 1.65822807660353
"124" "Antas" "2015-11-05" 3 "surface" 48 48 -0.0800427076735365
"125" "Woogenellup" "2015-11-05" 3 "surface" 86 86 1.81528996663825
"126" "Denmark" "2015-11-05" 3 "surface" 80 80 1.38629436111989
"127" "Narrikup" "2015-11-05" 1 "buried" 60 60 0.405465108108164
"128" "Antas" "2015-11-05" 1 "buried" 60 60 0.405465108108164
"129" "Denmark" "2015-11-05" 1 "buried" 90 90 2.19722457733622
"130" "Leura" "2015-11-05" 1 "buried" 92 92 2.44234703536921
"131" "Monti" "2015-11-05" 1 "buried" 88 88 1.99243016469021
"132" "Woogenellup" "2015-11-05" 1 "buried" 68 68 0.75377180237638
"133" "Antas" "2015-11-05" 2 "buried" 58 58 0.322773392263051
"134" "Woogenellup" "2015-11-05" 2 "buried" 64 64 0.575364144903562
"135" "Narrikup" "2015-11-05" 2 "buried" 70 70 0.847297860387203
"136" "Leura" "2015-11-05" 2 "buried" 96 96 3.17805383034794
"137" "Denmark" "2015-11-05" 2 "buried" 98 98 3.89182029811063
"138" "Monti" "2015-11-05" 2 "buried" 74 74 1.04596855518269
"139" "Leura" "2015-11-05" 3 "buried" 70 70 0.847297860387203
"140" "Monti" "2015-11-05" 3 "buried" 70 70 0.847297860387203
"141" "Narrikup" "2015-11-05" 3 "buried" 74 74 1.04596855518269
"142" "Antas" "2015-11-05" 3 "buried" 58 58 0.322773392263051
"143" "Woogenellup" "2015-11-05" 3 "buried" 84 84 1.65822807660353
"144" "Denmark" "2015-11-05" 3 "buried" 64 64 0.575364144903562
"145" "Denmark" "2016-02-17" 1 "surface" 66 66 0.663294217410264
"146" "Monti" "2016-02-17" 1 "surface" 84 84 1.65822807660353
"147" "Woogenellup" "2016-02-17" 1 "surface" 68 68 0.75377180237638
"148" "Leura" "2016-02-17" 1 "surface" 50 50 0
"149" "Antas" "2016-02-17" 1 "surface" 50 50 0
"150" "Narrikup" "2016-02-17" 1 "surface" 64 64 0.575364144903562
"151" "Leura" "2016-02-17" 2 "surface" 66 66 0.663294217410264
"152" "Monti" "2016-02-17" 2 "surface" 74 74 1.04596855518269
"153" "Woogenellup" "2016-02-17" 2 "surface" 38 38 -0.489548225318706
"154" "Denmark" "2016-02-17" 2 "surface" 58 58 0.322773392263051
"155" "Narrikup" "2016-02-17" 2 "surface" 44 44 -0.241162056816888
"156" "Antas" "2016-02-17" 2 "surface" 74 74 1.04596855518269
"157" "Woogenellup" "2016-02-17" 3 "surface" 28 28 -0.944461608840851
"158" "Leura" "2016-02-17" 3 "surface" 62 62 0.489548225318706
"159" "Antas" "2016-02-17" 3 "surface" 36 36 -0.575364144903562
"160" "Denmark" "2016-02-17" 3 "surface" 76 76 1.15267950993839
"161" "Narrikup" "2016-02-17" 3 "surface" 56 56 0.241162056816888
"162" "Monti" "2016-02-17" 3 "surface" 84 84 1.65822807660353
"163" "Denmark" "2016-02-17" 1 "buried" 58 58 0.322773392263051
"164" "Monti" "2016-02-17" 1 "buried" 82 82 1.51634748936809
"165" "Woogenellup" "2016-02-17" 1 "buried" 30 30 -0.847297860387204
"166" "Leura" "2016-02-17" 1 "buried" 52 52 0.0800427076735365
"167" "Antas" "2016-02-17" 1 "buried" 44 44 -0.241162056816888
"168" "Narrikup" "2016-02-17" 1 "buried" 76 76 1.15267950993839
"169" "Leura" "2016-02-17" 2 "buried" 58 58 0.322773392263051
"170" "Monti" "2016-02-17" 2 "buried" 88 88 1.99243016469021
"171" "Woogenellup" "2016-02-17" 2 "buried" 68 68 0.75377180237638
"172" "Denmark" "2016-02-17" 2 "buried" 68 68 0.75377180237638
"173" "Narrikup" "2016-02-17" 2 "buried" 42 42 -0.322773392263051
"174" "Antas" "2016-02-17" 2 "buried" 38 38 -0.489548225318706
"175" "Woogenellup" "2016-02-17" 3 "buried" 66 66 0.663294217410264
"176" "Leura" "2016-02-17" 3 "buried" 92 92 2.44234703536921
"177" "Antas" "2016-02-17" 3 "buried" 48 48 -0.0800427076735365
"178" "Denmark" "2016-02-17" 3 "buried" 82 82 1.51634748936809
"179" "Narrikup" "2016-02-17" 3 "buried" 76 76 1.15267950993839
"180" "Monti" "2016-02-17" 3 "buried" 68 68 0.75377180237638
"181" "Denmark" "2016-03-15" 1 "surface" 92 92 2.44234703536921
"182" "Antas" "2016-03-15" 1 "surface" 26 26 -1.04596855518269
"183" "Woogenellup" "2016-03-15" 1 "surface" 42 42 -0.322773392263051
"184" "Leura" "2016-03-15" 1 "surface" 64 64 0.575364144903562
"185" "Narrikup" "2016-03-15" 1 "surface" 48 48 -0.0800427076735365
"186" "Monti" "2016-03-15" 1 "surface" 96 96 3.17805383034794
"187" "Woogenellup" "2016-03-15" 2 "surface" 34 34 -0.663294217410264
"188" "Leura" "2016-03-15" 2 "surface" 76 76 1.15267950993839
"189" "Narrikup" "2016-03-15" 2 "surface" 84 84 1.65822807660353
"190" "Antas" "2016-03-15" 2 "surface" 32 32 -0.75377180237638
"191" "Denmark" "2016-03-15" 2 "surface" 82 82 1.51634748936809
"192" "Monti" "2016-03-15" 2 "surface" 96 96 3.17805383034794
"193" "Leura" "2016-03-15" 3 "surface" 78 78 1.26566637333128
"194" "Woogenellup" "2016-03-15" 3 "surface" 82 82 1.51634748936809
"195" "Antas" "2016-03-15" 3 "surface" 62 62 0.489548225318706
"196" "Monti" "2016-03-15" 3 "surface" 98 98 3.89182029811063
"197" "Narrikup" "2016-03-15" 3 "surface" 72 72 0.944461608840851
"198" "Denmark" "2016-03-15" 3 "surface" 88 88 1.99243016469021
"199" "Denmark" "2016-03-15" 1 "buried" 80 80 1.38629436111989
"200" "Antas" "2016-03-15" 1 "buried" 10 10 -2.19722457733622
"201" "Woogenellup" "2016-03-15" 1 "buried" 36 36 -0.575364144903562
"202" "Leura" "2016-03-15" 1 "buried" 50 50 0
"203" "Narrikup" "2016-03-15" 1 "buried" 30 30 -0.847297860387204
"204" "Monti" "2016-03-15" 1 "buried" 88 88 1.99243016469021
"205" "Woogenellup" "2016-03-15" 2 "buried" 50 50 0
"206" "Leura" "2016-03-15" 2 "buried" 76 76 1.15267950993839
"207" "Narrikup" "2016-03-15" 2 "buried" 76 76 1.15267950993839
"208" "Antas" "2016-03-15" 2 "buried" 70 70 0.847297860387203
"209" "Denmark" "2016-03-15" 2 "buried" 82 82 1.51634748936809
"210" "Monti" "2016-03-15" 2 "buried" 94 94 2.75153531304195
"211" "Leura" "2016-03-15" 3 "buried" 82 82 1.51634748936809
"212" "Woogenellup" "2016-03-15" 3 "buried" 58 58 0.322773392263051
"213" "Antas" "2016-03-15" 3 "buried" 56 56 0.241162056816888
"214" "Monti" "2016-03-15" 3 "buried" 100 100 Inf
"215" "Narrikup" "2016-03-15" 3 "buried" 76 76 1.15267950993839
"216" "Denmark" "2016-03-15" 3 "buried" 92 92 2.44234703536921
