"Cultivar" "SowingD" "Block" "Depth" "hardSeed"
"Antas" 2015-11-05 "2" "buried" 58
"Woogenellup" 2015-11-05 "2" "buried" 64
"Narrikup" 2015-11-05 "2" "buried" 70
"Leura" 2015-11-05 "2" "buried" 96
"Denmark" 2015-11-05 "2" "buried" 98
"Monti" 2015-11-05 "2" "buried" 74
"Leura" 2015-11-05 "3" "buried" 70
"Monti" 2015-11-05 "3" "buried" 70
"Narrikup" 2015-11-05 "3" "buried" 74
"Antas" 2015-11-05 "3" "buried" 58
"Woogenellup" 2015-11-05 "3" "buried" 84
"Denmark" 2015-11-05 "3" "buried" 64
