"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "InitialSeedlotR1Number" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_sqr" "transf_log" "transf_acos" "transf_power3"
"190" "2" "Antas" "S7" "15/03/2016" "118" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"191" "2" "Denmark" "S7" "15/03/2016" "119" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"192" "2" "Monti" "S7" "15/03/2016" "120" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"193" "3" "Leura" "S7" "15/03/2016" "121" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"194" "3" "Woogenellup" "S7" "15/03/2016" "122" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"195" "3" "Antas" "S7" "15/03/2016" "123" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"196" "3" "Monti" "S7" "15/03/2016" "124" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"197" "3" "Narrikup" "S7" "15/03/2016" "125" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"198" "3" "Denmark" "S7" "15/03/2016" "126" "surface" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"199" "3" "Narrikup" "S6" "17/02/2016" "107" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"200" "3" "Monti" "S6" "17/02/2016" "108" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"201" "1" "Denmark" "S7" "15/03/2016" "109" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"202" "1" "Antas" "S7" "15/03/2016" "110" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"203" "1" "Woogenellup" "S7" "15/03/2016" "111" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"204" "1" "Leura" "S7" "15/03/2016" "112" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"205" "1" "Narrikup" "S7" "15/03/2016" "113" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"206" "1" "Monti" "S7" "15/03/2016" "114" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"207" "2" "Woogenellup" "S7" "15/03/2016" "115" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"208" "2" "Leura" "S7" "15/03/2016" "116" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"209" "2" "Narrikup" "S7" "15/03/2016" "117" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"210" "2" "Antas" "S7" "15/03/2016" "118" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"211" "2" "Denmark" "S7" "15/03/2016" "119" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"212" "2" "Monti" "S7" "15/03/2016" "120" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"213" "3" "Leura" "S7" "15/03/2016" "121" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"214" "3" "Woogenellup" "S7" "15/03/2016" "122" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"215" "3" "Antas" "S7" "15/03/2016" "123" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"216" "3" "Monti" "S7" "15/03/2016" "124" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"217" "3" "Narrikup" "S7" "15/03/2016" "125" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
"218" "3" "Denmark" "S7" "15/03/2016" "126" "buried" 0017-02-01 1 0 0 0 0 100 100 10 4.60517018598809 0 1e+06
