Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft
1	Denmark	S4	5/11/2015	57	Above	6/07/2016	14	50	50	11
1	Leura	S4	5/11/2015	58	Above	6/07/2016	14	50	50	9
1	Monti	S4	5/11/2015	59	Above	6/07/2016	14	50	50	6
1	Woogenellup	S4	5/11/2015	60	Above	6/07/2016	14	50	50	11
2	Antas 	S4	5/11/2015	61	Above	6/07/2016	14	50	50	34
2	Woogenellup	S4	5/11/2015	62	Above	6/07/2016	14	50	50	6
2	Narrikup	S4	5/11/2015	63	Above	6/07/2016	14	50	50	18
2	Leura	S4	5/11/2015	64	Above	6/07/2016	14	50	50	14
2	Denmark	S4	5/11/2015	65	Above	6/07/2016	14	50	50	2
2	Monti	S4	5/11/2015	66	Above	6/07/2016	14	50	50	12
3	Leura	S4	5/11/2015	67	Above	6/07/2016	14	50	50	16
3	Monti	S4	5/11/2015	68	Above	6/07/2016	14	50	50	28
3	Narrikup	S4	5/11/2015	69	Above	6/07/2016	14	50	50	8
3	Antas 	S4	5/11/2015	70	Above	6/07/2016	14	50	50	26
3	Woogenellup	S4	5/11/2015	71	Above	6/07/2016	14	50	50	7
3	Denmark	S4	5/11/2015	72	Above	6/07/2016	14	50	50	10
1	Narrikup	S4	5/11/2015	55	Below	6/07/2016	14	50	50	20
1	Antas 	S4	5/11/2015	56	Below	6/07/2016	14	50	32	20
1	Denmark	S4	5/11/2015	57	Below	6/07/2016	14	50	50	5
1	Leura	S4	5/11/2015	58	Below	6/07/2016	14	50	17	4
1	Monti	S4	5/11/2015	59	Below	6/07/2016	14	50	50	6
1	Woogenellup	S4	5/11/2015	60	Below	6/07/2016	14	50	50	16
2	Antas 	S4	5/11/2015	61	Below	6/07/2016	14	50	50	21
2	Woogenellup	S4	5/11/2015	62	Below	6/07/2016	14	50	50	18
2	Narrikup	S4	5/11/2015	63	Below	6/07/2016	14	50	50	15
2	Leura	S4	5/11/2015	64	Below	6/07/2016	14	50	3	2
2	Denmark	S4	5/11/2015	65	Below	6/07/2016	14	50	50	1
2	Monti	S4	5/11/2015	66	Below	6/07/2016	14	50	50	13
3	Leura	S4	5/11/2015	67	Below	6/07/2016	14	50	50	15
3	Monti	S4	5/11/2015	68	Below	6/07/2016	14	50	50	15
3	Narrikup	S4	5/11/2015	69	Below	6/07/2016	14	50	50	13
3	Antas 	S4	5/11/2015	70	Below	6/07/2016	14	50	50	21
3	Woogenellup	S4	5/11/2015	71	Below	6/07/2016	14	50	50	8
3	Denmark	S4	5/11/2015	72	Below	6/07/2016	14	50	50	18
1	Narrikup	S2	28/07/2015	19	Above	12/07/2016	77	50	25	3
1	Monti	S2	28/07/2015	20	Above	12/07/2016	77	50	44	2
1	Woogenellup	S2	28/07/2015	21	Above	12/07/2016	77	50	37	1
1	Leura	S2	28/07/2015	22	Above	12/07/2016	77	50	43	0
1	Denmark	S2	28/07/2015	23	Above	12/07/2016	77	50	27	0
1	Antas 	S2	28/07/2015	24	Above	12/07/2016	77	50	32	1
2	Leura	S2	28/07/2015	25	Above	12/07/2016	77	50	25	0
2	Woogenellup	S2	28/07/2015	26	Above	12/07/2016	77	50	23	0
2	Denmark	S2	28/07/2015	27	Above	12/07/2016	77	50	36	3
2	Narrikup	S2	28/07/2015	28	Above	12/07/2016	77	50	23	4
2	Antas 	S2	28/07/2015	29	Above	12/07/2016	77	50	9	1
2	Monti	S2	28/07/2015	30	Above	12/07/2016	77	50	35	5
3	Denmark	S2	28/07/2015	31	Above	12/07/2016	77	50	40	1
3	Antas 	S2	28/07/2015	32	Above	12/07/2016	77	50	32	1
3	Monti	S2	28/07/2015	33	Above	12/07/2016	77	50	39	4
3	Woogenellup	S2	28/07/2015	34	Above	12/07/2016	77	50	20	0
3	Leura	S2	28/07/2015	35	Above	12/07/2016	77	50	36	1
3	Narrikup	S2	28/07/2015	36	Above	12/07/2016	77	50	11	0
1	Narrikup	S2	28/07/2015	19	Below	12/07/2016	77	50	30	1
1	Monti	S2	28/07/2015	20	Below	12/07/2016	77	50	36	1
1	Woogenellup	S2	28/07/2015	21	Below	12/07/2016	77	50	38	0
1	Leura	S2	28/07/2015	22	Below	12/07/2016	77	50	42	0
1	Denmark	S2	28/07/2015	23	Below	12/07/2016	77	50	30	1
1	Antas 	S2	28/07/2015	24	Below	12/07/2016	77	50	27	1
2	Leura	S2	28/07/2015	25	Below	12/07/2016	77	50	21	0
2	Woogenellup	S2	28/07/2015	26	Below	12/07/2016	77	50	36	0
2	Denmark	S2	28/07/2015	27	Below	12/07/2016	77	50	31	0
2	Narrikup	S2	28/07/2015	28	Below	12/07/2016	77	50	27	1
2	Antas 	S2	28/07/2015	29	Below	12/07/2016	77	50	8	1
2	Monti	S2	28/07/2015	30	Below	12/07/2016	77	50	34	7
3	Denmark	S2	28/07/2015	31	Below	12/07/2016	77	50	42	1
3	Antas 	S2	28/07/2015	32	Below	12/07/2016	77	50	26	0
3	Monti	S2	28/07/2015	33	Below	12/07/2016	77	50	35	7
3	Woogenellup	S2	28/07/2015	34	Below	12/07/2016	77	50	7	0
3	Leura	S2	28/07/2015	35	Below	12/07/2016	77	50	30	1
3	Narrikup	S2	28/07/2015	36	Below	12/07/2016	77	50	13	2
1	Denmark	S3	15/09/2015	37	Above	17/07/16	56	50	41	2
1	Antas 	S3	15/09/2015	38	Above	17/07/16	56	50	28	2
1	Woogenellup	S3	15/09/2015	39	Above	17/07/16	56	50	41	3
1	Leura	S3	15/09/2015	40	Above	17/07/16	56	50	49	0
1	Narrikup	S3	15/09/2015	41	Above	17/07/16	56	50	39	0
1	Monti	S3	15/09/2015	42	Above	17/07/16	56	50	48	20
2	Woogenellup	S3	15/09/2015	43	Above	17/07/16	56	50	40	1
2	Leura	S3	15/09/2015	44	Above	17/07/16	56	50	45	0
2	Narrikup	S3	15/09/2015	45	Above	17/07/16	56	50	44	3
2	Antas 	S3	15/09/2015	46	Above	17/07/16	56	50	37	11
2	Denmark	S3	15/09/2015	47	Above	17/07/16	56	50	47	3
2	Monti	S3	15/09/2015	48	Above	17/07/16	56	50	44	14
3	Leura	S3	15/09/2015	49	Above	17/07/16	56	50	47	2
3	Woogenellup	S3	15/09/2015	50	Above	17/07/16	56	50	42	1
3	Antas 	S3	15/09/2015	51	Above	17/07/16	56	50	36	9
3	Monti	S3	15/09/2015	52	Above	17/07/16	56	50	47	11
3	Narrikup	S3	15/09/2015	53	Above	17/07/16	56	50	43	5
3	Denmark	S3	15/09/2015	54	Above	17/07/16	56	50	43	0
1	Denmark	S3	15/09/2015	37	Below	17/07/16	56	50	36	2
1	Antas 	S3	15/09/2015	38	Below	17/07/16	56	50	16	0
1	Woogenellup	S3	15/09/2015	39	Below	17/07/16	56	50	32	2
1	Leura	S3	15/09/2015	40	Below	17/07/16	56	50	41	0
1	Narrikup	S3	15/09/2015	41	Below	17/07/16	56	50	43	7
1	Monti	S3	15/09/2015	42	Below	17/07/16	56	50	43	8
2	Woogenellup	S3	15/09/2015	43	Below	17/07/16	56	50	37	1
2	Leura	S3	15/09/2015	44	Below	17/07/16	56	50	37	1
2	Narrikup	S3	15/09/2015	45	Below	17/07/16	56	50	37	5
2	Antas 	S3	15/09/2015	46	Below	17/07/16	56	50	29	6
2	Denmark	S3	15/09/2015	47	Below	17/07/16	56	50	39	0
2	Monti	S3	15/09/2015	48	Below	17/07/16	56	50	45	17
3	Leura	S3	15/09/2015	49	Below	17/07/16	56	50	45	3
3	Woogenellup	S3	15/09/2015	50	Below	17/07/16	56	50	41	4
3	Antas 	S3	15/09/2015	51	Below	17/07/16	56	50	28	6
3	Monti	S3	15/09/2015	52	Below	17/07/16	56	50	42	12
3	Narrikup	S3	15/09/2015	53	Below	17/07/16	56	50	39	5
3	Denmark	S3	15/09/2015	54	Below	17/07/16	56	50	49	4
1	Narrikup	S2	28/07/2015	19	Above	4/08/2016	98	50	22	0
1	Monti	S2	28/07/2015	20	Above	4/08/2016	98	50	42	1
1	Woogenellup	S2	28/07/2015	21	Above	4/08/2016	98	50	36	0
1	Leura	S2	28/07/2015	22	Above	4/08/2016	98	50	43	1
1	Denmark	S2	28/07/2015	23	Above	4/08/2016	98	50	27	3
1	Antas 	S2	28/07/2015	24	Above	4/08/2016	98	50	31	0
2	Leura	S2	28/07/2015	25	Above	4/08/2016	98	50	25	0
2	Woogenellup	S2	28/07/2015	26	Above	4/08/2016	98	50	23	0
2	Denmark	S2	28/07/2015	27	Above	4/08/2016	98	50	33	4
2	Narrikup	S2	28/07/2015	28	Above	4/08/2016	98	50	19	1
2	Antas 	S2	28/07/2015	29	Above	4/08/2016	98	50	8	0
2	Monti	S2	28/07/2015	30	Above	4/08/2016	98	50	30	0
3	Denmark	S2	28/07/2015	31	Above	4/08/2016	98	50	39	4
3	Antas 	S2	28/07/2015	32	Above	4/08/2016	98	50	31	1
3	Monti	S2	28/07/2015	33	Above	4/08/2016	98	50	35	1
3	Woogenellup	S2	28/07/2015	34	Above	4/08/2016	98	50	20	2
3	Leura	S2	28/07/2015	35	Above	4/08/2016	98	50	35	2
3	Narrikup	S2	28/07/2015	36	Above	4/08/2016	98	50	11	0
1	Narrikup	S2	28/07/2015	19	Below	4/08/2016	98	50	29	1
1	Monti	S2	28/07/2015	20	Below	4/08/2016	98	50	35	2
1	Woogenellup	S2	28/07/2015	21	Below	4/08/2016	98	50	38	0
1	Leura	S2	28/07/2015	22	Below	4/08/2016	98	50	42	0
1	Denmark	S2	28/07/2015	23	Below	4/08/2016	98	50	29	0
1	Antas 	S2	28/07/2015	24	Below	4/08/2016	98	50	26	0
2	Leura	S2	28/07/2015	25	Below	4/08/2016	98	50	21	1
2	Woogenellup	S2	28/07/2015	26	Below	4/08/2016	98	50	36	0
2	Denmark	S2	28/07/2015	27	Below	4/08/2016	98	50	31	2
2	Narrikup	S2	28/07/2015	28	Below	4/08/2016	98	50	26	4
2	Antas 	S2	28/07/2015	29	Below	4/08/2016	98	50	7	1
2	Monti	S2	28/07/2015	30	Below	4/08/2016	98	50	27	1
3	Denmark	S2	28/07/2015	31	Below	4/08/2016	98	50	41	1
3	Antas 	S2	28/07/2015	32	Below	4/08/2016	98	50	26	1
3	Monti	S2	28/07/2015	33	Below	4/08/2016	98	50	28	0
3	Woogenellup	S2	28/07/2015	34	Below	4/08/2016	98	50	7	0
3	Leura	S2	28/07/2015	35	Below	4/08/2016	98	50	29	1
3	Narrikup	S2	28/07/2015	36	Below	4/08/2016	98	50	11	0
1	Denmark	S3	15/09/2015	37	Above	09/08/16	77	50	39	0
1	Antas 	S3	15/09/2015	38	Above	09/08/16	77	50	26	1
1	Woogenellup	S3	15/09/2015	39	Above	09/08/16	77	50	38	1
1	Leura	S3	15/09/2015	40	Above	09/08/16	77	50	49	1
1	Narrikup	S3	15/09/2015	41	Above	09/08/16	77	50	39	3
1	Monti	S3	15/09/2015	42	Above	09/08/16	77	50	28	7
2	Woogenellup	S3	15/09/2015	43	Above	09/08/16	77	50	39	0
2	Leura	S3	15/09/2015	44	Above	09/08/16	77	50	45	1
2	Narrikup	S3	15/09/2015	45	Above	09/08/16	77	50	41	4
2	Antas 	S3	15/09/2015	46	Above	09/08/16	77	50	26	3
2	Denmark	S3	15/09/2015	47	Above	09/08/16	77	50	44	3
2	Monti	S3	15/09/2015	48	Above	09/08/16	77	50	30	4
3	Leura	S3	15/09/2015	49	Above	09/08/16	77	50	45	3
3	Woogenellup	S3	15/09/2015	50	Above	09/08/16	77	50	41	2
3	Antas 	S3	15/09/2015	51	Above	09/08/16	77	50	27	3
3	Monti	S3	15/09/2015	52	Above	09/08/16	77	50	36	13
3	Narrikup	S3	15/09/2015	53	Above	09/08/16	77	50	38	2
3	Denmark	S3	15/09/2015	54	Above	09/08/16	77	50	43	3
1	Denmark	S3	15/09/2015	37	Below	09/08/16	77	50	34	2
1	Antas 	S3	15/09/2015	38	Below	09/08/16	77	50	16	3
1	Woogenellup	S3	15/09/2015	39	Below	09/08/16	77	50	30	0
1	Leura	S3	15/09/2015	40	Below	09/08/16	77	50	41	1
1	Narrikup	S3	15/09/2015	41	Below	09/08/16	77	50	36	6
1	Monti	S3	15/09/2015	42	Below	09/08/16	77	50	35	6
2	Woogenellup	S3	15/09/2015	43	Below	09/08/16	77	50	36	1
2	Leura	S3	15/09/2015	44	Below	09/08/16	77	50	36	0
2	Narrikup	S3	15/09/2015	45	Below	09/08/16	77	50	32	4
2	Antas 	S3	15/09/2015	46	Below	09/08/16	77	50	23	7
2	Denmark	S3	15/09/2015	47	Below	09/08/16	77	50	39	1
2	Monti	S3	15/09/2015	48	Below	09/08/16	77	50	28	7
3	Leura	S3	15/09/2015	49	Below	09/08/16	77	50	42	2
3	Woogenellup	S3	15/09/2015	50	Below	09/08/16	77	50	37	2
3	Antas 	S3	15/09/2015	51	Below	09/08/16	77	50	22	5
3	Monti	S3	15/09/2015	52	Below	09/08/16	77	50	30	2
3	Narrikup	S3	15/09/2015	53	Below	09/08/16	77	50	34	7
3	Denmark	S3	15/09/2015	54	Below	09/08/16	77	50	45	2
1	Antas 	S1	24/06/2015	1	Above	16/08/2016	119	50	29	29
1	Monti	S1	24/06/2015	2	Above	16/08/2016	119	50	31	31
1	Denmark	S1	24/06/2015	3	Above	16/08/2016	119	50	31	31
1	Leura	S1	24/06/2015	4	Above	16/08/2016	119	50	37	37
1	Narrikup	S1	24/06/2015	5	Above	16/08/2016	119	50	40	40
1	Woogenellup	S1	24/06/2015	6	Above	16/08/2016	119	50	29	29
2	Antas 	S1	24/06/2015	7	Above	16/08/2016	119	50	36	36
2	Woogenellup	S1	24/06/2015	8	Above	16/08/2016	119	50	34	34
2	Denmark	S1	24/06/2015	9	Above	16/08/2016	119	50	34	34
2	Monti	S1	24/06/2015	10	Above	16/08/2016	119	50	34	34
2	Narrikup	S1	24/06/2015	11	Above	16/08/2016	119	50	30	30
2	Leura	S1	24/06/2015	12	Above	16/08/2016	119	50	32	32
3	Woogenellup	S1	24/06/2015	13	Above	16/08/2016	119	50	35	34
3	Antas 	S1	24/06/2015	14	Above	16/08/2016	119	50	40	40
3	Monti	S1	24/06/2015	15	Above	16/08/2016	119	50	27	27
3	Narrikup	S1	24/06/2015	16	Above	16/08/2016	119	50	38	38
3	Denmark	S1	24/06/2015	17	Above	16/08/2016	119	50	35	35
3	Leura	S1	24/06/2015	18	Above	16/08/2016	119	50	22	22
1	Antas 	S1	24/06/2015	1	Below	16/08/2016	119	24	12	12
1	Monti	S1	24/06/2015	2	Below	16/08/2016	119	50	33	33
1	Denmark	S1	24/06/2015	3	Below	16/08/2016	119	50	25	25
1	Leura	S1	24/06/2015	4	Below	16/08/2016	119	50	23	23
1	Narrikup	S1	24/06/2015	5	Below	16/08/2016	119	50	35	35
1	Woogenellup	S1	24/06/2015	6	Below	16/08/2016	119	50	31	31
2	Antas 	S1	24/06/2015	7	Below	16/08/2016	119	50	34	34
2	Woogenellup	S1	24/06/2015	8	Below	16/08/2016	119	50	35	35
2	Denmark	S1	24/06/2015	9	Below	16/08/2016	119	50	35	35
2	Monti	S1	24/06/2015	10	Below	16/08/2016	119	50	30	30
2	Narrikup	S1	24/06/2015	11	Below	16/08/2016	119	50	33	33
2	Leura	S1	24/06/2015	12	Below	16/08/2016	119	50	28	28
3	Woogenellup	S1	24/06/2015	13	Below	16/08/2016	119	50	31	31
3	Antas 	S1	24/06/2015	14	Below	16/08/2016	119	50	26	26
3	Monti	S1	24/06/2015	15	Below	16/08/2016	119	50	33	33
3	Narrikup	S1	24/06/2015	16	Below	16/08/2016	119	50	38	38
3	Denmark	S1	24/06/2015	17	Below	16/08/2016	119	50	29	29
3	Leura	S1	24/06/2015	18	Below	16/08/2016	119	50	26	26
1	Denmark	S3	15/09/2015	37	Above	1/09/2016	98	50	39	7
1	Antas 	S3	15/09/2015	38	Above	1/09/2016	98	50	25	3
1	Woogenellup	S3	15/09/2015	39	Above	1/09/2016	98	50	37	2
1	Leura	S3	15/09/2015	40	Above	1/09/2016	98	50	48	0
1	Narrikup	S3	15/09/2015	41	Above	1/09/2016	98	50	36	4
1	Monti	S3	15/09/2015	42	Above	1/09/2016	98	50	21	5
2	Woogenellup	S3	15/09/2015	43	Above	1/09/2016	98	50	39	1
2	Leura	S3	15/09/2015	44	Above	1/09/2016	98	50	44	4
2	Narrikup	S3	15/09/2015	45	Above	1/09/2016	98	50	37	3
2	Antas 	S3	15/09/2015	46	Above	1/09/2016	98	50	23	6
2	Denmark	S3	15/09/2015	47	Above	1/09/2016	98	50	41	1
2	Monti	S3	15/09/2015	48	Above	1/09/2016	98	50	26	7
3	Leura	S3	15/09/2015	49	Above	1/09/2016	98	50	42	3
3	Woogenellup	S3	15/09/2015	50	Above	1/09/2016	98	50	39	1
3	Antas 	S3	15/09/2015	51	Above	1/09/2016	98	50	24	2
3	Monti	S3	15/09/2015	52	Above	1/09/2016	98	50	23	3
3	Narrikup	S3	15/09/2015	53	Above	1/09/2016	98	50	36	4
3	Denmark	S3	15/09/2015	54	Above	1/09/2016	98	50	40	8
1	Denmark	S3	15/09/2015	37	Below	1/09/2016	98	50	32	1
1	Antas 	S3	15/09/2015	38	Below	1/09/2016	98	50	13	4
1	Woogenellup	S3	15/09/2015	39	Below	1/09/2016	98	50	30	1
1	Leura	S3	15/09/2015	40	Below	1/09/2016	98	50	40	3
1	Narrikup	S3	15/09/2015	41	Below	1/09/2016	98	50	30	9
1	Monti	S3	15/09/2015	42	Below	1/09/2016	98	50	29	8
2	Woogenellup	S3	15/09/2015	43	Below	1/09/2016	98	50	35	3
2	Leura	S3	15/09/2015	44	Below	1/09/2016	98	50	36	2
2	Narrikup	S3	15/09/2015	45	Below	1/09/2016	98	50	28	4
2	Antas 	S3	15/09/2015	46	Below	1/09/2016	98	50	16	1
2	Denmark	S3	15/09/2015	47	Below	1/09/2016	98	50	38	6
2	Monti	S3	15/09/2015	48	Below	1/09/2016	98	50	21	8
3	Leura	S3	15/09/2015	49	Below	1/09/2016	98	50	40	2
3	Woogenellup	S3	15/09/2015	50	Below	1/09/2016	98	50	35	3
3	Antas 	S3	15/09/2015	51	Below	1/09/2016	98	50	17	3
3	Monti	S3	15/09/2015	52	Below	1/09/2016	98	50	28	8
3	Narrikup	S3	15/09/2015	53	Below	1/09/2016	98	50	27	9
3	Denmark	S3	15/09/2015	54	Below	1/09/2016	98	50	43	3
1	Narrikup	S2	28/07/2015	19	Above	15/09/16	119	50	22	22
1	Monti	S2	28/07/2015	20	Above	15/09/16	119	50	41	39
1	Woogenellup	S2	28/07/2015	21	Above	15/09/16	119	50	36	36
1	Leura	S2	28/07/2015	22	Above	15/09/16	119	50	42	42
1	Denmark	S2	28/07/2015	23	Above	15/09/16	119	50	24	24
1	Antas 	S2	28/07/2015	24	Above	15/09/16	119	50	31	27
2	Leura	S2	28/07/2015	25	Above	15/09/16	119	50	25	25
2	Woogenellup	S2	28/07/2015	26	Above	15/09/16	119	50	23	23
2	Denmark	S2	28/07/2015	27	Above	15/09/16	119	50	29	29
2	Narrikup	S2	28/07/2015	28	Above	15/09/16	119	50	18	18
2	Antas 	S2	28/07/2015	29	Above	15/09/16	119	50	8	8
2	Monti	S2	28/07/2015	30	Above	15/09/16	119	50	30	30
3	Denmark	S2	28/07/2015	31	Above	15/09/16	119	50	35	35
3	Antas 	S2	28/07/2015	32	Above	15/09/16	119	50	30	30
3	Monti	S2	28/07/2015	33	Above	15/09/16	119	50	34	24
3	Woogenellup	S2	28/07/2015	34	Above	15/09/16	119	50	18	18
3	Leura	S2	28/07/2015	35	Above	15/09/16	119	50	33	33
3	Narrikup	S2	28/07/2015	36	Above	15/09/16	119	50	11	11
1	Narrikup	S2	28/07/2015	19	Below	15/09/16	119	50	28	28
1	Monti	S2	28/07/2015	20	Below	15/09/16	119	50	33	33
1	Woogenellup	S2	28/07/2015	21	Below	15/09/16	119	50	38	38
1	Leura	S2	28/07/2015	22	Below	15/09/16	119	50	42	42
1	Denmark	S2	28/07/2015	23	Below	15/09/16	119	50	29	29
1	Antas 	S2	28/07/2015	24	Below	15/09/16	119	50	26	26
2	Leura	S2	28/07/2015	25	Below	15/09/16	119	50	20	20
2	Woogenellup	S2	28/07/2015	26	Below	15/09/16	119	50	36	26
2	Denmark	S2	28/07/2015	27	Below	15/09/16	119	50	29	29
2	Narrikup	S2	28/07/2015	28	Below	15/09/16	119	50	22	22
2	Antas 	S2	28/07/2015	29	Below	15/09/16	119	50	6	6
2	Monti	S2	28/07/2015	30	Below	15/09/16	119	50	26	26
3	Denmark	S2	28/07/2015	31	Below	15/09/16	119	50	40	40
3	Antas 	S2	28/07/2015	32	Below	15/09/16	119	50	25	25
3	Monti	S2	28/07/2015	33	Below	15/09/16	119	50	28	28
3	Woogenellup	S2	28/07/2015	34	Below	15/09/16	119	50	7	7
3	Leura	S2	28/07/2015	35	Below	15/09/16	119	50	28	28
3	Narrikup	S2	28/07/2015	36	Below	15/09/16	119	50	11	11
1	Denmark	S3	15/09/2015	37	Above	25/09/2016	119	50	32	32
1	Antas 	S3	15/09/2015	38	Above	25/09/2016	119	50	22	22
1	Woogenellup	S3	15/09/2015	39	Above	25/09/2016	119	50	35	35
1	Leura	S3	15/09/2015	40	Above	25/09/2016	119	50	48	48
1	Narrikup	S3	15/09/2015	41	Above	25/09/2016	119	50	32	32
1	Monti	S3	15/09/2015	42	Above	25/09/2016	119	50	16	16
2	Woogenellup	S3	15/09/2015	43	Above	25/09/2016	119	50	38	38
2	Leura	S3	15/09/2015	44	Above	25/09/2016	119	50	40	40
2	Narrikup	S3	15/09/2015	45	Above	25/09/2016	119	50	34	33
2	Antas 	S3	15/09/2015	46	Above	25/09/2016	119	50	17	17
2	Denmark	S3	15/09/2015	47	Above	25/09/2016	119	50	40	40
2	Monti	S3	15/09/2015	48	Above	25/09/2016	119	50	19	19
3	Leura	S3	15/09/2015	49	Above	25/09/2016	119	50	39	39
3	Woogenellup	S3	15/09/2015	50	Above	25/09/2016	119	50	38	38
3	Antas 	S3	15/09/2015	51	Above	25/09/2016	119	50	22	22
3	Monti	S3	15/09/2015	52	Above	25/09/2016	119	50	20	20
3	Narrikup	S3	15/09/2015	53	Above	25/09/2016	119	50	32	32
3	Denmark	S3	15/09/2015	54	Above	25/09/2016	119	50	32	32
1	Denmark	S3	15/09/2015	37	Below	25/09/2016	119	50	31	31
1	Antas 	S3	15/09/2015	38	Below	25/09/2016	119	50	9	9
1	Woogenellup	S3	15/09/2015	39	Below	25/09/2016	119	50	29	29
1	Leura	S3	15/09/2015	40	Below	25/09/2016	119	50	37	36
1	Narrikup	S3	15/09/2015	41	Below	25/09/2016	119	50	21	21
1	Monti	S3	15/09/2015	42	Below	25/09/2016	119	50	21	21
2	Woogenellup	S3	15/09/2015	43	Below	25/09/2016	119	50	32	32
2	Leura	S3	15/09/2015	44	Below	25/09/2016	119	50	34	34
2	Narrikup	S3	15/09/2015	45	Below	25/09/2016	119	50	24	24
2	Antas 	S3	15/09/2015	46	Below	25/09/2016	119	50	15	15
2	Denmark	S3	15/09/2015	47	Below	25/09/2016	119	50	32	32
2	Monti	S3	15/09/2015	48	Below	25/09/2016	119	50	13	13
3	Leura	S3	15/09/2015	49	Below	25/09/2016	119	50	38	38
3	Woogenellup	S3	15/09/2015	50	Below	25/09/2016	119	50	32	32
3	Antas 	S3	15/09/2015	51	Below	25/09/2016	119	50	14	14
3	Monti	S3	15/09/2015	52	Below	25/09/2016	119	50	20	20
3	Narrikup	S3	15/09/2015	53	Below	25/09/2016	119	50	18	18
3	Denmark	S3	15/09/2015	54	Below	25/09/2016	119	50	40	40
1	Narrikup	S4	5/11/2015	55	Above	06/07/16	35	50	43	5
1	Antas 	S4	5/11/2015	56	Above	06/07/16	35	50	22	2
1	Denmark	S4	5/11/2015	57	Above	06/07/16	35	50	39	4
1	Leura	S4	5/11/2015	58	Above	06/07/16	35	50	41	1
1	Monti	S4	5/11/2015	59	Above	06/07/16	35	50	44	1
1	Woogenellup	S4	5/11/2015	60	Above	06/07/16	35	50	39	1
2	Antas 	S4	5/11/2015	61	Above	06/07/16	35	50	16	2
2	Woogenellup	S4	5/11/2015	62	Above	06/07/16	35	50	44	0
2	Narrikup	S4	5/11/2015	63	Above	06/07/16	35	50	32	2
2	Leura	S4	5/11/2015	64	Above	06/07/16	35	50	36	1
2	Denmark	S4	5/11/2015	65	Above	06/07/16	35	50	48	2
2	Monti	S4	5/11/2015	66	Above	06/07/16	35	50	38	5
3	Leura	S4	5/11/2015	67	Above	06/07/16	35	50	34	2
3	Monti	S4	5/11/2015	68	Above	06/07/16	35	50	22	6
3	Narrikup	S4	5/11/2015	69	Above	06/07/16	35	50	42	2
3	Antas 	S4	5/11/2015	70	Above	06/07/16	35	50	24	0
3	Woogenellup	S4	5/11/2015	71	Above	06/07/16	35	50	43	3
3	Denmark	S4	5/11/2015	72	Above	06/07/16	35	50	40	1
1	Narrikup	S4	5/11/2015	55	Below	06/07/16	35	50	30	1
1	Antas 	S4	5/11/2015	56	Below	06/07/16	35	50	12	1
1	Denmark	S4	5/11/2015	57	Below	06/07/16	35	50	45	6
1	Leura	S4	5/11/2015	58	Below	06/07/16	35	50	13	0
1	Monti	S4	5/11/2015	59	Below	06/07/16	35	50	44	6
1	Woogenellup	S4	5/11/2015	60	Below	06/07/16	35	50	34	8
2	Antas 	S4	5/11/2015	61	Below	06/07/16	35	50	29	2
2	Woogenellup	S4	5/11/2015	62	Below	06/07/16	35	50	32	6
2	Narrikup	S4	5/11/2015	63	Below	06/07/16	35	50	35	3
2	Leura	S4	5/11/2015	64	Below	06/07/16	35	50	1	0
2	Denmark	S4	5/11/2015	65	Below	06/07/16	35	50	49	2
2	Monti	S4	5/11/2015	66	Below	06/07/16	35	50	37	4
3	Leura	S4	5/11/2015	67	Below	06/07/16	35	50	35	0
3	Monti	S4	5/11/2015	68	Below	06/07/16	35	50	35	3
3	Narrikup	S4	5/11/2015	69	Below	06/07/16	35	50	37	2
3	Antas 	S4	5/11/2015	70	Below	06/07/16	35	50	29	1
3	Woogenellup	S4	5/11/2015	71	Below	06/07/16	35	50	42	3
3	Denmark	S4	5/11/2015	72	Below	06/07/16	35	50	32	2
1	Narrikup	S4	5/11/2015	55	Above	06/07/16	56	50	38	6
1	Antas 	S4	5/11/2015	56	Above	06/07/16	56	50	20	1
1	Denmark	S4	5/11/2015	57	Above	06/07/16	56	50	35	2
1	Leura	S4	5/11/2015	58	Above	06/07/16	56	50	40	3
1	Monti	S4	5/11/2015	59	Above	06/07/16	56	50	43	9
1	Woogenellup	S4	5/11/2015	60	Above	06/07/16	56	50	38	2
2	Antas 	S4	5/11/2015	61	Above	06/07/16	56	50	14	5
2	Woogenellup	S4	5/11/2015	62	Above	06/07/16	56	50	44	0
2	Narrikup	S4	5/11/2015	63	Above	06/07/16	56	50	30	3
2	Leura	S4	5/11/2015	64	Above	06/07/16	56	50	35	2
2	Denmark	S4	5/11/2015	65	Above	06/07/16	56	50	46	0
2	Monti	S4	5/11/2015	66	Above	06/07/16	56	50	33	15
3	Leura	S4	5/11/2015	67	Above	06/07/16	56	50	32	2
3	Monti	S4	5/11/2015	68	Above	06/07/16	56	50	16	8
3	Narrikup	S4	5/11/2015	69	Above	06/07/16	56	50	40	7
3	Antas 	S4	5/11/2015	70	Above	06/07/16	56	50	24	0
3	Woogenellup	S4	5/11/2015	71	Above	06/07/16	56	50	40	0
3	Denmark	S4	5/11/2015	72	Above	06/07/16	56	50	39	0
1	Narrikup	S4	5/11/2015	55	Below	06/07/16	56	50	29	3
1	Antas 	S4	5/11/2015	56	Below	06/07/16	56	50	11	1
1	Denmark	S4	5/11/2015	57	Below	06/07/16	56	50	39	2
