"SowingD" "Date" "Cultivar" "SowTreat" "DAS" "Plot" "Variable" "S1" "S2" "S3" "S4" "S5" "Percent" "TT_meas" "TT_sow" "Pp_sow" "TTAS"
"39" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"40" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"41" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"42" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"43" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"44" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"45" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"46" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 6 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"47" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"48" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"49" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"50" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"51" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"52" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"53" 2015-06-24 2015-10-12 "Antas" "S1" 110 7 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"54" 2015-06-24 2015-10-12 "Monti" "S1" 110 2 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"55" 2015-06-24 2015-10-12 "Denmark" "S1" 110 3 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"56" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"57" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"58" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"59" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"60" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"61" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"62" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"63" 2015-06-24 2015-10-12 "Woogenellup" "S1" 110 8 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"64" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"65" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Early" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"66" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Open" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"67" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Petal" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"68" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Bur1" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"69" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Bur2" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"70" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Bur3" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"71" 2015-06-24 2015-10-12 "Denmark" "S1" 110 9 "Bur4" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
"72" 2015-06-24 2015-10-12 "Monti" "S1" 110 10 "Bud" 0 0 0 0 0 0 784.499056 3.109 10.03173957 781.390056
