"Date" "TT"
"162" 2015-12-02 1599.021007251
"163" 2015-12-03 1618.908507251
"164" 2015-12-04 1635.010507251
"165" 2015-12-05 1651.720007251
"166" 2015-12-06 1662.709507251
"167" 2015-12-07 1675.749507251
"168" 2015-12-08 1688.364007251
"169" 2015-12-09 1702.522507251
"170" 2015-12-10 1722.497007251
"171" 2015-12-11 1736.539007251
"172" 2015-12-12 1755.108007251
"173" 2015-12-13 1767.131007251
"174" 2015-12-14 1782.068007251
"175" 2015-12-15 1798.596507251
"176" 2015-12-16 1809.794507251
"177" 2015-12-17 1821.048007251
"178" 2015-12-18 1832.935507251
"179" 2015-12-19 1845.109507251
"180" 2015-12-20 1858.936007251
"181" 2015-12-21 1882.685507251
"182" 2015-12-22 1897.779007251
"183" 2015-12-23 1907.963507251
"184" 2015-12-24 1923.367507251
"185" 2015-12-25 1940.015507251
"186" 2015-12-26 1954.154007251
"187" 2015-12-27 1969.939007251
"188" 2015-12-28 1986.462507251
"189" 2015-12-29 1998.897507251
"190" 2015-12-30 2009.430507251
"191" 2015-12-31 2023.980007251
"192" 2016-01-01 2041.658507251
"193" 2016-01-02 2058.059507251
"194" 2016-01-03 2070.680007251
"195" 2016-01-04 2082.616007251
"196" 2016-01-05 2094.311007251
"197" 2016-01-06 2108.140007251
"198" 2016-01-07 2125.328007251
"199" 2016-01-08 2143.246507251
"200" 2016-01-09 2157.104507251
"201" 2016-01-10 2171.903007251
"202" 2016-01-11 2185.523007251
"203" 2016-01-12 2203.037507251
"204" 2016-01-13 2215.848007251
"205" 2016-01-14 2229.410507251
"206" 2016-01-15 2247.035007251
"207" 2016-01-16 2260.951007251
"208" 2016-01-17 2276.585007251
"209" 2016-01-18 2290.399007251
"210" 2016-01-19 2306.071007251
"211" 2016-01-20 2324.412507251
"212" 2016-01-21 2345.699507251
"213" 2016-01-22 2368.191507251
"214" 2016-01-23 2392.005007251
"215" 2016-01-24 2413.093007251
"216" 2016-01-25 2434.917007251
"217" 2016-01-26 2452.323007251
"218" 2016-01-27 2465.827007251
"219" 2016-01-28 2479.958507251
"220" 2016-01-29 2494.321007251
"221" 2016-01-30 2508.056007251
"222" 2016-01-31 2522.231007251
"223" 2016-02-01 2539.525007251
"224" 2016-02-02 2559.931007251
"225" 2016-02-03 2577.979007251
"226" 2016-02-04 2601.613007251
"227" 2016-02-05 2619.453507251
"228" 2016-02-06 2635.289507251
"229" 2016-02-07 2652.293007251
"230" 2016-02-08 2670.933007251
"231" 2016-02-09 2688.760007251
"232" 2016-02-10 2704.013007251
"233" 2016-02-11 2720.255507251
"234" 2016-02-12 2740.159507251
"235" 2016-02-13 2758.919007251
"236" 2016-02-14 2778.173507251
"237" 2016-02-15 2800.829507251
"238" 2016-02-16 2821.499507251
"239" 2016-02-17 2843.389007251
"240" 2016-02-18 2865.152507251
"241" 2016-02-19 2885.574007251
"242" 2016-02-20 2906.397507251
"243" 2016-02-21 2923.029507251
"244" 2016-02-22 2937.784007251
"245" 2016-02-23 2955.970007251
"246" 2016-02-24 2978.175507251
"247" 2016-02-25 3002.585507251
"248" 2016-02-26 3027.118507251
"249" 2016-02-27 3049.816007251
"250" 2016-02-28 3067.654507251
"251" 2016-02-29 3082.292007251
"252" 2016-03-01 3095.028507251
"253" 2016-03-02 3109.642007251
"254" 2016-03-03 3125.694507251
"255" 2016-03-04 3140.683007251
"256" 2016-03-05 3161.873507251
"257" 2016-03-06 3182.266507251
"258" 2016-03-07 3198.535007251
"259" 2016-03-08 3213.936007251
"260" 2016-03-09 3227.942507251
"261" 2016-03-10 3250.589507251
"262" 2016-03-11 3261.451007251
"263" 2016-03-12 3270.199507251
"264" 2016-03-13 3284.303007251
"265" 2016-03-14 3298.257507251
"266" 2016-03-15 3312.752007251
"267" 2016-03-16 3322.936507251
"268" 2016-03-17 3335.163007251
"269" 2016-03-18 3351.233007251
