Date 	Air
15/09/2015	12.15
16/09/2015	8.25
17/09/2015	5.9
18/09/2015	7.8
19/09/2015	3.35
20/09/2015	4.9
21/09/2015	6.65
22/09/2015	8.95
23/09/2015	10.25
24/09/2015	12.55
25/09/2015	5.05
26/09/2015	5.4
27/09/2015	10.75
28/09/2015	7.2
29/09/2015	7.1
30/09/2015	2.6
1/10/2015	4.75
2/10/2015	2.65
3/10/2015	1.3
4/10/2015	1.65
5/10/2015	2.3
6/10/2015	2.25
7/10/2015	3.9
8/10/2015	2.2
9/10/2015	1.3
10/10/2015	2.4
11/10/2015	4.15
12/10/2015	2.85
13/10/2015	6.3
14/10/2015	4.85
15/10/2015	0.95
16/10/2015	4.5
17/10/2015	3.25
18/10/2015	7.2
19/10/2015	6.95
20/10/2015	6.55
21/10/2015	8.2
22/10/2015	7.7
23/10/2015	2.9
24/10/2015	3.2
25/10/2015	3.75
26/10/2015	6.7
27/10/2015	7.35
28/10/2015	9.95
29/10/2015	12.55
30/10/2015	8.5
31/10/2015	2.7
1/11/2015	4.2
2/11/2015	9.95
3/11/2015	10.55
4/11/2015	6.3
5/11/2015	7
6/11/2015	7.15
7/11/2015	4.95
8/11/2015	8.35
9/11/2015	12.25
10/11/2015	8.6
11/11/2015	7.9
12/11/2015	5.25
13/11/2015	7.05
14/11/2015	8.55
15/11/2015	5.75
16/11/2015	2.65
17/11/2015	3.7
18/11/2015	10.15
19/11/2015	6.4
20/11/2015	11.25
21/11/2015	10.45
22/11/2015	14.95
23/11/2015	9.25
24/11/2015	10.7
25/11/2015	9.5
26/11/2015	10.6
27/11/2015	8.8
28/11/2015	6.6
29/11/2015	7.85
30/11/2015	7
1/12/2015	5.2
2/12/2015	6.1
3/12/2015	8.65
4/12/2015	8.15
5/12/2015	9.85
6/12/2015	11.55
7/12/2015	10.65
8/12/2015	8.45
9/12/2015	10.55
10/12/2015	8.45
11/12/2015	9.95
12/12/2015	7.9
13/12/2015	6.35
14/12/2015	6.15
15/12/2015	11
16/12/2015	10.05
17/12/2015	12.6
18/12/2015	12.55
19/12/2015	12.15
20/12/2015	9.6
21/12/2015	10.75
22/12/2015	12.65
23/12/2015	10.8
24/12/2015	9.4
25/12/2015	7.6
26/12/2015	5.95
27/12/2015	11.05
28/12/2015	14.6
29/12/2015	14.85
30/12/2015	10
31/12/2015	13.55
1/01/2016	17
2/01/2016	14.15
3/01/2016	15.75
4/01/2016	14.95
5/01/2016	14.05
6/01/2016	16.85
7/01/2016	16.2
8/01/2016	10.25
9/01/2016	10.1
10/01/2016	9.8
11/01/2016	8.35
12/01/2016	8.85
13/01/2016	8.7
14/01/2016	11.6
15/01/2016	13.85
16/01/2016	13.05
17/01/2016	11.6
18/01/2016	9.7
19/01/2016	14.6
20/01/2016	16.95
21/01/2016	12.65
22/01/2016	12.05
23/01/2016	11.1
24/01/2016	11.05
25/01/2016	7.3
26/01/2016	11.75
27/01/2016	14.95
28/01/2016	12.5
29/01/2016	12.75
30/01/2016	10.2
31/01/2016	18
1/02/2016	15.95
2/02/2016	14.2
3/02/2016	11.15
4/02/2016	9.3
5/02/2016	7.1
6/02/2016	14.15
7/02/2016	13
8/02/2016	13.25
9/02/2016	14.95
10/02/2016	13.05
11/02/2016	14.2
12/02/2016	16.9
13/02/2016	16.2
14/02/2016	14.35
15/02/2016	13.5
16/02/2016	13.8
17/02/2016	14.8
18/02/2016	10.6
19/02/2016	16.5
20/02/2016	17.05
21/02/2016	11.65
22/02/2016	11.95
23/02/2016	9.95
24/02/2016	10.2
25/02/2016	10.75
26/02/2016	12.15
27/02/2016	15.15
28/02/2016	18.95
29/02/2016	18.95
1/03/2016	17.25
2/03/2016	19.85
3/03/2016	24
4/03/2016	21.5
5/03/2016	18.1
6/03/2016	18.9
7/03/2016	14.45
8/03/2016	19.8
9/03/2016	13.55
10/03/2016	12
11/03/2016	10.85
12/03/2016	14.95
13/03/2016	17.25
14/03/2016	18
15/03/2016	13.95
16/03/2016	14.25
17/03/2016	16.25
18/03/2016	17.6
19/03/2016	16.05
20/03/2016	14.7
21/03/2016	13.8
22/03/2016	13.4
23/03/2016	13.55
24/03/2016	14.75
25/03/2016	16.1
26/03/2016	17.1
27/03/2016	15.1
28/03/2016	18.6
29/03/2016	17.55
30/03/2016	13.7
31/03/2016	14.3
1/04/2016	13.45
2/04/2016	17.15
3/04/2016	21
4/04/2016	24.7
5/04/2016	22.05
6/04/2016	14.85
7/04/2016	13.8
8/04/2016	11.4
9/04/2016	12.8
10/04/2016	16.15
11/04/2016	15.25
12/04/2016	13.45
13/04/2016	15.05
14/04/2016	15.2
15/04/2016	12.95
16/04/2016	15.4
17/04/2016	17.05
18/04/2016	16.95
19/04/2016	18.5
20/04/2016	16.45
21/04/2016	12.25
22/04/2016	10.75
23/04/2016	13.9
24/04/2016	17.75
25/04/2016	16.25
26/04/2016	17.85
27/04/2016	13.4
28/04/2016	17.2
29/04/2016	18.65
30/04/2016	17.55
1/05/2016	17.9
2/05/2016	19.6
3/05/2016	18.55
4/05/2016	13.15
5/05/2016	14.45
6/05/2016	17.75
7/05/2016	18.65
8/05/2016	10.65
9/05/2016	11.8
10/05/2016	12.95
11/05/2016	13.15
12/05/2016	16.15
13/05/2016	17.7
14/05/2016	22.8
15/05/2016	14.25
16/05/2016	12.55
17/05/2016	13
18/05/2016	13.6
19/05/2016	11.75
20/05/2016	15.85
21/05/2016	15.95
22/05/2016	14.55
23/05/2016	10.3
24/05/2016	14.2
25/05/2016	19.1
26/05/2016	17.05
27/05/2016	13.25
28/05/2016	16.2
29/05/2016	14.55
30/05/2016	18.15
31/05/2016	16.2
1/06/2016	16.3
2/06/2016	16.3
3/06/2016	14.25
4/06/2016	16.35
5/06/2016	13.75
6/06/2016	13.75
7/06/2016	12.15
8/06/2016	16.25
9/06/2016	16.45
10/06/2016	14.85
11/06/2016	14
12/06/2016	15.5
13/06/2016	18
14/06/2016	16.15
15/06/2016	17.05
16/06/2016	16.1
17/06/2016	16.15
18/06/2016	11.5
19/06/2016	18.95
20/06/2016	17
21/06/2016	18.45
22/06/2016	13.25
23/06/2016	15.9
24/06/2016	17.25
25/06/2016	11.5
26/06/2016	15
27/06/2016	14.4
28/06/2016	18.55
29/06/2016	17.15
30/06/2016	14.85
1/07/2016	10.9
2/07/2016	8.45
3/07/2016	8.65
4/07/2016	12
5/07/2016	13.25
6/07/2016	13.7
7/07/2016	11.45
8/07/2016	8.85
9/07/2016	11.6
10/07/2016	9.9
11/07/2016	12.7
12/07/2016	12
13/07/2016	13.05
14/07/2016	12.55
15/07/2016	15.65
16/07/2016	7.4
17/07/2016	10.45
18/07/2016	11.15
19/07/2016	14.35
20/07/2016	12.3
21/07/2016	11.1
22/07/2016	12.9
23/07/2016	13.3
24/07/2016	13.65
25/07/2016	17.05
26/07/2016	17
27/07/2016	13.45
28/07/2016	15.15
29/07/2016	11.65
30/07/2016	6.6
31/07/2016	12.8
1/08/2016	7.75
2/08/2016	11.25
3/08/2016	16.1
4/08/2016	15.55
5/08/2016	8.85
6/08/2016	15.2
7/08/2016	8.65
8/08/2016	11.05
9/08/2016	14.95
10/08/2016	15.4
11/08/2016	13.25
12/08/2016	9.5
13/08/2016	8.95
14/08/2016	10.25
15/08/2016	6.6
16/08/2016	7.25
17/08/2016	10
18/08/2016	8.9
19/08/2016	7.65
20/08/2016	11.65
21/08/2016	12.5
22/08/2016	13.8
23/08/2016	10
24/08/2016	6.5
25/08/2016	5.95
26/08/2016	6.85
27/08/2016	6.15
28/08/2016	5.7
29/08/2016	3.55
30/08/2016	5.85
31/08/2016	3.4
1/09/2016	5.25
2/09/2016	9.05
3/09/2016	6.9
4/09/2016	8.3
5/09/2016	9.8
6/09/2016	3.6
7/09/2016	5.5
8/09/2016	11.15
9/09/2016	7.95
10/09/2016	10.15
11/09/2016	10.45
12/09/2016	14.2
13/09/2016	14.65
14/09/2016	10.35
15/09/2016	1.4
16/09/2016	3.3
17/09/2016	1.6
18/09/2016	1.65
19/09/2016	4.2
20/09/2016	3.15
21/09/2016	1.85
22/09/2016	8.75
23/09/2016	7.2
24/09/2016	5.8
25/09/2016	8.75
26/09/2016	11.8
27/09/2016	5
28/09/2016	6.95
29/09/2016	4.75
30/09/2016	6.85
1/10/2016	3.35
2/10/2016	3.3
3/10/2016	6.05
4/10/2016	3.75
5/10/2016	3
6/10/2016	8.3
7/10/2016	4.4
8/10/2016	5
9/10/2016	4.15
10/10/2016	4.8
11/10/2016	6.3
12/10/2016	6.3
13/10/2016	5.35
14/10/2016	4.65
15/10/2016	4.8
16/10/2016	4.55
17/10/2016	4.05
18/10/2016	5.6
19/10/2016	11.8
20/10/2016	13.2
21/10/2016	12.05
22/10/2016	5.1
23/10/2016	7.55
24/10/2016	7
25/10/2016	5.9
26/10/2016	3.85
27/10/2016	2.5
28/10/2016	2.75
29/10/2016	5.1
30/10/2016	5.95
31/10/2016	5.4
1/11/2016	5
2/11/2016	5.1
3/11/2016	10.4
4/11/2016	9.05
5/11/2016	5.1
6/11/2016	6.25
7/11/2016	7.1
8/11/2016	7.95
9/11/2016	4.3
10/11/2016	9.65
11/11/2016	15.9
12/11/2016	14.1
13/11/2016	11.45
14/11/2016	11
15/11/2016	8.45
16/11/2016	6.6
17/11/2016	5.15
18/11/2016	5.55
19/11/2016	7.1
20/11/2016	5.8
21/11/2016	7.85
22/11/2016	10.05
23/11/2016	11.3
24/11/2016	11.7
25/11/2016	6.8
26/11/2016	6.55
27/11/2016	6.35
28/11/2016	5.1
29/11/2016	9.5
30/11/2016	8.9
1/12/2016	10.35
2/12/2016	11.8
3/12/2016	9.55
4/12/2016	11.45
5/12/2016	11.2
6/12/2016	11.8
7/12/2016	10.55
8/12/2016	14.25
9/12/2016	11.95
10/12/2016	13.25
11/12/2016	12.5
12/12/2016	9.95
13/12/2016	6.8
14/12/2016	4.85
15/12/2016	8.35
16/12/2016	14.5
17/12/2016	14.9
18/12/2016	16.9
19/12/2016	15.2
20/12/2016	13.35
21/12/2016	6.55
22/12/2016	12.3
23/12/2016	12.4
24/12/2016	11.9
25/12/2016	10.6
26/12/2016	7.55
27/12/2016	13.1
28/12/2016	9.8
29/12/2016	11.6
30/12/2016	7.7
31/12/2016	9.2
1/01/2017	8.55
2/01/2017	13
3/01/2017	5.9
4/01/2017	5.6
5/01/2017	9
6/01/2017	4.5
7/01/2017	7.15
8/01/2017	9.9
9/01/2017	9.8
10/01/2017	15.15
11/01/2017	7.85
12/01/2017	9.55
13/01/2017	5.8
14/01/2017	4.65
15/01/2017	8.45
16/01/2017	10.95
17/01/2017	14.1
18/01/2017	12.25
19/01/2017	13.4
20/01/2017	15
21/01/2017	10.35
22/01/2017	10.55
23/01/2017	10.45
24/01/2017	15.55
25/01/2017	14.65
26/01/2017	11.2
27/01/2017	10.5
28/01/2017	5.8
29/01/2017	7.7
30/01/2017	12.2
31/01/2017	15.8
1/02/2017	13.85
2/02/2017	6.2
3/02/2017	9.5
4/02/2017	12.2
5/02/2017	16
6/02/2017	11.4
7/02/2017	11.45
8/02/2017	14.5
9/02/2017	15.75
10/02/2017	16.2
11/02/2017	10
12/02/2017	8.9
13/02/2017	12.85
14/02/2017	13.2
15/02/2017	17
16/02/2017	6.4
17/02/2017	7.35
18/02/2017	8.75
19/02/2017	9.15
20/02/2017	11.75
21/02/2017	11.2
22/02/2017	9.3
23/02/2017	10.1
24/02/2017	13.85
25/02/2017	15.5
26/02/2017	19.7
27/02/2017	19.9
28/02/2017	15.15
1/03/2017	13.75
2/03/2017	15.95
3/03/2017	16.05
4/03/2017	16.2
5/03/2017	17.15
6/03/2017	16.95
7/03/2017	18.9
8/03/2017	22.75
9/03/2017	16.85
10/03/2017	10.95
11/03/2017	12.45
12/03/2017	15.2
13/03/2017	17.65
14/03/2017	18.35
15/03/2017	15.85
16/03/2017	10.75
17/03/2017	13.4
18/03/2017	16.6
19/03/2017	13.4
20/03/2017	12.8
21/03/2017	14.35
22/03/2017	14.65
23/03/2017	16.2
24/03/2017	18.45
25/03/2017	18.5
26/03/2017	14.6
27/03/2017	17.8
28/03/2017	10.6
29/03/2017	14.55
30/03/2017	9.85
31/03/2017	14.25
1/04/2017	14.55
2/04/2017	18.55
3/04/2017	17.55
4/04/2017	17.9
5/04/2017	19.65
6/04/2017	19.65
7/04/2017	13.95
8/04/2017	17.2
9/04/2017	17.1
10/04/2017	17.95
11/04/2017	18.3
12/04/2017	19.3
13/04/2017	16.15
14/04/2017	10.8
15/04/2017	11.8
16/04/2017	9.8
17/04/2017	13
18/04/2017	17.75
19/04/2017	16.8
20/04/2017	17.85
21/04/2017	18.9
22/04/2017	17.6
23/04/2017	18.85
24/04/2017	17.2
25/04/2017	15.75
26/04/2017	11.85
27/04/2017	11.25
28/04/2017	16.95
29/04/2017	11.75
30/04/2017	15.5
1/05/2017	15.55
2/05/2017	20.6
3/05/2017	22.8
4/05/2017	15.45
5/05/2017	14.05
6/05/2017	16.65
7/05/2017	11.05
8/05/2017	17.1
9/05/2017	18.1
10/05/2017	17.45
11/05/2017	19.4
12/05/2017	16.4
13/05/2017	16.95
14/05/2017	21.65
15/05/2017	17.6
16/05/2017	22.35
17/05/2017	12.7
18/05/2017	16
19/05/2017	17.05
20/05/2017	23.2
21/05/2017	18.95
22/05/2017	13
23/05/2017	13.25
24/05/2017	10.15
25/05/2017	9.8
26/05/2017	15.55
27/05/2017	12.4
28/05/2017	15.6
29/05/2017	18.6
30/05/2017	19.3
31/05/2017	18.3
1/06/2017	18.85
2/06/2017	19.65
3/06/2017	17.65
4/06/2017	15.9
5/06/2017	15.25
6/06/2017	14.45
7/06/2017	17.25
8/06/2017	12.5
9/06/2017	13.05
10/06/2017	13.85
11/06/2017	16.7
12/06/2017	15.75
13/06/2017	16.3
14/06/2017	17.15
15/06/2017	15.6
16/06/2017	12
17/06/2017	9.65
18/06/2017	13.2
19/06/2017	16.9
20/06/2017	16.6
21/06/2017	16
22/06/2017	15.6
23/06/2017	16.7
24/06/2017	17.8
25/06/2017	18.1
26/06/2017	16.3
27/06/2017	17.95
28/06/2017	16.3
29/06/2017	15.1
30/06/2017	16.15
1/07/2017	12.75
2/07/2017	6.55
3/07/2017	10.4
4/07/2017	11.5
5/07/2017	13.6
6/07/2017	13.7
7/07/2017	12.3
8/07/2017	8.5
9/07/2017	5.8
10/07/2017	11.75
11/07/2017	9.6
12/07/2017	11.2
13/07/2017	12.75
14/07/2017	11.95
15/07/2017	12.8
16/07/2017	15.8
17/07/2017	15.45
18/07/2017	8.9
19/07/2017	8.1
20/07/2017	6.75
21/07/2017	12.15
22/07/2017	8.35
23/07/2017	11.15
24/07/2017	12.75
25/07/2017	8.5
26/07/2017	6.65
27/07/2017	11.85
28/07/2017	7.9
29/07/2017	8.5
30/07/2017	7.75
31/07/2017	13.1
1/08/2017	16.3
2/08/2017	7.85
3/08/2017	12
4/08/2017	7.55
5/08/2017	8.55
6/08/2017	13.65
7/08/2017	9.45
8/08/2017	7.9
9/08/2017	12.05
10/08/2017	12.2
11/08/2017	9
12/08/2017	8.05
13/08/2017	10.35
14/08/2017	9.15
15/08/2017	7.55
16/08/2017	8.25
17/08/2017	7.2
18/08/2017	7.1
19/08/2017	14.3
20/08/2017	20.15
21/08/2017	14.75
22/08/2017	9.1
23/08/2017	4.4
24/08/2017	6.85
25/08/2017	8.7
26/08/2017	6.95
27/08/2017	6.45
28/08/2017	11.35
29/08/2017	14
30/08/2017	15.3
31/08/2017	14.55
1/09/2017	12.6
2/09/2017	9.75
3/09/2017	6.95
4/09/2017	11.55
5/09/2017	7
6/09/2017	11.2
7/09/2017	11.85
8/09/2017	9.3
9/09/2017	4.1
10/09/2017	5.9
11/09/2017	7.05
12/09/2017	6.5
13/09/2017	11.55
14/09/2017	11
15/09/2017	4.5
16/09/2017	3.95
17/09/2017	6.2
18/09/2017	9.55
19/09/2017	10.95
20/09/2017	7.6
21/09/2017	10.15
22/09/2017	14.25
23/09/2017	7.1
24/09/2017	4.8
25/09/2017	3.95
26/09/2017	5.1
