Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	SeedNumber	Soft
2	Denmark	S2	28/07/2015	27	up	16/03/2016	1	50	3
2	Narrikup	S2	28/07/2015	28	up	16/03/2016	1	50	21
2	Antas 	S2	28/07/2015	29	up	16/03/2016	1	50	43
2	Monti	S2	28/07/2015	30	up	16/03/2016	1	50	5
3	Denmark	S2	28/07/2015	31	up	16/03/2016	1	50	6
3	Antas 	S2	28/07/2015	32	up	16/03/2016	1	50	13
3	Monti	S2	28/07/2015	33	up	16/03/2016	1	50	18
3	Woogenellup	S2	28/07/2015	34	up	16/03/2016	1	50	27
3	Leura	S2	28/07/2015	35	up	16/03/2016	1	50	6
3	Narrikup	S2	28/07/2015	36	up	16/03/2016	1	50	34
1	Narrikup	S2	28/07/2015	19	down	16/03/2016	1	50	19
1	Monti	S2	28/07/2015	20	down	16/03/2016	1	50	8
1	Woogenellup	S2	28/07/2015	21	down	16/03/2016	1	50	7
1	Leura	S2	28/07/2015	22	down	16/03/2016	1	50	6
1	Denmark	S2	28/07/2015	23	down	16/03/2016	1	50	18
1	Antas 	S2	28/07/2015	24	down	16/03/2016	1	50	21
2	Leura	S2	28/07/2015	25	down	16/03/2016	1	50	27
2	Woogenellup	S2	28/07/2015	26	down	16/03/2016	1	50	4
2	Denmark	S2	28/07/2015	27	down	16/03/2016	1	50	17
2	Narrikup	S2	28/07/2015	28	down	16/03/2016	1	50	22
2	Antas 	S2	28/07/2015	29	down	16/03/2016	1	50	37
2	Monti	S2	28/07/2015	30	down	16/03/2016	1	50	7
3	Denmark	S2	28/07/2015	31	down	16/03/2016	1	50	6
3	Antas 	S2	28/07/2015	32	down	16/03/2016	1	50	16
3	Monti	S2	28/07/2015	33	down	16/03/2016	1	50	8
3	Woogenellup	S2	28/07/2015	34	down	16/03/2016	1	50	42
3	Leura	S2	28/07/2015	35	down	16/03/2016	1	50	17
3	Narrikup	S2	28/07/2015	36	down	16/03/2016	1	50	36
1	Antas 	S1	24/06/2015	1	up	13/05/2016	3	42	2
1	Monti	S1	24/06/2015	2	up	13/05/2016	3	39	3
1	Denmark	S1	24/06/2015	3	up	13/05/2016	3	37	1
1	Leura	S1	24/06/2015	4	up	13/05/2016	3	47	2
1	Narrikup	S1	24/06/2015	5	up	13/05/2016	3	46	2
1	Woogenellup	S1	24/06/2015	6	up	13/05/2016	3	40	1
2	Antas 	S1	24/06/2015	7	up	13/05/2016	3	44	1
2	Woogenellup	S1	24/06/2015	8	up	13/05/2016	3	44	2
2	Denmark	S1	24/06/2015	9	up	13/05/2016	3	37	0
2	Monti	S1	24/06/2015	10	up	13/05/2016	3	42	3
2	Narrikup	S1	24/06/2015	11	up	13/05/2016	3	38	3
2	Leura	S1	24/06/2015	12	up	13/05/2016	3	38	1
3	Woogenellup	S1	24/06/2015	13	up	13/05/2016	3	39	1
3	Antas 	S1	24/06/2015	14	up	13/05/2016	3	45	1
3	Monti	S1	24/06/2015	15	up	13/05/2016	3	42	4
3	Narrikup	S1	24/06/2015	16	up	13/05/2016	3	45	3
3	Denmark	S1	24/06/2015	17	up	13/05/2016	3	37	0
3	Leura	S1	24/06/2015	18	up	13/05/2016	3	22	0
1	Antas 	S1	24/06/2015	1	down	13/05/2016	3	15	1
1	Monti	S1	24/06/2015	2	down	13/05/2016	3	40	1
1	Denmark	S1	24/06/2015	3	down	13/05/2016	3	34	3
1	Leura	S1	24/06/2015	4	down	13/05/2016	3	30	5
1	Narrikup	S1	24/06/2015	5	down	13/05/2016	3	44	1
1	Woogenellup	S1	24/06/2015	6	down	13/05/2016	3	33	1
2	Antas 	S1	24/06/2015	7	down	13/05/2016	3	37	1
2	Woogenellup	S1	24/06/2015	8	down	13/05/2016	3	41	2
2	Denmark	S1	24/06/2015	9	down	13/05/2016	3	43	1
2	Monti	S1	24/06/2015	10	down	13/05/2016	3	45	5
2	Narrikup	S1	24/06/2015	11	down	13/05/2016	3	44	0
2	Leura	S1	24/06/2015	12	down	13/05/2016	3	29	0
3	Woogenellup	S1	24/06/2015	13	down	13/05/2016	3	37	2
3	Antas 	S1	24/06/2015	14	down	13/05/2016	3	34	3
3	Monti	S1	24/06/2015	15	down	13/05/2016	3	46	5
3	Narrikup	S1	24/06/2015	16	down	13/05/2016	3	45	0
3	Denmark	S1	24/06/2015	17	down	13/05/2016	3	34	1
3	Leura	S1	24/06/2015	18	down	13/05/2016	3	29	1
1	Narrikup	S2	28/07/2015	19	up	27/05/2016	2	23	1
1	Monti	S2	28/07/2015	20	up	27/05/2016	2	2	0
1	Woogenellup	S2	28/07/2015	21	up	27/05/2016	2	2	1
1	Leura	S2	28/07/2015	22	up	27/05/2016	2	2	1
1	Denmark	S2	28/07/2015	23	up	27/05/2016	2	22	1
1	Antas 	S2	28/07/2015	24	up	27/05/2016	2	11	3
2	Leura	S2	28/07/2015	25	up	27/05/2016	2	43	0
2	Woogenellup	S2	28/07/2015	26	up	27/05/2016	2	26	0
2	Denmark	S2	28/07/2015	27	up	27/05/2016	2	3	2
2	Narrikup	S2	28/07/2015	28	up	27/05/2016	2	21	0
2	Antas 	S2	28/07/2015	29	up	27/05/2016	2	43	7
2	Monti	S2	28/07/2015	30	up	27/05/2016	2	5	4
3	Denmark	S2	28/07/2015	31	up	27/05/2016	2	6	2
3	Antas 	S2	28/07/2015	32	up	27/05/2016	2	13	3
3	Monti	S2	28/07/2015	33	up	27/05/2016	2	18	2
3	Woogenellup	S2	28/07/2015	34	up	27/05/2016	2	27	0
3	Leura	S2	28/07/2015	35	up	27/05/2016	2	6	4
3	Narrikup	S2	28/07/2015	36	up	27/05/2016	2	34	3
1	Narrikup	S2	28/07/2015	19	down	27/05/2016	2	19	0
1	Monti	S2	28/07/2015	20	down	27/05/2016	2	8	3
1	Woogenellup	S2	28/07/2015	21	down	27/05/2016	2	7	0
1	Leura	S2	28/07/2015	22	down	27/05/2016	2	6	1
1	Denmark	S2	28/07/2015	23	down	27/05/2016	2	18	1
1	Antas 	S2	28/07/2015	24	down	27/05/2016	2	21	1
2	Leura	S2	28/07/2015	25	down	27/05/2016	2	27	1
2	Woogenellup	S2	28/07/2015	26	down	27/05/2016	2	4	0
2	Denmark	S2	28/07/2015	27	down	27/05/2016	2	17	1
2	Narrikup	S2	28/07/2015	28	down	27/05/2016	2	22	0
2	Antas 	S2	28/07/2015	29	down	27/05/2016	2	37	2
2	Monti	S2	28/07/2015	30	down	27/05/2016	2	7	1
3	Denmark	S2	28/07/2015	31	down	27/05/2016	2	6	1
3	Antas 	S2	28/07/2015	32	down	27/05/2016	2	16	6
3	Monti	S2	28/07/2015	33	down	27/05/2016	2	8	2
3	Woogenellup	S2	28/07/2015	34	down	27/05/2016	2	42	1
3	Leura	S2	28/07/2015	35	down	27/05/2016	2	17	1
3	Narrikup	S2	28/07/2015	36	down	27/05/2016	2	36	0
1	Denmark	S3	15/09/2015	37	up	NA	1	50	8
1	Antas 	S3	15/09/2015	38	up	NA	1	50	17
1	Woogenellup	S3	15/09/2015	39	up	NA	1	50	4
1	Leura	S3	15/09/2015	40	up	NA	1	50	1
1	Narrikup	S3	15/09/2015	41	up	NA	1	50	10
1	Monti	S3	15/09/2015	42	up	NA	1	50	2
2	Woogenellup	S3	15/09/2015	43	up	NA	1	50	2
2	Leura	S3	15/09/2015	44	up	NA	1	50	5
2	Narrikup	S3	15/09/2015	45	up	NA	1	50	5
2	Antas 	S3	15/09/2015	46	up	NA	1	50	9
2	Denmark	S3	15/09/2015	47	up	NA	1	50	3
2	Monti	S3	15/09/2015	48	up	NA	1	50	6
3	Leura	S3	15/09/2015	49	up	NA	1	50	3
3	Woogenellup	S3	15/09/2015	50	up	NA	1	50	1
3	Antas 	S3	15/09/2015	51	up	NA	1	50	6
3	Monti	S3	15/09/2015	52	up	NA	1	50	2
3	Narrikup	S3	15/09/2015	53	up	NA	1	50	7
3	Denmark	S3	15/09/2015	54	up	NA	1	50	6
1	Denmark	S3	15/09/2015	37	down	NA	1	50	13
1	Antas 	S3	15/09/2015	38	down	NA	1	50	34
1	Woogenellup	S3	15/09/2015	39	down	NA	1	50	16
1	Leura	S3	15/09/2015	40	down	NA	1	50	9
1	Narrikup	S3	15/09/2015	41	down	NA	1	50	7
1	Monti	S3	15/09/2015	42	down	NA	1	50	6
2	Woogenellup	S3	15/09/2015	43	down	NA	1	50	13
2	Leura	S3	15/09/2015	44	down	NA	1	50	43
2	Narrikup	S3	15/09/2015	45	down	NA	1	50	10
2	Antas 	S3	15/09/2015	46	down	NA	1	50	18
2	Denmark	S3	15/09/2015	47	down	NA	1	50	44
2	Monti	S3	15/09/2015	48	down	NA	1	50	4
3	Leura	S3	15/09/2015	49	down	NA	1	50	4
3	Woogenellup	S3	15/09/2015	50	down	NA	1	50	1
3	Antas 	S3	15/09/2015	51	down	NA	1	50	20
3	Monti	S3	15/09/2015	52	down	NA	1	50	6
3	Narrikup	S3	15/09/2015	53	down	NA	1	50	11
3	Denmark	S3	15/09/2015	54	down	NA	1	50	1
1	Antas 	S1	24/06/2015	1	up	3/06/2016	4	42	2
1	Monti	S1	24/06/2015	2	up	3/06/2016	4	39	2
1	Denmark	S1	24/06/2015	3	up	3/06/2016	4	37	2
1	Leura	S1	24/06/2015	4	up	3/06/2016	4	47	1
1	Narrikup	S1	24/06/2015	5	up	3/06/2016	4	46	4
1	Woogenellup	S1	24/06/2015	6	up	3/06/2016	4	40	0
2	Antas 	S1	24/06/2015	7	up	3/06/2016	4	44	1
2	Woogenellup	S1	24/06/2015	8	up	3/06/2016	4	44	3
2	Denmark	S1	24/06/2015	9	up	3/06/2016	4	37	0
2	Monti	S1	24/06/2015	10	up	3/06/2016	4	42	2
2	Narrikup	S1	24/06/2015	11	up	3/06/2016	4	38	3
2	Leura	S1	24/06/2015	12	up	3/06/2016	4	38	1
3	Woogenellup	S1	24/06/2015	13	up	3/06/2016	4	39	0
3	Antas 	S1	24/06/2015	14	up	3/06/2016	4	45	3
3	Monti	S1	24/06/2015	15	up	3/06/2016	4	42	3
3	Narrikup	S1	24/06/2015	16	up	3/06/2016	4	45	1
3	Denmark	S1	24/06/2015	17	up	3/06/2016	4	37	0
3	Leura	S1	24/06/2015	18	up	3/06/2016	4	22	0
1	Antas 	S1	24/06/2015	1	down	3/06/2016	4	15	0
1	Monti	S1	24/06/2015	2	down	3/06/2016	4	40	2
1	Denmark	S1	24/06/2015	3	down	3/06/2016	4	34	6
1	Leura	S1	24/06/2015	4	down	3/06/2016	4	30	1
1	Narrikup	S1	24/06/2015	5	down	3/06/2016	4	44	5
1	Woogenellup	S1	24/06/2015	6	down	3/06/2016	4	33	1
2	Antas 	S1	24/06/2015	7	down	3/06/2016	4	37	0
2	Woogenellup	S1	24/06/2015	8	down	3/06/2016	4	41	1
2	Denmark	S1	24/06/2015	9	down	3/06/2016	4	43	3
2	Monti	S1	24/06/2015	10	down	3/06/2016	4	45	5
2	Narrikup	S1	24/06/2015	11	down	3/06/2016	4	44	6
2	Leura	S1	24/06/2015	12	down	3/06/2016	4	29	1
3	Woogenellup	S1	24/06/2015	13	down	3/06/2016	4	37	0
3	Antas 	S1	24/06/2015	14	down	3/06/2016	4	34	1
3	Monti	S1	24/06/2015	15	down	3/06/2016	4	46	3
3	Narrikup	S1	24/06/2015	16	down	3/06/2016	4	45	4
3	Denmark	S1	24/06/2015	17	down	3/06/2016	4	34	2
3	Leura	S1	24/06/2015	18	down	3/06/2016	4	29	1
