"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_sqr" "transf_log" "transf_acos" "transf_power3" "transf_log10"
"32" "3" "Antas" "S1" "24/06/2015" "14" "down" 2016-02-16 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"33" "3" "Monti" "S1" "24/06/2015" "15" "down" 2016-02-16 1 50 2 4 96 96 9.79795897113271 4.56434819146784 0.283794109208328 884736 1.98227123303957
"34" "3" "Narrikup" "S1" "24/06/2015" "16" "down" 2016-02-16 1 50 4 8 92 92 9.59166304662544 4.52178857704904 0.402715841580661 778688 1.96378782734556
"35" "3" "Denmark" "S1" "24/06/2015" "17" "down" 2016-02-16 1 50 16 32 68 68 8.24621125123532 4.21950770517611 0.823033692134976 314432 1.83250891270624
"36" "3" "Leura" "S1" "24/06/2015" "18" "down" 2016-02-16 1 50 21 42 58 58 7.61577310586391 4.06044301054642 0.952067636122646 195112 1.76342799356294
"37" "1" "Narrikup" "S2" "28/07/2015" "19" "up" 2016-03-16 1 50 23 46 54 54 7.34846922834953 3.98898404656427 1.00035921739497 157464 1.73239375982297
"38" "1" "Monti" "S2" "28/07/2015" "20" "up" 2016-03-16 1 50 2 4 96 96 9.79795897113271 4.56434819146784 0.283794109208328 884736 1.98227123303957
"39" "1" "Woogenellup" "S2" "28/07/2015" "21" "up" 2016-03-16 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
"40" "1" "Leura" "S2" "28/07/2015" "22" "up" 2016-03-16 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"41" "1" "Denmark" "S2" "28/07/2015" "23" "up" 2016-03-16 1 50 22 44 56 56 7.48331477354788 4.02535169073515 0.976410526793834 175616 1.7481880270062
"42" "1" "Antas" "S2" "28/07/2015" "24" "up" 2016-03-16 1 50 14 28 72 72 8.48528137423857 4.27666611901606 0.766994007861867 373248 1.85733249643127
"43" "2" "Leura" "S2" "28/07/2015" "25" "up" 2016-03-16 1 50 20 40 60 60 7.74596669241483 4.0943445622221 0.927295218001612 216000 1.77815125038364
"44" "2" "Woogenellup" "S2" "28/07/2015" "26" "up" 2016-03-16 1 50 26 52 48 48 6.92820323027551 3.87120101090789 1.07014161439031 110592 1.68124123737559
"45" "2" "Denmark" "S2" "28/07/2015" "27" "up" 2016-03-16 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
