"Cultivar" "SowTreat" "Variable" "DateMeasure" "SowingD" "avP" "avTT"
"78" "Antas" "S2" "Bud" 2015-11-24 2015-07-28 46.6666666666667 NA
"79" "Antas" "S2" "Bud" 2015-11-27 2015-07-28 46.6666666666667 NA
"80" "Antas" "S2" "Bud" 2015-12-02 2015-07-28 60 NA
"81" "Antas" "S2" "Bud" 2015-12-07 2015-07-28 60 NA
"82" "Antas" "S2" "Bud" 2015-12-10 2015-07-28 6.66666666666667 NA
"83" "Antas" "S2" "Bud" 2015-12-14 2015-07-28 0 NA
"84" "Antas" "S2" "Bud" 2015-12-18 2015-07-28 26.6666666666667 NA
"85" "Antas" "S2" "Bud" 2015-12-22 2015-07-28 6.66666666666667 NA
"86" "Antas" "S2" "Bud" 2015-12-29 2015-07-28 0 NA
"87" "Antas" "S2" "Bur1" 2015-11-09 2015-07-28 0 NA
"88" "Antas" "S2" "Bur1" 2015-11-14 2015-07-28 0 NA
"89" "Antas" "S2" "Bur1" 2015-11-19 2015-07-28 0 NA
"90" "Antas" "S2" "Bur1" 2015-11-24 2015-07-28 10 NA
"91" "Antas" "S2" "Bur1" 2015-11-27 2015-07-28 26.6666666666667 NA
"92" "Antas" "S2" "Bur1" 2015-12-02 2015-07-28 86.6666666666667 NA
"93" "Antas" "S2" "Bur1" 2015-12-07 2015-07-28 93.3333333333333 NA
"94" "Antas" "S2" "Bur1" 2015-12-10 2015-07-28 100 NA
"95" "Antas" "S2" "Bur1" 2015-12-14 2015-07-28 100 NA
"96" "Antas" "S2" "Bur1" 2015-12-18 2015-07-28 100 NA
"97" "Antas" "S2" "Bur1" 2015-12-22 2015-07-28 93.3333333333333 NA
"98" "Antas" "S2" "Bur1" 2015-12-29 2015-07-28 20 NA
"99" "Antas" "S2" "Bur2" 2015-11-09 2015-07-28 0 NA
"100" "Antas" "S2" "Bur2" 2015-11-14 2015-07-28 0 NA
"101" "Antas" "S2" "Bur2" 2015-11-19 2015-07-28 0 NA
"102" "Antas" "S2" "Bur2" 2015-11-24 2015-07-28 3.33333333333333 NA
"103" "Antas" "S2" "Bur2" 2015-11-27 2015-07-28 13.3333333333333 NA
"104" "Antas" "S2" "Bur2" 2015-12-02 2015-07-28 26.6666666666667 NA
"105" "Antas" "S2" "Bur2" 2015-12-07 2015-07-28 33.3333333333333 NA
"106" "Antas" "S2" "Bur2" 2015-12-10 2015-07-28 60 NA
"107" "Antas" "S2" "Bur2" 2015-12-14 2015-07-28 86.6666666666667 NA
"108" "Antas" "S2" "Bur2" 2015-12-18 2015-07-28 100 NA
"109" "Antas" "S2" "Bur2" 2015-12-22 2015-07-28 93.3333333333333 NA
