"Cultivar" "Variable" "SowTreat" "SowingD" "DAS50F" "TT50F"
"85" "Monti" "Bur" "S5" 2015-12-15 70.5 1169.69896212121
"86" "Monti" "Bur" "S6" 2016-02-17 243 2709.6555
"87" "Monti" "Bur" "S7" 2016-03-15 226.7 2371.8205
"88" "Monti" "Bur" "S8" 2016-05-04 181.25 1701.747
"89" "Monti" "Flowering" "S1" 2015-06-24 123.111111111111 1086.66977113989
"90" "Monti" "Flowering" "S2" 2015-07-28 107.784090909091 1058.43098106061
"91" "Monti" "Flowering" "S3" 2015-09-15 72.05 860.190275
"92" "Monti" "Flowering" "S4" 2015-11-05 61.125 882.4975
"93" "Monti" "Flowering" "S5" 2015-12-15 57.5 913.785125
"94" "Monti" "Flowering" "S6" 2016-02-17 164 1984.524625
"95" "Monti" "Flowering" "S7" 2016-03-15 185.95 1898.226575
"96" "Monti" "Flowering" "S8" 2016-05-04 154.5 1381.538
"97" "Narrikup" "Bud" "S1" 2015-06-24 131.46875 1196.03209058433
"98" "Narrikup" "Bud" "S2" 2015-07-28 107.925 1057.391125
"99" "Narrikup" "Bud" "S3" 2015-09-15 69.7022058823529 824.039027573529
"100" "Narrikup" "Bud" "S4" 2015-11-05 68.75 999.348916666667
"101" "Narrikup" "Bud" "S5" 2015-12-15 73 1227.06425
"102" "Narrikup" "Bud" "S6" 2016-02-17 165.75 1993.110375
"103" "Narrikup" "Bud" "S7" 2016-03-15 207.291666666667 2142.93979166667
"104" "Narrikup" "Bud" "S8" 2016-05-04 156.34375 1400.83084375
"105" "Narrikup" "Bur" "S1" 2015-06-24 138.333333333333 1260.44234058433
"106" "Narrikup" "Bur" "S2" 2015-07-28 110.25 1067.421375
"107" "Narrikup" "Bur" "S3" 2015-09-15 85.575 1076.7288375
"108" "Narrikup" "Bur" "S4" 2015-11-05 91.5 1390.883375
"109" "Narrikup" "Bur" "S5" 2015-12-15 77.375 1296.9817375
"110" "Narrikup" "Bur" "S6" 2016-02-17 247 2759.90775
"111" "Narrikup" "Bur" "S7" 2016-03-15 227.3125 2379.32275
"112" "Narrikup" "Bur" "S8" 2016-05-04 178.722222222222 1670.78533333333
"113" "Narrikup" "Flowering" "S1" 2015-06-24 121.4 1065.863682251
"114" "Narrikup" "Flowering" "S2" 2015-07-28 98.8032786885246 931.627008196721
"115" "Narrikup" "Flowering" "S3" 2015-09-15 73.625 885.4523125
"116" "Narrikup" "Flowering" "S4" 2015-11-05 71.75 1042.062625
"117" "Narrikup" "Flowering" "S5" 2015-12-15 67 1101.083
"118" "Narrikup" "Flowering" "S6" 2016-02-17 177.25 2049.200875
"119" "Narrikup" "Flowering" "S7" 2016-03-15 175.625 1796.1156875
"120" "Narrikup" "Flowering" "S8" 2016-05-04 148.916666666667 1313.86695833333
"121" "Woogenellup" "Bud" "S1" 2015-06-24 135.519480519481 1245.87552186139
"122" "Woogenellup" "Bud" "S2" 2015-07-28 100.818181818182 958.021573863636
"123" "Woogenellup" "Bud" "S3" 2015-09-15 76.7386363636364 940.438613636364
"124" "Woogenellup" "Bud" "S4" 2015-11-05 98.75 1523.43970833333
"125" "Woogenellup" "Bud" "S5" 2015-12-15 NA NA
"126" "Woogenellup" "Bud" "S6" 2016-02-17 238.307142857143 2657.49042857143
"127" "Woogenellup" "Bud" "S7" 2016-03-15 215.083333333333 2230.01658333333
"128" "Woogenellup" "Bud" "S8" 2016-05-04 168 1537.0686875
"129" "Woogenellup" "Bur" "S1" 2015-06-24 140.5 1285.458944751
"130" "Woogenellup" "Bur" "S2" 2015-07-28 118.583333333333 1175.15654166667
"131" "Woogenellup" "Bur" "S3" 2015-09-15 107.333333333333 1390.85783333333
"132" "Woogenellup" "Bur" "S4" 2015-11-05 112.89512195122 1797.63215
"133" "Woogenellup" "Bur" "S5" 2015-12-15 112.125 1847.07825
"134" "Woogenellup" "Bur" "S6" 2016-02-17 255.5 2866.21016666667
"135" "Woogenellup" "Bur" "S7" 2016-03-15 232 2436.6567
"136" "Woogenellup" "Bur" "S8" 2016-05-04 191 1830.08075
"137" "Woogenellup" "Flowering" "S1" 2015-06-24 129.5 1159.916007251
"138" "Woogenellup" "Flowering" "S2" 2015-07-28 100.818181818182 958.021573863636
"139" "Woogenellup" "Flowering" "S3" 2015-09-15 90.5 1151.03055952381
"140" "Woogenellup" "Flowering" "S4" 2015-11-05 97.3125 1495.11178125
"141" "Woogenellup" "Flowering" "S5" 2015-12-15 102.208333333333 1690.29920833333
"142" "Woogenellup" "Flowering" "S6" 2016-02-17 215.5 2396.06585
"143" "Woogenellup" "Flowering" "S7" 2016-03-15 189.928571428571 1940.06641071429
"144" "Woogenellup" "Flowering" "S8" 2016-05-04 157 1404.98975
