"SowingD" "Date" "Cultivar" "SowTreat" "DAS" "Plot" "Variable" "S1" "S2" "S3" "S4" "S5" "Percent" "TT_meas" "TT_sow" "Pp_sow" "TTAS"
"37" "2015-06-24" "2015-10-19" "Monti" "S1" 117 10 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"38" "2015-06-24" "2015-10-19" "Leura" "S1" 117 12 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"39" "2015-06-24" "2015-10-19" "Woogenellup" "S1" 117 13 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"40" "2015-06-24" "2015-10-19" "Antas" "S1" 117 14 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"41" "2015-06-24" "2015-10-19" "Monti" "S1" 117 15 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"42" "2015-06-24" "2015-10-19" "Narrikup" "S1" 117 11 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"43" "2015-06-24" "2015-10-19" "Denmark" "S1" 117 17 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"44" "2015-06-24" "2015-10-19" "Leura" "S1" 117 18 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"45" "2015-06-24" "2015-10-19" "Leura" "S1" 117 4 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"46" "2015-06-24" "2015-10-19" "Narrikup" "S1" 117 5 "Bud" 0 1 0 1 0 40 1111.88777174 13.055375 10.022 1098.83239674
"47" "2015-06-24" "2015-10-19" "Woogenellup" "S1" 117 6 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
"48" "2015-06-24" "2015-10-19" "Antas" "S1" 117 7 "Bud" 0 0 0 0 0 0 1111.88777174 13.055375 10.022 1098.83239674
