WaterPot	Temp	Cv	rep	startDate 	DateRead	RadicleLenghtMm	HoursofTest
0_Freewater 	10	Narrikup	3	15/07/2015	22/07/2015	6	155.00
0_Freewater 	10	Narrikup	3	15/07/2015	22/07/2015	6	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	5	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	7	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	5	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	5	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	4	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	5	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	6	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	6	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	4	155.00
0_Freewater 	10	Narrikup	4	15/07/2015	22/07/2015	5	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	16	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	16	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	16	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	19	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	1	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	18	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	8	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	9	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	18	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	16	155.00
0_Freewater 	10	Antas	2	15/07/2015	22/07/2015	13	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	14	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	13	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	13	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	19	155.00
0_Freewater 	10	Antas	3	15/07/2015	22/07/2015	18	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	13	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	14	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	9	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	10	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	17	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	13	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	15	155.00
0_Freewater 	10	Antas	4	15/07/2015	22/07/2015	15	155.00
