Plot	Block	Cultivar	SowTreat	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g	IndividualBurrWeight_g	TotalNumberofBurrs	Percent_Burrsburied 	IndividualSeedWeight_g	Seedsperbur	NumberTotalBurrs	TotalNumberSeeds	Seedsperm2	gseedsperm2	TSW_g
20	1	Monti	S2	214	0.3	Up	39.4	50	2.8	125	1.1	0.056	703.5714286	56.63057304	0.009	2.500	703.571	1758.929	5863.095	14657.738	8.800
20	1	Monti	S2	214	0.3	Down	49.61	50	2.7	139	1.001	0.054	918.7037037	*	0.007	2.780	918.704	2553.996	8513.321	23667.032	7.201
21	1	Woogenellup	S2	214	0.3	Up	45.16	50	2.6	227	1.265	0.052	868.4615385	69.02641716	0.006	4.540	868.462	3942.815	13142.718	59667.939	5.573
21	1	Woogenellup	S2	214	0.3	Down	92.9	50	2.4	194	1.034	0.048	1935.416667	*	0.005	3.880	1935.417	7509.417	25031.389	97121.789	5.330
22	1	Leura	S2	214	0.3	Up	39.78	50	4	185	1.542	0.08	497.25	55.16290295	0.008	3.700	497.250	1839.825	6132.750	22691.175	8.335
22	1	Leura	S2	214	0.3	Down	41.6	50	3.4	170	1.326	0.068	611.7647059	*	0.008	3.400	611.765	2080.000	6933.333	23573.333	7.800
23	1	Denmark	S2	214	0.3	Up	43.73	50	3.7	171	1.522	0.074	590.9459459	57.35128704	0.009	3.420	590.946	2021.035	6736.784	23039.801	8.901
23	1	Denmark	S2	214	0.3	Down	71.52	50	4.5	140	1.225	0.09	794.6666667	*	0.009	2.800	794.667	2225.067	7416.889	20767.289	8.750
24	1	Antas 	S2	214	0.3	Up	127.62	50	6.1	184	2.165	0.122	1046.065574	11.64571515	0.012	3.680	1046.066	3849.521	12831.738	47220.795	11.766
24	1	Antas 	S2	214	0.3	Down	18.2	50	6.6	174	1.993	0.132	137.8787879	*	0.011	3.480	137.879	479.818	1599.394	5565.891	11.454
25	2	Leura	S2	214	0.3	Up	10.33	50	2.7	146	0.726	0.054	191.2962963	59.39830204	0.005	2.920	191.296	558.585	1861.951	5436.896	4.973
25	2	Leura	S2	214	0.3	Down	19.59	50	3.5	174	1.088	0.07	279.8571429	*	0.006	3.480	279.857	973.903	3246.343	11297.273	6.253
26	2	Woogenellup	S2	214	0.3	Up	10.54	50	3.1	206	1.106	0.062	170	90.44477028	0.005	4.120	170.000	700.400	2334.667	9618.827	5.369
26	2	Woogenellup	S2	214	0.3	Down	74.02	50	2.3	204	1.271	0.046	1609.130435	*	0.006	4.080	1609.130	6565.252	21884.174	89287.430	6.230
27	2	Denmark	S2	214	0.3	Up	7.42	50	3.1	164	1.234	0.062	119.6774194	67.03199052	0.008	3.280	119.677	392.542	1308.473	4291.792	7.524
27	2	Denmark	S2	214	0.3	Down	23.36	50	4.8	153	1.295	0.096	243.3333333	*	0.008	3.060	243.333	744.600	2482.000	7594.920	8.464
28	2	Narrikup	S2	214	0.3	Up	21.7	50	2.7	156	1.073	0.054	401.8518519	65.7323332	0.007	3.120	401.852	1253.778	4179.259	13039.289	6.878
28	2	Narrikup	S2	214	0.3	Down	55.5	50	3.6	150	1.26	0.072	770.8333333	*	0.008	3.000	770.833	2312.500	7708.333	23125.000	8.400
29	2	Antas 	S2	214	0.3	Up	117.75	50	5.6	127	1.71	0.112	1051.339286	23.30195294	0.013	2.540	1051.339	2670.402	8901.339	22609.402	13.465
29	2	Antas 	S2	214	0.3	Down	32.58	50	5.1	138	1.548	0.102	319.4117647	*	0.011	2.760	319.412	881.576	2938.588	8110.504	11.217
30	2	Monti	S2	214	0.3	Up	23.91	50	2.4	124	1.042	0.048	498.125	30.66981484	0.008	2.480	498.125	1235.350	4117.833	10212.227	8.403
30	2	Monti	S2	214	0.3	Down	12.34	50	2.8	127	1.179	0.056	220.3571429	*	0.009	2.540	220.357	559.707	1865.690	4738.854	9.283
31	3	Denmark	S2	214	0.3	Up	25.31	50	4	155	1.364	0.08	316.375	70.11545589	0.009	3.100	316.375	980.763	3269.208	10134.546	8.800
31	3	Denmark	S2	214	0.3	Down	68.29	50	4.6	150	1.335	0.092	742.2826087	*	0.009	3.000	742.283	2226.848	7422.826	22268.478	8.900
