date	hour	Air
10/07/2015	21	-0.367
10/07/2015	22	-0.704
10/07/2015	23	-0.563
11/07/2015	0	-1.47
11/07/2015	1	-1.785
11/07/2015	2	-2.276
11/07/2015	3	-2.421
11/07/2015	4	-2.712
11/07/2015	5	-3.242
11/07/2015	6	-3.153
11/07/2015	7	-3.687
11/07/2015	8	-3.956
11/07/2015	9	-1.128
11/07/2015	10	3.538
11/07/2015	11	3.327
11/07/2015	12	5.462
11/07/2015	13	6.687
11/07/2015	14	7.419
11/07/2015	15	7.368
11/07/2015	16	6.636
11/07/2015	17	4.428
11/07/2015	18	1.724
11/07/2015	19	0.024
11/07/2015	20	-0.591
11/07/2015	21	-1.242
11/07/2015	22	-1.584
11/07/2015	23	-2.508
12/07/2015	0	-2.742
12/07/2015	1	-2.83
12/07/2015	2	-2.712
12/07/2015	3	-3.301
12/07/2015	4	-4.076
12/07/2015	5	-4.046
12/07/2015	6	-4.257
12/07/2015	7	-4.257
12/07/2015	8	-4.651
12/07/2015	9	-2.888
12/07/2015	10	1.588
12/07/2015	11	2.877
12/07/2015	12	4.037
12/07/2015	13	6.788
12/07/2015	14	7.318
12/07/2015	15	7.995
12/07/2015	16	7.87
12/07/2015	17	6.281
12/07/2015	18	1.615
12/07/2015	19	0.715
12/07/2015	20	-0.004
12/07/2015	21	-1.27
12/07/2015	22	-1.128
12/07/2015	23	-1.27
13/07/2015	0	-0.817
13/07/2015	1	-1.242
13/07/2015	2	-1.958
13/07/2015	3	-2.8
13/07/2015	4	-3.124
13/07/2015	5	-3.094
13/07/2015	6	-0.93
13/07/2015	7	0.163
13/07/2015	8	0.384
13/07/2015	9	1.967
13/07/2015	10	5.102
13/07/2015	11	8.469
13/07/2015	12	9.114
13/07/2015	13	9.485
13/07/2015	14	9.756
13/07/2015	15	9.312
13/07/2015	16	8.965
13/07/2015	17	7.645
13/07/2015	18	7.619
13/07/2015	19	7.895
13/07/2015	20	7.82
13/07/2015	21	7.97
13/07/2015	22	7.945
13/07/2015	23	7.695
14/07/2015	0	6.712
14/07/2015	1	4.74
14/07/2015	2	5.642
14/07/2015	3	5.514
14/07/2015	4	4.921
14/07/2015	5	5.205
14/07/2015	6	5.847
14/07/2015	7	5.949
14/07/2015	8	6.712
14/07/2015	9	8.295
14/07/2015	10	9.657
14/07/2015	11	10.687
14/07/2015	12	10.492
14/07/2015	13	10.565
14/07/2015	14	11.029
14/07/2015	15	11.151
14/07/2015	16	10.858
14/07/2015	17	10.001
14/07/2015	18	10.296
14/07/2015	19	10.026
14/07/2015	20	10.369
14/07/2015	21	10.271
14/07/2015	22	11.662
14/07/2015	23	11.856
15/07/2015	0	12.05
15/07/2015	1	11.783
15/07/2015	2	11.71
15/07/2015	3	10.907
15/07/2015	4	11.321
15/07/2015	5	12.122
15/07/2015	6	11.904
15/07/2015	7	12.05
15/07/2015	8	12.195
15/07/2015	9	12.413
15/07/2015	10	12.582
15/07/2015	11	12.534
15/07/2015	12	12.122
15/07/2015	13	12.025
15/07/2015	14	13.497
15/07/2015	15	12.847
15/07/2015	16	12.461
15/07/2015	17	13.161
15/07/2015	18	13.666
15/07/2015	19	13.064
15/07/2015	20	13.112
15/07/2015	21	12.243
15/07/2015	22	12.316
15/07/2015	23	11.929
16/07/2015	0	8.891
16/07/2015	1	7.845
16/07/2015	2	8.07
16/07/2015	3	6.433
16/07/2015	4	5.36
16/07/2015	5	6.026
16/07/2015	6	6.611
16/07/2015	7	6.331
16/07/2015	8	8.045
16/07/2015	9	9.509
16/07/2015	10	9.756
16/07/2015	11	10.296
16/07/2015	12	9.805
16/07/2015	13	9.336
16/07/2015	14	9.139
16/07/2015	15	9.238
16/07/2015	16	8.866
16/07/2015	17	8.045
16/07/2015	18	7.544
16/07/2015	19	7.242
16/07/2015	20	6.889
16/07/2015	21	6.839
16/07/2015	22	6.585
16/07/2015	23	6.026
17/07/2015	0	5.334
17/07/2015	1	5.205
17/07/2015	2	4.999
17/07/2015	3	3.301
17/07/2015	4	2.316
17/07/2015	5	3.564
17/07/2015	6	4.584
17/07/2015	7	4.895
17/07/2015	8	5.179
17/07/2015	9	5.539
17/07/2015	10	6.23
17/07/2015	11	7.494
17/07/2015	12	8.27
17/07/2015	13	8.891
17/07/2015	14	9.706
17/07/2015	15	9.089
17/07/2015	16	8.095
17/07/2015	17	7.343
17/07/2015	18	6.864
17/07/2015	19	6.94
17/07/2015	20	7.368
17/07/2015	21	7.97
17/07/2015	22	7.67
17/07/2015	23	7.393
18/07/2015	0	6.763
18/07/2015	1	5.872
18/07/2015	2	3.617
18/07/2015	3	3.643
18/07/2015	4	3.433
18/07/2015	5	3.854
18/07/2015	6	3.932
18/07/2015	7	4.298
18/07/2015	8	5.924
18/07/2015	9	5.745
18/07/2015	10	5.462
18/07/2015	11	5.437
18/07/2015	12	6.306
18/07/2015	13	7.167
18/07/2015	14	5.668
18/07/2015	15	5.949
18/07/2015	16	6.306
18/07/2015	17	5.565
18/07/2015	18	4.688
18/07/2015	19	4.35
18/07/2015	20	4.428
18/07/2015	21	3.749
18/07/2015	22	5.024
18/07/2015	23	4.558
19/07/2015	0	4.324
19/07/2015	1	4.037
19/07/2015	2	3.406
19/07/2015	3	2.664
19/07/2015	4	1.832
19/07/2015	5	1.615
19/07/2015	6	1.071
19/07/2015	7	1.534
19/07/2015	8	2.823
19/07/2015	9	4.194
19/07/2015	10	4.688
