SowTreat	Cultivar	Block	Plot	MaxSeedlingPerm2	MeanSoilTemp
S8	Narrikup	1	131	1966.666667	12.58
S8	Woogenellup	1	132	2400	12.58
S8	Denmark	2	133	2266.666667	12.58
S8	Woogenellup	2	134	2266.666667	12.58
S8	Narrikup	2	135	1900	12.58
S8	Leura	2	136	2233.333333	12.58
S8	Monti	2	137	1966.666667	12.58
S8	Antas 	2	138	1900	12.58
S8	Leura	3	139	1833.333333	12.58
S8	Monti	3	140	1900	12.58
S8	Woogenellup	3	141	2200	12.58
S8	Antas 	3	142	2300	12.58
S8	Denmark	3	143	1966.666667	12.58
S8	Narrikup	3	144	2133.333333	12.58
