StartDate	HardSeedAssessDate	Plot	Block	Cultivar	SowTreat	SowingD	depth 	round	Imbibed	GermAssessDate 	embGerminated	Dead	SeedNumber
9/05/2015	NA	14	3	Antas 	S1	24/06/2015	down	4	NA	NA	NA	NA	NA
9/06/2015	NA	14	3	Antas 	S1	24/06/2015	down	5	NA	NA	NA	NA	NA
1/02/2016	16/02/2016	15	3	Monti	S1	24/06/2015	down	1	2	2/03/2016	NA	NA	50
9/03/2016	9/03/2016	15	3	Monti	S1	24/06/2015	down	2	2	NA	NA	NA	NA
9/04/2015	NA	15	3	Monti	S1	24/06/2015	down	3	NA	NA	NA	NA	NA
9/05/2015	NA	15	3	Monti	S1	24/06/2015	down	4	NA	NA	NA	NA	NA
9/06/2015	NA	15	3	Monti	S1	24/06/2015	down	5	NA	NA	NA	NA	NA
1/02/2016	16/02/2016	16	3	Narrikup	S1	24/06/2015	down	1	4	2/03/2016	NA	NA	50
9/03/2016	9/03/2016	16	3	Narrikup	S1	24/06/2015	down	2	1	NA	NA	NA	NA
9/04/2015	NA	16	3	Narrikup	S1	24/06/2015	down	3	NA	NA	NA	NA	NA
9/05/2015	NA	16	3	Narrikup	S1	24/06/2015	down	4	NA	NA	NA	NA	NA
9/06/2015	NA	16	3	Narrikup	S1	24/06/2015	down	5	NA	NA	NA	NA	NA
1/02/2016	16/02/2016	17	3	Denmark	S1	24/06/2015	down	1	16	2/03/2016	NA	NA	50
9/03/2016	9/03/2016	17	3	Denmark	S1	24/06/2015	down	2	0	NA	NA	NA	NA
9/04/2015	NA	17	3	Denmark	S1	24/06/2015	down	3	NA	NA	NA	NA	NA
9/05/2015	NA	17	3	Denmark	S1	24/06/2015	down	4	NA	NA	NA	NA	NA
9/06/2015	NA	17	3	Denmark	S1	24/06/2015	down	5	NA	NA	NA	NA	NA
1/02/2016	16/02/2016	18	3	Leura	S1	24/06/2015	down	1	21	2/03/2016	NA	NA	50
9/03/2016	9/03/2016	18	3	Leura	S1	24/06/2015	down	2	0	NA	NA	NA	NA
9/04/2015	NA	18	3	Leura	S1	24/06/2015	down	3	NA	NA	NA	NA	NA
9/05/2015	NA	18	3	Leura	S1	24/06/2015	down	4	NA	NA	NA	NA	NA
9/06/2015	NA	18	3	Leura	S1	24/06/2015	down	5	NA	NA	NA	NA	NA
1/03/2016	16/03/2016	19	1	Narrikup	S2	28/07/2015	up	1	23	NA	NA	NA	50
NA	NA	19	1	Narrikup	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	up	1	2	NA	NA	NA	50
NA	NA	20	1	Monti	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	up	1	2	NA	NA	NA	50
NA	NA	21	1	Woogenellup	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	up	1	2	NA	NA	NA	50
NA	NA	22	1	Leura	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	up	1	22	NA	NA	NA	50
NA	NA	23	1	Denmark	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
