StartDate	HardSeedAssessDate	Plot	Block	Cultivar	SowTreat	SowingD	depth 	round	Imbibed	GermAssessDate 	embGerminated	Dead	SeedNumber
NA	NA	22	1	Leura	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	down	1	18	NA	NA	NA	50
NA	NA	23	1	Denmark	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	23	1	Denmark	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	down	1	21	NA	NA	NA	50
NA	NA	24	1	Antas 	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	24	1	Antas 	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	down	1	27	NA	NA	NA	50
NA	NA	25	2	Leura	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	25	2	Leura	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	down	1	4	NA	NA	NA	50
NA	NA	26	2	Woogenellup	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	26	2	Woogenellup	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	down	1	17	NA	NA	NA	50
NA	NA	27	2	Denmark	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	27	2	Denmark	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	down	1	22	NA	NA	NA	50
NA	NA	28	2	Narrikup	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	28	2	Narrikup	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	down	1	37	NA	NA	NA	50
NA	NA	29	2	Antas 	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	29	2	Antas 	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	down	1	7	NA	NA	NA	50
NA	NA	30	2	Monti	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	30	2	Monti	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	down	1	6	NA	NA	NA	50
NA	NA	31	3	Denmark	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	31	3	Denmark	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	down	1	16	NA	NA	NA	50
NA	NA	32	3	Antas 	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	32	3	Antas 	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	down	1	8	NA	NA	NA	50
NA	NA	33	3	Monti	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	33	3	Monti	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	down	1	42	NA	NA	NA	50
NA	NA	34	3	Woogenellup	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	down	1	17	NA	NA	NA	50
NA	NA	35	3	Leura	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	down	1	36	NA	NA	NA	50
NA	NA	36	3	Narrikup	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
