Temp	Cv	rep	startDate 	DateRead	CountedGerm 	HoursofTest	PercentGerm
10	Narrikup	4	15/07/15	22/07/15	1	168.00	2
10	Antas	1	15/07/15	23/07/15	0	192.00	0
10	Antas	2	15/07/15	23/07/15	0	192.00	0
10	Antas	3	15/07/15	23/07/15	0	192.00	0
10	Antas	4	15/07/15	23/07/15	0	192.00	0
10	Denmark	1	15/07/15	23/07/15	2	192.00	4
10	Denmark	2	15/07/15	23/07/15	1	192.00	2
10	Denmark	3	15/07/15	23/07/15	1	192.00	2
10	Denmark	4	15/07/15	23/07/15	1	192.00	2
10	Monti	1	15/07/15	23/07/15	1	192.00	2
10	Monti	2	15/07/15	23/07/15	1	192.00	2
10	Monti	3	15/07/15	23/07/15	1	192.00	2
10	Monti	4	15/07/15	23/07/15	0	192.00	0
10	Narrikup	1	15/07/15	23/07/15	0	192.00	0
10	Narrikup	2	15/07/15	23/07/15	0	192.00	0
10	Narrikup	3	15/07/15	23/07/15	1	192.00	2
10	Narrikup	4	15/07/15	23/07/15	1	192.00	2
10	Antas	1	15/07/15	24/07/15	0	216.00	0
10	Antas	2	15/07/15	24/07/15	0	216.00	0
10	Antas	3	15/07/15	24/07/15	0	216.00	0
10	Antas	4	15/07/15	24/07/15	0	216.00	0
10	Denmark	1	15/07/15	24/07/15	4	216.00	8
10	Denmark	2	15/07/15	24/07/15	0	216.00	0
10	Denmark	3	15/07/15	24/07/15	1	216.00	2
10	Denmark	4	15/07/15	24/07/15	1	216.00	2
10	Monti	1	15/07/15	24/07/15	0	216.00	0
10	Monti	2	15/07/15	24/07/15	0	216.00	0
10	Monti	3	15/07/15	24/07/15	0	216.00	0
10	Monti	4	15/07/15	24/07/15	0	216.00	0
10	Narrikup	1	15/07/15	24/07/15	0	216.00	0
10	Narrikup	2	15/07/15	24/07/15	0	216.00	0
10	Narrikup	3	15/07/15	24/07/15	0	216.00	0
10	Narrikup	4	15/07/15	24/07/15	0	216.00	0
10	Antas	1	15/07/15	25/07/15	0	240.00	0
10	Antas	2	15/07/15	25/07/15	0	240.00	0
10	Antas	3	15/07/15	25/07/15	0	240.00	0
10	Antas	4	15/07/15	25/07/15	1	240.00	2
10	Denmark	1	15/07/15	25/07/15	1	240.00	2
10	Denmark	2	15/07/15	25/07/15	0	240.00	0
10	Denmark	3	15/07/15	25/07/15	0	240.00	0
10	Denmark	4	15/07/15	25/07/15	1	240.00	2
10	Monti	1	15/07/15	25/07/15	0	240.00	0
10	Monti	2	15/07/15	25/07/15	0	240.00	0
10	Monti	3	15/07/15	25/07/15	0	240.00	0
10	Monti	4	15/07/15	25/07/15	0	240.00	0
10	Narrikup	1	15/07/15	25/07/15	1	240.00	2
10	Narrikup	2	15/07/15	25/07/15	0	240.00	0
10	Narrikup	3	15/07/15	25/07/15	0	240.00	0
10	Narrikup	4	15/07/15	25/07/15	1	240.00	2
20	Antas	1	16/07/15	17/07/15	4	24.00	8
20	Antas	2	16/07/15	17/07/15	6	24.00	12
20	Antas	3	16/07/15	17/07/15	0	24.00	0
20	Antas	4	16/07/15	17/07/15	0	24.00	0
20	Denmark	1	16/07/15	17/07/15	0	24.00	0
20	Denmark	2	16/07/15	17/07/15	1	24.00	2
20	Denmark	3	16/07/15	17/07/15	0	24.00	0
20	Denmark	4	16/07/15	17/07/15	0	24.00	0
20	Monti	1	16/07/15	17/07/15	0	24.00	0
20	Monti	2	16/07/15	17/07/15	1	24.00	2
20	Monti	3	16/07/15	17/07/15	0	24.00	0
