"date" "hour" "Air"
"187" 2015-07-08 11 5.488
"188" 2015-07-08 12 6.102
"189" 2015-07-08 13 6.99
"190" 2015-07-08 14 5.591
"191" 2015-07-08 15 3.67
"192" 2015-07-08 16 4.532
"193" 2015-07-08 17 3.564
"194" 2015-07-08 18 2.744
"195" 2015-07-08 19 2.877
"196" 2015-07-08 20 4.428
"197" 2015-07-08 21 3.854
"198" 2015-07-08 22 4.298
"199" 2015-07-08 23 3.775
"200" 2015-07-09 0 3.327
"201" 2015-07-09 1 3.036
"202" 2015-07-09 2 2.93
"203" 2015-07-09 3 3.749
"204" 2015-07-09 4 4.376
"205" 2015-07-09 5 4.115
"206" 2015-07-09 6 3.327
"207" 2015-07-09 7 3.591
"208" 2015-07-09 8 4.636
"209" 2015-07-09 9 4.272
"210" 2015-07-09 10 5.128
"211" 2015-07-09 11 5.872
"212" 2015-07-09 12 5.282
"213" 2015-07-09 13 6.357
"214" 2015-07-09 14 5.565
"215" 2015-07-09 15 6.179
"216" 2015-07-09 16 5.437
"217" 2015-07-09 17 5.05
"218" 2015-07-09 18 5.102
"219" 2015-07-09 19 5.024
"220" 2015-07-09 20 5.05
"221" 2015-07-09 21 5.36
"222" 2015-07-09 22 5.282
"223" 2015-07-09 23 5.076
"224" 2015-07-10 0 5.179
"225" 2015-07-10 1 5.128
"226" 2015-07-10 2 5.385
"227" 2015-07-10 3 5.154
"228" 2015-07-10 4 3.854
"229" 2015-07-10 5 3.749
"230" 2015-07-10 6 3.696
"231" 2015-07-10 7 3.617
"232" 2015-07-10 8 3.775
"233" 2015-07-10 9 4.115
"234" 2015-07-10 10 4.558
"235" 2015-07-10 11 6.128
"236" 2015-07-10 12 6.914
"237" 2015-07-10 13 7.745
"238" 2015-07-10 14 7.645
"239" 2015-07-10 15 7.116
"240" 2015-07-10 16 7.544
"241" 2015-07-10 17 5.385
"242" 2015-07-10 18 2.209
"243" 2015-07-10 19 0.989
"244" 2015-07-10 20 0.577
"245" 2015-07-10 21 -0.367
"246" 2015-07-10 22 -0.704
"247" 2015-07-10 23 -0.563
"248" 2015-07-11 0 -1.47
"249" 2015-07-11 1 -1.785
"250" 2015-07-11 2 -2.276
"251" 2015-07-11 3 -2.421
"252" 2015-07-11 4 -2.712
"253" 2015-07-11 5 -3.242
"254" 2015-07-11 6 -3.153
"255" 2015-07-11 7 -3.687
"256" 2015-07-11 8 -3.956
"257" 2015-07-11 9 -1.128
"258" 2015-07-11 10 3.538
"259" 2015-07-11 11 3.327
"260" 2015-07-11 12 5.462
"261" 2015-07-11 13 6.687
"262" 2015-07-11 14 7.419
"263" 2015-07-11 15 7.368
"264" 2015-07-11 16 6.636
"265" 2015-07-11 17 4.428
"266" 2015-07-11 18 1.724
"267" 2015-07-11 19 0.024
"268" 2015-07-11 20 -0.591
"269" 2015-07-11 21 -1.242
"270" 2015-07-11 22 -1.584
"271" 2015-07-11 23 -2.508
"272" 2015-07-12 0 -2.742
"273" 2015-07-12 1 -2.83
"274" 2015-07-12 2 -2.712
"275" 2015-07-12 3 -3.301
"276" 2015-07-12 4 -4.076
"277" 2015-07-12 5 -4.046
"278" 2015-07-12 6 -4.257
"279" 2015-07-12 7 -4.257
"280" 2015-07-12 8 -4.651
"281" 2015-07-12 9 -2.888
