"Cultivar" "SowTreat" "DAS" "av_Perc" "av_TT" "av_DAS"
"117" "Denmark" "S3" 9 61.81 85.7140000000001 9
"118" "Denmark" "S3" 13 91.0633333333333 115.611 13
"119" "Denmark" "S3" 16 99.0333333333333 153.9485 16
"120" "Denmark" "S3" 20 99.0333333333333 205.845 20
"121" "Denmark" "S4" 0 0 0 0
"122" "Denmark" "S4" 2 0 24.3200000000002 2
"123" "Denmark" "S4" 4 5.68333333333333 53.5135 4
"124" "Denmark" "S4" 6 49.1233333333333 79.3665000000001 6
"125" "Denmark" "S4" 9 62.9366666666667 113.545 9
"126" "Denmark" "S4" 12 70.1 147.0315 12
"127" "Denmark" "S4" 14 76.5066666666667 164.6385 14
"128" "Denmark" "S4" 17 89.4466666666667 204.61 17
"129" "Denmark" "S4" 20 97.49 260.072 20
"130" "Denmark" "S4" 23 100 313.2095 23
"131" "Denmark" "S4" 25 100 341.4115 25
"132" "Denmark" "S5" 0 0 0 0
"133" "Denmark" "S5" 2 0 22.4515000000001 2
"134" "Denmark" "S5" 3 9.92333333333333 34.3390000000002 3
"135" "Denmark" "S5" 5 53.99 60.3395 5
"136" "Denmark" "S5" 8 82.33 109.367 8
"137" "Denmark" "S5" 11 90.67 155.5575 11
"138" "Denmark" "S5" 14 99.4533333333333 200.301 14
"139" "Denmark" "S5" 16 98.2633333333333 225.3835 16
"140" "Denmark" "S5" 19 99.4033333333333 272.0835 19
"141" "Denmark" "S6" 0 0 0 0
"142" "Denmark" "S6" 5 38.52 94.395 5
"143" "Denmark" "S6" 7 75.3133333333333 134.7865 7
"144" "Denmark" "S6" 9 83.19 183.7295 9
"145" "Denmark" "S6" 11 96.58 224.2655 11
"146" "Denmark" "S6" 13 88.49 251.6395 13
"147" "Denmark" "S6" 16 89.4166666666667 297.294 16
"148" "Denmark" "S6" 19 89.4166666666667 355.146 19
"149" "Denmark" "S7" 0 0 0 0
"150" "Denmark" "S7" 2 0 22.4110000000001 2
"151" "Denmark" "S7" 5 6.68666666666667 83.471 5
"152" "Denmark" "S7" 7 54 125.8575 7
"153" "Denmark" "S7" 9 94.2633333333333 161.373 9
"154" "Denmark" "S7" 10 94.2633333333333 173.9405 10
"155" "Denmark" "S7" 11 100 186.613 11
"156" "Denmark" "S7" 17 100 276.5555 17
"157" "Denmark" "S8" 0 0 0 0
"158" "Denmark" "S8" 7 0 103.0635 7
"159" "Denmark" "S8" 9 15.29 136.5005 9
"160" "Denmark" "S8" 12 34.1866666666667 177.7455 12
"161" "Denmark" "S8" 14 38.39 197.7555 14
"162" "Denmark" "S8" 16 71.29 219.129 16
"163" "Denmark" "S8" 18 64.36 237.186000000001 18
"164" "Denmark" "S8" 20 94.9033333333333 254.043500000001 20
"165" "Denmark" "S8" 22 91.5766666666667 272.726000000001 22
"166" "Denmark" "S8" 25 94.6066666666667 298.7955 25
"167" "Leura" "S1" 0 0 0 0
"168" "Leura" "S1" 3 0 70.49955616 3
"169" "Leura" "S1" 7 0 164.73789674 7
"170" "Leura" "S1" 10 0 191.06989674 10
"171" "Leura" "S1" 13 0 209.07089674 13
"172" "Leura" "S1" 19 0 227.00839674 19
"173" "Leura" "S1" 27 0 281.04789674 27
"174" "Leura" "S1" 30 6.36333333333333 305.01039674 30
"175" "Leura" "S1" 34 16.06 349.11039674 34
"176" "Leura" "S1" 43 42.34 424.14889674 43
"177" "Leura" "S1" 47 47.4033333333333 440.40839674 47
"178" "Leura" "S1" 51 68.53 468.80989674 51
"179" "Leura" "S1" 58 78.0533333333333 526.81689674 58
"180" "Leura" "S1" 65 69.9566666666667 570.37439674 65
"181" "Leura" "S1" 68 100 591.06089674 68
"182" "Leura" "S1" 72 100 623.54339674 72
"183" "Leura" "S1" 75 100 644.64889674 75
"184" "Leura" "S2" 0 0 0 0
"185" "Leura" "S2" 2 0 11.1 2
"186" "Leura" "S2" 4 0 27.0085 4
"187" "Leura" "S2" 6 0.596666666666667 51.809 6
"188" "Leura" "S2" 10 28.3766666666667 80.384 10
"189" "Leura" "S2" 13 44.46 91.298 13
"190" "Leura" "S2" 18 64.25 130.577 18
"191" "Leura" "S2" 23 81.49 172.4935 23
"192" "Leura" "S2" 29 70.1 211.7515 29
"193" "Leura" "S2" 36 82.6066666666667 259.9605 36
"194" "Leura" "S2" 43 100 306.381 43
"195" "Leura" "S2" 47 100 340.564 47
"196" "Leura" "S3" 0 0 0 0
"197" "Leura" "S3" 2 0 30.129 2
"198" "Leura" "S3" 4 12.3966666666667 49.5445000000001 4
"199" "Leura" "S3" 6 45.23 61.9235 6
"200" "Leura" "S3" 9 69.6033333333333 85.7140000000001 9
"201" "Leura" "S3" 13 87.8366666666667 115.611 13
"202" "Leura" "S3" 16 100 153.9485 16
"203" "Leura" "S3" 20 99.59 205.845 20
"204" "Leura" "S4" 0 0 0 0
"205" "Leura" "S4" 2 0 24.3200000000002 2
"206" "Leura" "S4" 4 8.58333333333333 53.5135 4
"207" "Leura" "S4" 6 49.4333333333333 79.3665000000001 6
"208" "Leura" "S4" 9 60.9366666666667 113.545 9
"209" "Leura" "S4" 12 71.0466666666667 147.0315 12
"210" "Leura" "S4" 14 71.9266666666667 164.6385 14
"211" "Leura" "S4" 17 88.4966666666667 204.61 17
"212" "Leura" "S4" 20 100 260.072 20
"213" "Leura" "S4" 23 99.4533333333333 313.2095 23
"214" "Leura" "S4" 25 99.4533333333333 341.4115 25
"215" "Leura" "S5" 0 0 0 0
"216" "Leura" "S5" 2 0 22.4515000000001 2
"217" "Leura" "S5" 3 11.3266666666667 34.3390000000002 3
"218" "Leura" "S5" 5 67.5066666666667 60.3395 5
"219" "Leura" "S5" 8 91.6033333333333 109.367 8
"220" "Leura" "S5" 11 92.2633333333333 155.5575 11
"221" "Leura" "S5" 14 93.7566666666667 200.301 14
"222" "Leura" "S5" 16 91.8233333333333 225.3835 16
"223" "Leura" "S5" 19 93.52 272.0835 19
"224" "Leura" "S6" 0 0 0 0
"225" "Leura" "S6" 5 58.02 94.395 5
"226" "Leura" "S6" 7 61.38 134.7865 7
"227" "Leura" "S6" 9 100 183.7295 9
"228" "Leura" "S6" 11 75.0333333333333 224.2655 11
"229" "Leura" "S6" 13 87.0066666666667 251.6395 13
"230" "Leura" "S6" 16 87.65 297.294 16
"231" "Leura" "S6" 19 87.65 355.146 19
"232" "Leura" "S7" 0 0 0 0
"233" "Leura" "S7" 2 0 22.4110000000001 2
"234" "Leura" "S7" 5 28.27 83.471 5
"235" "Leura" "S7" 7 78.8266666666667 125.8575 7
"236" "Leura" "S7" 9 87.9 161.373 9
"237" "Leura" "S7" 10 91.11 173.9405 10
"238" "Leura" "S7" 11 100 186.613 11
"239" "Leura" "S7" 17 100 276.5555 17
"240" "Leura" "S8" 0 0 0 0
"241" "Leura" "S8" 7 0.496666666666667 103.0635 7
"242" "Leura" "S8" 9 17.2633333333333 136.5005 9
"243" "Leura" "S8" 12 43.6266666666667 177.7455 12
"244" "Leura" "S8" 14 42.7333333333333 197.7555 14
"245" "Leura" "S8" 16 61.92 219.129 16
"246" "Leura" "S8" 18 61.88 237.186000000001 18
"247" "Leura" "S8" 20 73.3133333333333 254.043500000001 20
"248" "Leura" "S8" 22 93.0333333333333 272.726000000001 22
"249" "Leura" "S8" 25 91.92 298.7955 25
"250" "Monti" "S1" 0 0 0 0
"251" "Monti" "S1" 3 0 70.49955616 3
"252" "Monti" "S1" 7 0 164.73789674 7
"253" "Monti" "S1" 10 0 191.06989674 10
"254" "Monti" "S1" 13 0 209.07089674 13
"255" "Monti" "S1" 19 0 227.00839674 19
"256" "Monti" "S1" 27 0 281.04789674 27
"257" "Monti" "S1" 30 8.93 305.01039674 30
"258" "Monti" "S1" 34 18.4533333333333 349.11039674 34
"259" "Monti" "S1" 43 39.88 424.14889674 43
"260" "Monti" "S1" 47 48.2133333333333 440.40839674 47
"261" "Monti" "S1" 51 60.7133333333333 468.80989674 51
"262" "Monti" "S1" 58 73.2133333333333 526.81689674 58
"263" "Monti" "S1" 65 95.2366666666667 570.37439674 65
"264" "Monti" "S1" 68 66.6666666666667 591.06089674 68
"265" "Monti" "S1" 72 66.6666666666667 623.54339674 72
"266" "Monti" "S1" 75 66.6666666666667 644.64889674 75
"267" "Monti" "S2" 0 0 0 0
"268" "Monti" "S2" 2 0 11.1 2
"269" "Monti" "S2" 4 0 27.0085 4
"270" "Monti" "S2" 6 0 51.809 6
"271" "Monti" "S2" 10 20.9766666666667 80.384 10
"272" "Monti" "S2" 13 37.0433333333333 91.298 13
"273" "Monti" "S2" 18 52.3633333333333 130.577 18
"274" "Monti" "S2" 23 66.3066666666667 172.4935 23
"275" "Monti" "S2" 29 63.72 211.7515 29
"276" "Monti" "S2" 36 85.0833333333333 259.9605 36
"277" "Monti" "S2" 43 100 306.381 43
"278" "Monti" "S2" 47 100 340.564 47
"279" "Monti" "S3" 0 0 0 0
"280" "Monti" "S3" 2 0 30.129 2
"281" "Monti" "S3" 4 10.6866666666667 49.5445000000001 4
"282" "Monti" "S3" 6 42.3 61.9235 6
"283" "Monti" "S3" 9 62.84 85.7140000000001 9
"284" "Monti" "S3" 13 91.3633333333333 115.611 13
"285" "Monti" "S3" 16 100 153.9485 16
"286" "Monti" "S3" 20 98.7533333333333 205.845 20
"287" "Monti" "S4" 0 0 0 0
"288" "Monti" "S4" 2 0 24.3200000000002 2
"289" "Monti" "S4" 4 7.02333333333333 53.5135 4
"290" "Monti" "S4" 6 49.5733333333333 79.3665000000001 6
"291" "Monti" "S4" 9 61.6433333333333 113.545 9
"292" "Monti" "S4" 12 70.7533333333333 147.0315 12
"293" "Monti" "S4" 14 75.4266666666667 164.6385 14
"294" "Monti" "S4" 17 87.7133333333333 204.61 17
"295" "Monti" "S4" 20 96.61 260.072 20
"296" "Monti" "S4" 23 100 313.2095 23
"297" "Monti" "S4" 25 100 341.4115 25
"298" "Monti" "S5" 0 0 0 0
"299" "Monti" "S5" 2 0 22.4515000000001 2
"300" "Monti" "S5" 3 10.7666666666667 34.3390000000002 3
"301" "Monti" "S5" 5 64.5566666666667 60.3395 5
"302" "Monti" "S5" 8 89.4433333333333 109.367 8
"303" "Monti" "S5" 11 91.5433333333333 155.5575 11
"304" "Monti" "S5" 14 100 200.301 14
"305" "Monti" "S5" 16 98.89 225.3835 16
"306" "Monti" "S5" 19 98.89 272.0835 19
"307" "Monti" "S6" 0 0 0 0
"308" "Monti" "S6" 5 18.8733333333333 94.395 5
"309" "Monti" "S6" 7 49.0233333333333 134.7865 7
"310" "Monti" "S6" 9 46.32 183.7295 9
"311" "Monti" "S6" 11 65.9533333333333 224.2655 11
"312" "Monti" "S6" 13 98.1966666666667 251.6395 13
"313" "Monti" "S6" 16 98.73 297.294 16
"314" "Monti" "S6" 19 98.73 355.146 19
"315" "Monti" "S7" 0 0 0 0
"316" "Monti" "S7" 2 0 22.4110000000001 2
"317" "Monti" "S7" 5 6.94 83.471 5
"318" "Monti" "S7" 7 54.12 125.8575 7
"319" "Monti" "S7" 9 80.7766666666667 161.373 9
"320" "Monti" "S7" 10 84.4833333333333 173.9405 10
"321" "Monti" "S7" 11 100 186.613 11
"322" "Monti" "S7" 17 100 276.5555 17
"323" "Monti" "S8" 0 0 0 0
"324" "Monti" "S8" 7 0 103.0635 7
"325" "Monti" "S8" 9 17.99 136.5005 9
"326" "Monti" "S8" 12 54.5233333333333 177.7455 12
"327" "Monti" "S8" 14 62.9333333333333 197.7555 14
"328" "Monti" "S8" 16 79.0033333333333 219.129 16
"329" "Monti" "S8" 18 68.1533333333333 237.186000000001 18
"330" "Monti" "S8" 20 100 254.043500000001 20
"331" "Monti" "S8" 22 80.37 272.726000000001 22
"332" "Monti" "S8" 25 80.37 298.7955 25
"333" "Narrikup" "S1" 0 0 0 0
"334" "Narrikup" "S1" 3 0 70.49955616 3
"335" "Narrikup" "S1" 7 0 164.73789674 7
"336" "Narrikup" "S1" 10 0 191.06989674 10
"337" "Narrikup" "S1" 13 0 209.07089674 13
"338" "Narrikup" "S1" 19 0 227.00839674 19
"339" "Narrikup" "S1" 27 0 281.04789674 27
"340" "Narrikup" "S1" 30 13.0966666666667 305.01039674 30
"341" "Narrikup" "S1" 34 17.2633333333333 349.11039674 34
"342" "Narrikup" "S1" 43 53.57 424.14889674 43
"343" "Narrikup" "S1" 47 53.57 440.40839674 47
"344" "Narrikup" "S1" 51 75 468.80989674 51
"345" "Narrikup" "S1" 58 74.4033333333333 526.81689674 58
"346" "Narrikup" "S1" 65 65.4766666666667 570.37439674 65
"347" "Narrikup" "S1" 68 95.2366666666667 591.06089674 68
"348" "Narrikup" "S1" 72 95.2366666666667 623.54339674 72
"349" "Narrikup" "S1" 75 95.2366666666667 644.64889674 75
"350" "Narrikup" "S2" 0 0 0 0
"351" "Narrikup" "S2" 2 0 11.1 2
"352" "Narrikup" "S2" 4 0 27.0085 4
"353" "Narrikup" "S2" 6 0.53 51.809 6
"354" "Narrikup" "S2" 10 22.9233333333333 80.384 10
"355" "Narrikup" "S2" 13 39.76 91.298 13
"356" "Narrikup" "S2" 18 53.5233333333333 130.577 18
"357" "Narrikup" "S2" 23 69.9366666666667 172.4935 23
"358" "Narrikup" "S2" 29 67.5433333333333 211.7515 29
"359" "Narrikup" "S2" 36 80.69 259.9605 36
"360" "Narrikup" "S2" 43 100 306.381 43
"361" "Narrikup" "S2" 47 100 340.564 47
"362" "Narrikup" "S3" 0 0 0 0
"363" "Narrikup" "S3" 2 0 30.129 2
"364" "Narrikup" "S3" 4 11.92 49.5445000000001 4
"365" "Narrikup" "S3" 6 48.1866666666667 61.9235 6
"366" "Narrikup" "S3" 9 69.3966666666667 85.7140000000001 9
"367" "Narrikup" "S3" 13 94.1166666666667 115.611 13
"368" "Narrikup" "S3" 16 98.4133333333333 153.9485 16
"369" "Narrikup" "S3" 20 97.2366666666667 205.845 20
"370" "Narrikup" "S4" 0 0 0 0
"371" "Narrikup" "S4" 2 0 24.3200000000002 2
"372" "Narrikup" "S4" 4 5.84 53.5135 4
"373" "Narrikup" "S4" 6 49.0333333333333 79.3665000000001 6
"374" "Narrikup" "S4" 9 60.5366666666667 113.545 9
"375" "Narrikup" "S4" 12 70.0966666666667 147.0315 12
"376" "Narrikup" "S4" 14 78.5366666666667 164.6385 14
"377" "Narrikup" "S4" 17 89.7366666666667 204.61 17
"378" "Narrikup" "S4" 20 98.61 260.072 20
"379" "Narrikup" "S4" 23 98.36 313.2095 23
"380" "Narrikup" "S4" 25 98.36 341.4115 25
"381" "Narrikup" "S5" 0 0 0 0
"382" "Narrikup" "S5" 2 0 22.4515000000001 2
"383" "Narrikup" "S5" 3 13.8666666666667 34.3390000000002 3
"384" "Narrikup" "S5" 5 56.07 60.3395 5
"385" "Narrikup" "S5" 8 84.5033333333333 109.367 8
"386" "Narrikup" "S5" 11 93.23 155.5575 11
"387" "Narrikup" "S5" 14 99.4866666666667 200.301 14
"388" "Narrikup" "S5" 16 97.6333333333333 225.3835 16
"389" "Narrikup" "S5" 19 98.1466666666667 272.0835 19
"390" "Narrikup" "S6" 0 0 0 0
"391" "Narrikup" "S6" 5 37.87 94.395 5
"392" "Narrikup" "S6" 7 90.68 134.7865 7
"393" "Narrikup" "S6" 9 64.7533333333333 183.7295 9
"394" "Narrikup" "S6" 11 72.49 224.2655 11
"395" "Narrikup" "S6" 13 96.6466666666667 251.6395 13
"396" "Narrikup" "S6" 16 96.5733333333333 297.294 16
"397" "Narrikup" "S6" 19 96.5733333333333 355.146 19
"398" "Narrikup" "S7" 0 0 0 0
"399" "Narrikup" "S7" 2 0 22.4110000000001 2
"400" "Narrikup" "S7" 5 7.52666666666667 83.471 5
"401" "Narrikup" "S7" 7 53.6266666666667 125.8575 7
"402" "Narrikup" "S7" 9 83.1333333333333 161.373 9
"403" "Narrikup" "S7" 10 83.1333333333333 173.9405 10
"404" "Narrikup" "S7" 11 100 186.613 11
"405" "Narrikup" "S7" 17 100 276.5555 17
"406" "Narrikup" "S8" 0 0 0 0
"407" "Narrikup" "S8" 7 0.563333333333333 103.0635 7
"408" "Narrikup" "S8" 9 12.14 136.5005 9
"409" "Narrikup" "S8" 12 58.5633333333333 177.7455 12
"410" "Narrikup" "S8" 14 51.4066666666667 197.7555 14
"411" "Narrikup" "S8" 16 60.2666666666667 219.129 16
"412" "Narrikup" "S8" 18 83.3233333333333 237.186000000001 18
"413" "Narrikup" "S8" 20 98.87 254.043500000001 20
"414" "Narrikup" "S8" 22 93.3033333333333 272.726000000001 22
"415" "Narrikup" "S8" 25 93.3033333333333 298.7955 25
"416" "Woogenellup" "S1" 0 0 0 0
"417" "Woogenellup" "S1" 3 0 70.49955616 3
"418" "Woogenellup" "S1" 7 0 164.73789674 7
"419" "Woogenellup" "S1" 10 0 191.06989674 10
"420" "Woogenellup" "S1" 13 0 209.07089674 13
