Date	TempSoil10mm
07/05/16	11.50
08/05/16	13.56
09/05/16	11.28
10/05/16	13.28
11/05/16	15.97
12/05/16	14.09
13/05/16	12.07
14/05/16	11.59
15/05/16	11.45
16/05/16	11.51
17/05/16	8.27
18/05/16	10.10
19/05/16	7.55
20/05/16	8.90
21/05/16	8.54
22/05/16	7.26
23/05/16	8.52
24/05/16	8.32
25/05/16	8.94
26/05/16	8.94
27/05/16	7.57
28/05/16	9.01
29/05/16	8.30
30/05/16	7.01
31/05/16	6.89
01/06/16	7.56
