"Cultivar" "PercFinalEmerg" "SowTreat" "Plot" "Block" "DAS50E" "TT50E"
"77" "Denmark" 10.9091107438377 "S5" "78" "1" 5.11248875 81.4090440750002
"78" "Denmark" 6.55738779899639 "S5" "88" "3" 5.44116764705883 87.0219053823531
"79" "Antas" 13.207522249958 "S5" "83" "2" 4.00000256410256 63.3450410384615
"80" "Leura" 14.8935853327972 "S5" "81" "2" 4.178575 66.203092875
"81" "Monti" 8.62070451845607 "S5" "80" "2" 4.41176176470588 69.9352470441177
"82" "Narrikup" 10.7692142012089 "S5" "76" "1" 4.96154230769231 78.7344846346154
"83" "Narrikup" 19.6078431372549 "S5" "84" "2" 4.19230769230769 66.4228846153846
"84" "Woogenellup" 13.4615643491622 "S5" "82" "2" 4.02702432432432 63.7775243108108
"85" "Monti" 11.1111111111111 "S5" "87" "3" 4.5 71.3475
"86" "Monti" 12.857161224516 "S5" "77" "1" 4.4054027027027 69.8334702567568
"87" "Leura" 7.57575757575758 "S5" "74" "1" 4.6 72.9480000000001
"88" "Woogenellup" 8.69565217391304 "S5" "73" "1" 4.58333333333333 72.6812500000001
"89" "Denmark" 12.4999776786113 "S5" "79" "2" 4.35484193548387 69.0242451774194
"90" "Woogenellup" 6.77964952601775 "S5" "90" "3" 4.34210789473684 68.8204368552632
"91" "Denmark" 19.5652599244781 "S6" "91" "1" 5.61537692307692 108.204457576923
"92" "Leura" 26.3157894736842 "S6" "104" "3" 10.7142857142857 216.026071428572
"93" "Monti" 9.30234721476096 "S6" "92" "1" 6.76922307692308 131.875611423077
"94" "Leura" 17.6470588235294 "S6" "97" "2" 5.6 107.889
"95" "Monti" 12.5000195312805 "S6" "98" "2" 7.4999875 147.27098346875
"96" "Woogenellup" 11.6279340184512 "S6" "103" "3" 7.23528235294118 142.252695529412
"97" "Denmark" 25.6410256410256 "S6" "106" "3" 4.72727272727273 90.3777272727272
"98" "Antas" 22.4490254061743 "S6" "95" "1" 5.1249875 98.1441185624999
"99" "Antas" 21.6666666666667 "S6" "105" "3" 5.31578947368422 102.228421052632
"100" "Monti" 2.70271000732434 "S6" "108" "3" 7.249975 141.9400919375
"101" "Woogenellup" 19.5652599244781 "S6" "99" "2" 6.999975 137.339478
"102" "Narrikup" 27.5000687501719 "S6" "101" "2" 5.39998666666666 105.375733633333
"103" "Narrikup" 11.1111111111111 "S6" "107" "3" 7.625 150.39
"104" "Denmark" 12.9032674298949 "S6" "100" "2" 6.22221111111111 121.099768
"105" "Woogenellup" 6.06060606060606 "S6" "93" "1" 7.55555555555555 149.382962962963
"106" "Antas" 18.8678889285115 "S6" "102" "2" 7.15386153846154 139.890712653846
"107" "Narrikup" 10.6382752377123 "S6" "96" "1" 8.63159473684211 172.037174526316
"108" "Leura" 46.6666666666667 "S6" "94" "1" 3.36363636363636 64.6281818181816
"109" "Denmark" 12.280701754386 "S7" "119" "2" 6.95454545454546 116.342727272727
"110" "Leura" 44.4444444444444 "S7" "112" "1" 5.57142857142858 89.9685714285715
"111" "Denmark" 2.22222222222222 "S7" "126" "3" 6.79166666666667 113.270833333333
"112" "Denmark" 5.55555555555556 "S7" "109" "1" 6.77777777777778 113.008888888889
"113" "Leura" 31.1111111111111 "S7" "121" "3" 6.41666666666667 106.198333333333
"114" "Woogenellup" 7.69229585800637 "S7" "122" "3" 7.24038942307693 121.387102971154
"115" "Antas" 20.6896908442946 "S7" "123" "3" 7.24999583333333 121.662425625
"116" "Antas" 13.4615643491622 "S7" "110" "1" 6.65216956521739 110.639918
"117" "Antas" 4.83870187306149 "S7" "118" "2" 7.23077307692308 121.319299423077
"118" "Monti" 4.61537751480382 "S7" "124" "3" 6.90322903225807 115.374899548387
"119" "Leura" 9.25925925925926 "S7" "116" "2" 5.97777777777778 97.9208888888889
"120" "Narrikup" 7.01754385964912 "S7" "117" "2" 6.96 116.4456
"121" "Monti" 10.6382752377123 "S7" "120" "2" 7.10715357142857 119.035540678571
"122" "Woogenellup" 16.9811000356603 "S7" "111" "1" 7.650005 128.52178709
"123" "Woogenellup" 19.5652599244781 "S7" "115" "2" 6.86666 114.6852076
"124" "Narrikup" 10.0000250000625 "S7" "113" "1" 6.599995 109.6559057
"125" "Monti" 5.55555555555556 "S7" "114" "1" 6.6 109.656
"126" "Narrikup" 5.55555555555556 "S7" "125" "3" 7 117.2
"127" "Leura" 1.88678889285115 "S8" "136" "2" 13.49995 167.55704075
"128" "Woogenellup" 16.9811000356603 "S8" "141" "3" 9.75002500000001 126.66274775
"129" "Narrikup" 1.69491238150444 "S8" "131" "1" 15.49999 184.487417749999
"130" "Antas" 5.88235294117647 "S8" "138" "2" 12.1521739130435 152.592608695652
"131" "Woogenellup" 6.34920634920635 "S8" "134" "2" 15.8333333333333 186.948333333332
"132" "Narrikup" 18.6440361965488 "S8" "144" "3" 14.350005 175.028791125
"133" "Denmark" 20.3389485780533 "S8" "143" "3" 14.1666833333333 173.520970416667
"134" "Monti" 20.8333333333333 "S8" "140" "3" 12.8888888888889 160.39
"135" "Monti" 14.8148148148148 "S8" "130" "1" 14.4705882352941 175.944117647059
"136" "Monti" 33.3333333333333 "S8" "137" "2" 10.2352941176471 133.456470588235
"137" "Leura" 22.2222222222222 "S8" "139" "3" 14.5 176.2625
"138" "Leura" 7.69229585800637 "S8" "128" "1" 16.3333666666667 190.96276875
"139" "Woogenellup" 1.38888888888889 "S8" "132" "1" 16.6363636363636 193.627272727272
"140" "Antas" 6.55738779899639 "S8" "127" "1" 14.7777666666667 178.547130833333
"141" "Denmark" 8.7719298245614 "S8" "133" "2" 14.1428571428571 172.259464285714
"142" "Narrikup" 19.99996000008 "S8" "135" "2" 12.9473815789474 161.009086631579
"143" "Antas" 28.3018333927672 "S8" "142" "3" 13.7916875 169.9452205
"144" "Denmark" 7.27274049589181 "S8" "129" "1" 15.1249825 179.928576574999
