"Plot" "Cultivar" "SowingD" "SowTreat" "sample_area_m2" "Block" "Depth" "bur_total_weight_g" "bur_no_subSample" "bur_weight_subSample_g" "seed_weight_g" "Seedskg_ha"
31 "Denmark" "28/07/2015" "S2" 0.3 3 "Above" 25.31 50 4 1.364 287.690333333333
31 "Denmark" "28/07/2015" "S2" 0.3 3 "Below" 68.29 50 4.6 1.335 660.63152173913
32 "Antas" "28/07/2015" "S2" 0.3 3 "Above" 53.79 50 5.9 2.142 650.950169491525
32 "Antas" "28/07/2015" "S2" 0.3 3 "Below" 40.8 50 6.2 1.895 415.677419354839
33 "Monti" "28/07/2015" "S2" 0.3 3 "Above" 13.08 50 2 0.945 206.01
33 "Monti" "28/07/2015" "S2" 0.3 3 "Below" 15.5 50 2.4 1.011 217.645833333333
34 "Woogenellup" "28/07/2015" "S2" 0.3 3 "Above" 9.42 50 2.2 0.952 135.876363636364
34 "Woogenellup" "28/07/2015" "S2" 0.3 3 "Below" 54.23 50 2.6 1.07 743.924358974359
35 "Leura" "28/07/2015" "S2" 0.3 3 "Above" 38.08 50 3.7 1.502 515.280720720721
35 "Leura" "28/07/2015" "S2" 0.3 3 "Below" 117.2 50 5.4 1.48 1070.71604938272
36 "Narrikup" "28/07/2015" "S2" 0.3 3 "Above" 16.32 50 3 1.088 197.290666666667
36 "Narrikup" "28/07/2015" "S2" 0.3 3 "Below" 25.91 50 3.4 1.187 301.521274509804
37 "Denmark" "15/09/2015" "S3" 0.2 1 "Above" 77.43 50 2.53 1.132 1732.22845849802
37 "Denmark" "15/09/2015" "S3" 0.2 1 "Below" 35.13 50 5.53 1.656 525.997106690778
38 "Antas" "15/09/2015" "S3" 0.2 1 "Above" 136.4 50 4.2 1.355 2200.2619047619
38 "Antas" "15/09/2015" "S3" 0.2 1 "Below" 42.54 50 4.94 1.375 592.029352226721
39 "Woogenellup" "15/09/2015" "S3" 0.2 1 "Above" 43.89 50 2.59 1.296 1098.0972972973
39 "Woogenellup" "15/09/2015" "S3" 0.2 1 "Below" 91.87 50 3.37 1.589 2165.89658753709
40 "Leura" "15/09/2015" "S3" 0.2 1 "Above" 41.31 50 3.01 1.438 986.773754152824
