SowTreat	Cultivar	Block 	Plot	SowingDate	ReadingDate 	DAS	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
S1	Leura	1	4	19/02/2016	19/04/16	60	0	0	1	1	1	1	0	1	1	1
S1	Narrikup	1	5	19/02/2016	19/04/16	60	0	1	1	1	1	1	1	1	1	1
S1	Woogenellup	1	6	19/02/2016	19/04/16	60	1	1	0	0	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	2	8	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Denmark	2	9	19/02/2016	19/04/16	60	1	0	1	1	0	1	0	0	0	1
S1	Monti	2	10	19/02/2016	19/04/16	60	1	0	1	1	0	1	1	1	1	1
S1	Narrikup	2	11	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Leura	2	12	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	0	1	0
S1	Woogenellup	3	13	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Antas 	3	14	19/02/2016	19/04/16	60	1	1	1	1	1	1	1	1	1	1
S1	Monti	3	15	19/02/2016	19/04/16	60	1	0	1	1	1	1	1	0	1	1
S1	Narrikup	3	16	19/02/2016	19/04/16	60	1	1	1	1	0	1	1	1	1	1
S1	Denmark	3	17	19/02/2016	19/04/16	60	1	1	1	0	1	1	1	1	1	1
S1	Leura	3	18	19/02/2016	19/04/16	60	1	1	1	0	0	1	1	1	0	1
S1	Antas 	1	1	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Monti	1	2	19/02/2016	30/05/16	101	0	1	1	1	1	1	1	1	1	1
S1	Denmark	1	3	19/02/2016	30/05/16	101	1	0	1	1	1	1	1	1	1	1
S1	Leura	1	4	19/02/2016	30/05/16	101	0	1	1	1	1	1	0	1	1	1
S1	Narrikup	1	5	19/02/2016	30/05/16	101	0	1	1	1	1	1	1	1	1	1
S1	Woogenellup	1	6	19/02/2016	30/05/16	101	1	1	0	0	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	2	8	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Denmark	2	9	19/02/2016	30/05/16	101	1	0	1	1	0	1	1	0	0	1
S1	Monti	2	10	19/02/2016	30/05/16	101	1	0	1	1	0	1	1	1	1	1
S1	Narrikup	2	11	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Leura	2	12	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	0
S1	Woogenellup	3	13	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Antas 	3	14	19/02/2016	30/05/16	101	1	1	1	1	1	1	1	1	1	1
S1	Monti	3	15	19/02/2016	30/05/16	101	1	0	1	1	1	1	1	0	1	1
S1	Narrikup	3	16	19/02/2016	30/05/16	101	1	1	1	1	0	1	1	1	1	1
S1	Denmark	3	17	19/02/2016	30/05/16	101	1	1	1	0	1	1	1	1	1	1
S1	Leura	3	18	19/02/2016	30/05/16	101	1	1	1	0	0	1	1	1	0	1
S1	Antas 	1	1	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Monti	1	2	19/02/2016	16/06/16	118	0	1	1	1	0	1	1	1	0	1
S1	Denmark	1	3	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	0	0	0
S1	Leura	1	4	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Narrikup	1	5	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	1	6	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	2	8	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Denmark	2	9	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Monti	2	10	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Narrikup	2	11	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Leura	2	12	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	3	13	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Antas 	3	14	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Monti	3	15	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Narrikup	3	16	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Denmark	3	17	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Leura	3	18	19/02/2016	16/06/16	118	1	1	1	1	1	1	1	1	1	1
S1	Antas 	1	1	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Monti	1	2	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Denmark	1	3	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Leura	1	4	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Narrikup	1	5	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	1	6	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Antas 	2	7	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	2	8	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Denmark	2	9	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Monti	2	10	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Narrikup	2	11	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Leura	2	12	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Woogenellup	3	13	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Antas 	3	14	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Monti	3	15	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Narrikup	3	16	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Denmark	3	17	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S1	Leura	3	18	19/02/2016	24/06/16	126	1	1	1	1	1	1	1	1	1	1
S2	Narrikup	1	19	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Monti	1	20	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	1	21	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Leura	1	22	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Denmark	1	23	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Antas 	1	24	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Leura	2	25	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	2	26	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Denmark	2	27	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	2	28	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Antas 	2	29	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Monti	2	30	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Denmark	3	31	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Antas 	3	32	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Monti	3	33	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	3	34	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Leura	3	35	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	3	36	30/03/2016	30/04/16	31	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	1	19	30/03/2016	16/05/16	47	0	0	0	0	0	0	1	0	0	0
S2	Monti	1	20	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	1	21	30/03/2016	16/05/16	47	0	1	0	0	0	0	0	0	0	0
S2	Leura	1	22	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Denmark	1	23	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Antas 	1	24	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Leura	2	25	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	2	26	30/03/2016	16/05/16	47	1	0	0	0	1	0	0	0	0	0
S2	Denmark	2	27	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	2	28	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Antas 	2	29	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Monti	2	30	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Denmark	3	31	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Antas 	3	32	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Monti	3	33	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	3	34	30/03/2016	16/05/16	47	0	0	1	0	0	0	0	0	0	0
S2	Leura	3	35	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	3	36	30/03/2016	16/05/16	47	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	1	19	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Monti	1	20	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	1	21	30/03/2016	23/05/16	54	1	1	0	0	0	0	0	0	1	0
S2	Leura	1	22	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Denmark	1	23	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Antas 	1	24	30/03/2016	23/05/16	54	0	0	0	0	0	1	0	1	1	0
S2	Leura	2	25	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	2	26	30/03/2016	23/05/16	54	1	1	1	0	0	0	1	0	0	1
S2	Denmark	2	27	30/03/2016	23/05/16	54	1	0	0	0	0	0	0	0	0	0
S2	Narrikup	2	28	30/03/2016	23/05/16	54	0	0	0	1	0	1	0	0	1	0
S2	Antas 	2	29	30/03/2016	23/05/16	54	1	1	0	0	0	0	1	0	0	1
S2	Monti	2	30	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Denmark	3	31	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Antas 	3	32	30/03/2016	23/05/16	54	0	1	0	0	0	0	1	1	0	0
S2	Monti	3	33	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	3	34	30/03/2016	23/05/16	54	0	0	1	1	1	0	0	0	1	0
S2	Leura	3	35	30/03/2016	23/05/16	54	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	3	36	30/03/2016	23/05/16	54	0	0	1	0	0	1	0	0	0	0
S2	Narrikup	1	19	30/03/2016	30/05/16	61	0	0	0	0	1	0	0	0	0	0
S2	Monti	1	20	30/03/2016	30/05/16	61	0	0	1	0	0	0	0	0	0	0
S2	Woogenellup	1	21	30/03/2016	30/05/16	61	1	1	0	1	1	0	0	1	0	1
S2	Leura	1	22	30/03/2016	30/05/16	61	0	0	0	0	0	0	0	0	1	0
S2	Denmark	1	23	30/03/2016	30/05/16	61	0	1	0	1	0	0	0	0	0	1
S2	Antas 	1	24	30/03/2016	30/05/16	61	1	0	0	0	0	1	0	1	0	0
S2	Leura	2	25	30/03/2016	30/05/16	61	0	0	0	1	0	0	0	0	0	1
S2	Woogenellup	2	26	30/03/2016	30/05/16	61	1	1	1	0	0	1	0	0	1	0
S2	Denmark	2	27	30/03/2016	30/05/16	61	0	0	0	0	0	0	1	0	0	0
S2	Narrikup	2	28	30/03/2016	30/05/16	61	0	0	1	0	0	1	0	0	0	0
S2	Antas 	2	29	30/03/2016	30/05/16	61	0	0	1	0	0	0	0	1	1	0
S2	Monti	2	30	30/03/2016	30/05/16	61	0	0	0	0	0	0	0	0	1	0
S2	Denmark	3	31	30/03/2016	30/05/16	61	0	0	0	1	0	0	0	0	0	0
S2	Antas 	3	32	30/03/2016	30/05/16	61	1	1	1	0	0	0	1	0	1	0
S2	Monti	3	33	30/03/2016	30/05/16	61	0	0	0	0	0	1	0	0	0	0
S2	Woogenellup	3	34	30/03/2016	30/05/16	61	1	1	0	1	1	0	1	0	1	0
S2	Leura	3	35	30/03/2016	30/05/16	61	0	0	0	0	0	0	0	1	0	0
S2	Narrikup	3	36	30/03/2016	30/05/16	61	0	0	0	0	1	0	0	0	0	1
S2	Narrikup	1	19	30/03/2016	7/06/16	69	0	0	0	0	1	1	0	0	0	0
S2	Monti	1	20	30/03/2016	7/06/16	69	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	1	21	30/03/2016	7/06/16	69	0	1	1	1	1	1	0	1	1	1
S2	Leura	1	22	30/03/2016	7/06/16	69	0	0	0	0	0	0	1	0	0	0
S2	Denmark	1	23	30/03/2016	7/06/16	69	0	0	1	0	1	0	0	0	0	0
S2	Antas 	1	24	30/03/2016	7/06/16	69	1	1	0	0	1	1	1	1	1	1
S2	Leura	2	25	30/03/2016	7/06/16	69	0	0	0	0	1	0	0	0	0	0
S2	Woogenellup	2	26	30/03/2016	7/06/16	69	1	1	1	1	1	1	1	1	1	1
S2	Denmark	2	27	30/03/2016	7/06/16	69	1	0	0	0	0	0	0	0	0	0
S2	Narrikup	2	28	30/03/2016	7/06/16	69	0	0	1	1	0	1	1	1	1	0
S2	Antas 	2	29	30/03/2016	7/06/16	69	1	1	0	0	1	1	1	1	1	1
S2	Monti	2	30	30/03/2016	7/06/16	69	0	0	0	0	0	0	0	0	0	0
S2	Denmark	3	31	30/03/2016	7/06/16	69	1	1	0	0	0	0	0	0	1	1
S2	Antas 	3	32	30/03/2016	7/06/16	69	1	1	1	1	1	1	1	1	1	1
S2	Monti	3	33	30/03/2016	7/06/16	69	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	3	34	30/03/2016	7/06/16	69	1	1	1	1	1	1	1	1	1	1
S2	Leura	3	35	30/03/2016	7/06/16	69	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	3	36	30/03/2016	7/06/16	69	1	1	1	1	1	0	1	1	0	0
S2	Narrikup	1	19	30/03/2016	16/06/16	78	0	0	0	0	1	1	0	0	0	0
S2	Monti	1	20	30/03/2016	16/06/16	78	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	1	21	30/03/2016	16/06/16	78	1	1	1	0	1	1	1	1	1	1
S2	Leura	1	22	30/03/2016	16/06/16	78	0	0	0	0	0	0	0	0	0	0
S2	Denmark	1	23	30/03/2016	16/06/16	78	1	1	1	0	1	0	0	0	0	0
S2	Antas 	1	24	30/03/2016	16/06/16	78	1	1	0	0	1	1	1	1	1	1
S2	Leura	2	25	30/03/2016	16/06/16	78	0	0	0	0	1	1	0	0	0	0
S2	Woogenellup	2	26	30/03/2016	16/06/16	78	1	1	1	1	1	1	1	1	1	1
S2	Denmark	2	27	30/03/2016	16/06/16	78	1	1	0	0	0	0	0	0	0	0
S2	Narrikup	2	28	30/03/2016	16/06/16	78	0	0	1	1	0	1	1	1	1	0
S2	Antas 	2	29	30/03/2016	16/06/16	78	1	1	0	0	1	1	1	1	1	1
S2	Monti	2	30	30/03/2016	16/06/16	78	0	0	0	0	0	0	0	0	0	0
S2	Denmark	3	31	30/03/2016	16/06/16	78	1	1	0	0	0	0	0	0	1	1
S2	Antas 	3	32	30/03/2016	16/06/16	78	1	1	1	1	1	1	1	1	1	1
S2	Monti	3	33	30/03/2016	16/06/16	78	0	0	0	0	0	0	0	0	0	0
S2	Woogenellup	3	34	30/03/2016	16/06/16	78	1	1	1	1	1	1	1	1	1	1
S2	Leura	3	35	30/03/2016	16/06/16	78	0	0	0	0	0	0	0	0	0	0
S2	Narrikup	3	36	30/03/2016	16/06/16	78	1	1	1	1	1	1	1	1	1	0
S2	Narrikup	1	19	30/03/2016	24/06/16	86	0	1	0	1	1	1	0	0	1	1
S2	Monti	1	20	30/03/2016	24/06/16	86	0	0	0	0	0	0	0	0	0	0
