Cultivar 	Wavelength	Absorbance
Antas 	3613.97342	0.00921
Antas 	3612.04494	0.00936
Antas 	3610.11646	0.00956
Antas 	3608.18798	0.00977
Antas 	3606.2595	0.00995
Antas 	3604.33101	0.01021
Antas 	3602.40253	0.01051
Antas 	3600.47405	0.01074
Antas 	3598.54557	0.01097
Antas 	3596.61709	0.01124
Antas 	3594.68861	0.01147
Antas 	3592.76013	0.01167
Antas 	3590.83165	0.01193
Antas 	3588.90317	0.01219
Antas 	3586.97468	0.01235
Antas 	3585.0462	0.01256
Antas 	3583.11772	0.01288
Antas 	3581.18924	0.0132
Antas 	3579.26076	0.01346
Antas 	3577.33228	0.01367
Antas 	3575.4038	0.01389
Antas 	3573.47532	0.01419
Antas 	3571.54684	0.01455
Antas 	3569.61836	0.01493
Antas 	3567.68987	0.01522
Antas 	3565.76139	0.01535
Antas 	3563.83291	0.01554
Antas 	3561.90443	0.01584
Antas 	3559.97595	0.01613
Antas 	3558.04747	0.01643
Antas 	3556.11899	0.01675
Antas 	3554.19051	0.01702
Antas 	3552.26203	0.01725
Antas 	3550.33355	0.01754
Antas 	3548.40506	0.01791
Antas 	3546.47658	0.01823
Antas 	3544.5481	0.01848
Antas 	3542.61962	0.01876
Antas 	3540.69114	0.01906
Antas 	3538.76266	0.01935
Antas 	3536.83418	0.01962
Antas 	3534.9057	0.01987
Antas 	3532.97722	0.02016
Antas 	3531.04874	0.02047
Antas 	3529.12025	0.02075
Antas 	3527.19177	0.02104
Antas 	3525.26329	0.02136
Antas 	3523.33481	0.02165
Antas 	3521.40633	0.02191
Antas 	3519.47785	0.02221
Antas 	3517.54937	0.0225
Antas 	3515.62089	0.02276
Antas 	3513.69241	0.02302
Antas 	3511.76393	0.0233
Antas 	3509.83544	0.02355
Antas 	3507.90696	0.02381
Antas 	3505.97848	0.02411
Antas 	3504.05	0.02442
Antas 	3502.12152	0.02469
Antas 	3500.19304	0.02495
Antas 	3498.26456	0.02522
Antas 	3496.33608	0.02547
Antas 	3494.4076	0.02571
Antas 	3492.47912	0.02596
Antas 	3490.55063	0.02626
Antas 	3488.62215	0.02657
Antas 	3486.69367	0.02686
Antas 	3484.76519	0.02714
Antas 	3482.83671	0.02741
Antas 	3480.90823	0.02769
Antas 	3478.97975	0.02797
Antas 	3477.05127	0.02824
Antas 	3475.12279	0.02852
Antas 	3473.19431	0.02877
Antas 	3471.26582	0.02902
Antas 	3469.33734	0.02928
Antas 	3467.40886	0.02956
Antas 	3465.48038	0.02987
Antas 	3463.5519	0.03018
Antas 	3461.62342	0.03044
Antas 	3459.69494	0.03069
Antas 	3457.76646	0.03098
Antas 	3455.83798	0.03126
Antas 	3453.9095	0.03155
Antas 	3451.98101	0.03185
Antas 	3450.05253	0.03211
Antas 	3448.12405	0.03233
Antas 	3446.19557	0.03257
Antas 	3444.26709	0.03285
Antas 	3442.33861	0.03311
Antas 	3440.41013	0.03337
Antas 	3438.48165	0.03365
Antas 	3436.55317	0.03395
Antas 	3434.62468	0.03422
Antas 	3432.6962	0.03445
Antas 	3430.76772	0.0347
Antas 	3428.83924	0.03497
Antas 	3426.91076	0.03525
Antas 	3424.98228	0.0355
Antas 	3423.0538	0.03575
Antas 	3421.12532	0.03597
Antas 	3419.19684	0.03618
Antas 	3417.26836	0.0364
Antas 	3415.33987	0.03665
Antas 	3413.41139	0.03691
Antas 	3411.48291	0.03716
Antas 	3409.55443	0.03741
Antas 	3407.62595	0.03765
Antas 	3405.69747	0.03786
Antas 	3403.76899	0.03805
Antas 	3401.84051	0.03827
Antas 	3399.91203	0.03849
Antas 	3397.98355	0.03869
Antas 	3396.05506	0.03887
Antas 	3394.12658	0.03907
Antas 	3392.1981	0.03923
Antas 	3390.26962	0.03936
Antas 	3388.34114	0.03951
Antas 	3386.41266	0.03971
Antas 	3384.48418	0.03989
Antas 	3382.5557	0.04006
Antas 	3380.62722	0.04022
Antas 	3378.69874	0.04037
Antas 	3376.77025	0.04055
Antas 	3374.84177	0.04073
Antas 	3372.91329	0.04089
Antas 	3370.98481	0.04105
Antas 	3369.05633	0.04121
Antas 	3367.12785	0.04135
Antas 	3365.19937	0.04151
Antas 	3363.27089	0.04168
Antas 	3361.34241	0.04183
Antas 	3359.41393	0.04193
Antas 	3357.48544	0.04203
Antas 	3355.55696	0.04216
Antas 	3353.62848	0.04228
Antas 	3351.7	0.04239
Antas 	3349.77152	0.04253
Antas 	3347.84304	0.04269
Antas 	3345.91456	0.04282
Antas 	3343.98608	0.04295
Antas 	3342.0576	0.04309
Antas 	3340.12912	0.04322
Antas 	3338.20063	0.04334
Antas 	3336.27215	0.04344
Antas 	3334.34367	0.04351
Antas 	3332.41519	0.0436
Antas 	3330.48671	0.04371
Antas 	3328.55823	0.0438
Antas 	3326.62975	0.04388
Antas 	3324.70127	0.04396
Antas 	3322.77279	0.04404
Antas 	3320.84431	0.04412
Antas 	3318.91582	0.04415
Antas 	3316.98734	0.04419
Antas 	3315.05886	0.04426
Antas 	3313.13038	0.04432
Antas 	3311.2019	0.04435
Antas 	3309.27342	0.04437
Antas 	3307.34494	0.0444
Antas 	3305.41646	0.04444
Antas 	3303.48798	0.04446
Antas 	3301.55949	0.0445
Antas 	3299.63101	0.04454
Antas 	3297.70253	0.04457
Antas 	3295.77405	0.04457
Antas 	3293.84557	0.04459
Antas 	3291.91709	0.04461
Antas 	3289.98861	0.04465
Antas 	3288.06013	0.04467
Antas 	3286.13165	0.04467
Antas 	3284.20317	0.04468
Antas 	3282.27468	0.04467
Antas 	3280.3462	0.04465
Antas 	3278.41772	0.04462
Antas 	3276.48924	0.0446
Antas 	3274.56076	0.04457
Antas 	3272.63228	0.04454
Antas 	3270.7038	0.0445
Antas 	3268.77532	0.04443
Antas 	3266.84684	0.04436
Antas 	3264.91836	0.0443
Antas 	3262.98987	0.04422
Antas 	3261.06139	0.04413
Antas 	3259.13291	0.04402
Antas 	3257.20443	0.04392
Antas 	3255.27595	0.04381
Antas 	3253.34747	0.04372
Antas 	3251.41899	0.0436
Antas 	3249.49051	0.04348
Antas 	3247.56203	0.04334
Antas 	3245.63355	0.0432
Antas 	3243.70506	0.04308
Antas 	3241.77658	0.04298
Antas 	3239.8481	0.04287
Antas 	3237.91962	0.04272
Antas 	3235.99114	0.04255
Antas 	3234.06266	0.04239
Antas 	3232.13418	0.04225
Antas 	3230.2057	0.04212
Antas 	3228.27722	0.04197
Antas 	3226.34874	0.04182
Antas 	3224.42025	0.04168
Antas 	3222.49177	0.04154
Antas 	3220.56329	0.04139
Antas 	3218.63481	0.04122
Antas 	3216.70633	0.04107
Antas 	3214.77785	0.0409
Antas 	3212.84937	0.04072
Antas 	3210.92089	0.04054
