Cultivar	IncubationDays 	Wavelenght	Absorbance
Antas 	0	3675.68481	-0.00341
Antas 	0	3673.75633	-0.00302
Antas 	0	3671.82785	-0.00304
Antas 	0	3669.89937	-0.00272
Antas 	0	3667.97089	-0.00208
Antas 	0	3666.04241	-0.00189
Antas 	0	3664.11393	-0.0019
Antas 	0	3662.18544	-0.00187
Antas 	0	3660.25696	-0.00182
Antas 	0	3658.32848	-0.00175
Antas 	0	3656.4	-0.00147
Antas 	0	3654.47152	-0.00127
Antas 	0	3652.54304	-0.00155
Antas 	0	3650.61456	-0.00181
Antas 	0	3648.68608	-0.00096
Antas 	0	3646.7576	0.00011
Antas 	0	3644.82912	0.00035
Antas 	0	3642.90063	0.00039
Antas 	0	3640.97215	0.00052
Antas 	0	3639.04367	0.00075
Antas 	0	3637.11519	0.00095
Antas 	0	3635.18671	0.0011
Antas 	0	3633.25823	0.00119
Antas 	0	3631.32975	0.00119
Antas 	0	3629.40127	0.00156
Antas 	0	3627.47279	0.00263
Antas 	0	3625.54431	0.00319
Antas 	0	3623.61582	0.0033
Antas 	0	3621.68734	0.00331
Antas 	0	3619.75886	0.00359
Antas 	0	3617.83038	0.00426
Antas 	0	3615.9019	0.00462
Antas 	0	3613.97342	0.00477
Antas 	0	3612.04494	0.00513
Antas 	0	3610.11646	0.00561
Antas 	0	3608.18798	0.00622
Antas 	0	3606.2595	0.00674
Antas 	0	3604.33101	0.00686
Antas 	0	3602.40253	0.00692
Antas 	0	3600.47405	0.00716
Antas 	0	3598.54557	0.00742
Antas 	0	3596.61709	0.0077
Antas 	0	3594.68861	0.00822
Antas 	0	3592.76013	0.00874
Antas 	0	3590.83165	0.0089
Antas 	0	3588.90317	0.00903
Antas 	0	3586.97468	0.00969
Antas 	0	3585.0462	0.01042
Antas 	0	3583.11772	0.01073
Antas 	0	3581.18924	0.01096
Antas 	0	3579.26076	0.0113
Antas 	0	3577.33228	0.01171
Antas 	0	3575.4038	0.01217
Antas 	0	3573.47532	0.01265
Antas 	0	3571.54684	0.01291
Antas 	0	3569.61836	0.01298
Antas 	0	3567.68987	0.01329
Antas 	0	3565.76139	0.01417
Antas 	0	3563.83291	0.01487
Antas 	0	3561.90443	0.0153
Antas 	0	3559.97595	0.0157
Antas 	0	3558.04747	0.01611
Antas 	0	3556.11899	0.01647
Antas 	0	3554.19051	0.01687
Antas 	0	3552.26203	0.01745
Antas 	0	3550.33355	0.01796
Antas 	0	3548.40506	0.01823
Antas 	0	3546.47658	0.01856
Antas 	0	3544.5481	0.01911
Antas 	0	3542.61962	0.01966
Antas 	0	3540.69114	0.02007
Antas 	0	3538.76266	0.02043
Antas 	0	3536.83418	0.02085
Antas 	0	3534.9057	0.02128
Antas 	0	3532.97722	0.02167
Antas 	0	3531.04874	0.02207
Antas 	0	3529.12025	0.02256
Antas 	0	3527.19177	0.02309
Antas 	0	3525.26329	0.02358
Antas 	0	3523.33481	0.02405
Antas 	0	3521.40633	0.02451
Antas 	0	3519.47785	0.02489
Antas 	0	3517.54937	0.02523
Antas 	0	3515.62089	0.02558
Antas 	0	3513.69241	0.02586
Antas 	0	3511.76393	0.02616
Antas 	0	3509.83544	0.02665
Antas 	0	3507.90696	0.02725
Antas 	0	3505.97848	0.02771
Antas 	0	3504.05	0.02811
Antas 	0	3502.12152	0.02857
Antas 	0	3500.19304	0.02897
Antas 	0	3498.26456	0.02932
Antas 	0	3496.33608	0.02975
Antas 	0	3494.4076	0.03019
Antas 	0	3492.47912	0.03054
Antas 	0	3490.55063	0.03084
Antas 	0	3488.62215	0.03117
Antas 	0	3486.69367	0.03155
Antas 	0	3484.76519	0.03194
Antas 	0	3482.83671	0.03234
Antas 	0	3480.90823	0.0328
Antas 	0	3478.97975	0.03318
Antas 	0	3477.05127	0.0335
Antas 	0	3475.12279	0.03393
Antas 	0	3473.19431	0.03438
