wavelength	spc
3938.20190	0.02331
3936.27330	0.02336
3934.34470	0.02334
3932.41610	0.02329
3930.48750	0.02328
3928.55890	0.02319
3926.63030	0.02307
3924.70170	0.02306
3922.77310	0.02310
3920.84450	0.02312
3918.91590	0.02313
3916.98730	0.02315
3915.05870	0.02316
3913.13010	0.02315
3911.20150	0.02318
3909.27290	0.02319
3907.34430	0.02307
3905.41570	0.02296
3903.48710	0.02302
3901.55850	0.02306
3899.62990	0.02295
3897.70130	0.02290
3895.77270	0.02293
3893.84410	0.02291
3891.91550	0.02284
3889.98690	0.02278
3888.05830	0.02272
3886.12969	0.02271
3884.20109	0.02280
3882.27249	0.02290
3880.34389	0.02298
3878.41529	0.02296
3876.48669	0.02284
3874.55809	0.02277
3872.62949	0.02276
3870.70089	0.02270
3868.77229	0.02268
3866.84369	0.02271
3864.91509	0.02273
3862.98649	0.02272
3861.05789	0.02270
3859.12929	0.02270
3857.20069	0.02262
3855.27209	0.02246
3853.34349	0.02247
3851.41489	0.02267
3849.48629	0.02271
3847.55769	0.02263
3845.62909	0.02254
3843.70049	0.02248
3841.77189	0.02243
3839.84329	0.02233
3837.91469	0.02231
3835.98609	0.02240
3834.05749	0.02249
3832.12889	0.02251
3830.20028	0.02249
3828.27168	0.02245
3826.34308	0.02243
3824.41448	0.02236
3822.48588	0.02229
3820.55728	0.02234
3818.62868	0.02234
3816.70008	0.02224
3814.77148	0.02226
3812.84288	0.02232
3810.91428	0.02234
3808.98568	0.02232
3807.05708	0.02229
3805.12848	0.02223
3803.19988	0.02214
3801.27128	0.02212
3799.34268	0.02215
3797.41408	0.02216
3795.48548	0.02218
3793.55688	0.02221
3791.62828	0.02222
3789.69968	0.02216
3787.77108	0.02207
3785.84248	0.02202
3783.91388	0.02200
3781.98528	0.02194
3780.05668	0.02192
3778.12808	0.02202
3776.19948	0.02211
3774.27087	0.02207
3772.34227	0.02194
3770.41367	0.02185
3768.48507	0.02179
3766.55647	0.02177
3764.62787	0.02190
3762.69927	0.02202
3760.77067	0.02198
3758.84207	0.02187
3756.91347	0.02174
3754.98487	0.02154
3753.05627	0.02135
3751.12767	0.02142
3749.19907	0.02160
3747.27047	0.02153
3745.34187	0.02151
3743.41327	0.02177
3741.48467	0.02186
3739.55607	0.02171
3737.62747	0.02158
3735.69887	0.02157
3733.77027	0.02159
3731.84167	0.02157
3729.91307	0.02154
3727.98447	0.02147
3726.05587	0.02144
3724.12727	0.02149
3722.19867	0.02150
3720.27007	0.02148
3718.34146	0.02149
3716.41286	0.02148
3714.48426	0.02138
3712.55566	0.02132
3710.62706	0.02141
3708.69846	0.02145
3706.76986	0.02135
3704.84126	0.02124
3702.91266	0.02129
3700.98406	0.02147
3699.05546	0.02151
3697.12686	0.02144
3695.19826	0.02133
3693.26966	0.02113
3691.34106	0.02097
3689.41246	0.02107
3687.48386	0.02136
3685.55526	0.02150
3683.62666	0.02146
3681.69806	0.02133
3679.76946	0.02115
3677.84086	0.02101
3675.91226	0.02113
3673.98366	0.02139
3672.05506	0.02146
3670.12646	0.02153
3668.19786	0.02170
3666.26926	0.02181
3664.34066	0.02189
3662.41205	0.02203
3660.48345	0.02215
3658.55485	0.02216
3656.62625	0.02221
3654.69765	0.02233
3652.76905	0.02233
3650.84045	0.02238
3648.91185	0.02274
3646.98325	0.02307
3645.05465	0.02319
3643.12605	0.02322
3641.19745	0.02330
3639.26885	0.02356
3637.34025	0.02390
3635.41165	0.02409
3633.48305	0.02411
3631.55445	0.02404
3629.62585	0.02419
3627.69725	0.02469
3625.76865	0.02503
3623.84005	0.02515
3621.91145	0.02524
3619.98285	0.02541
3618.05425	0.02559
3616.12565	0.02567
3614.19705	0.02574
3612.26845	0.02591
3610.33985	0.02616
3608.41125	0.02642
