LocationYear	AuthorYear 	YearExperiment	Location	Country	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	FlowerPercent
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	3/07/1987	20/10/1987	109	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	3/07/1987	30/10/1987	119	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	3/07/1987	2/11/1987	122	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	3/07/1987	5/11/1987	125	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	3/07/1987	2/11/1987	122	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	3/06/1990	16/08/1990	74	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	3/06/1990	29/08/1990	87	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	3/06/1990	28/08/1990	86	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	3/06/1990	10/09/1990	99	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	3/06/1990	18/09/1990	107	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	3/06/1990	22/09/1990	111	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	3/06/1990	26/09/1990	115	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	3/06/1990	21/09/1990	110	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	1/08/1987	17/10/1987	77	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	1/08/1987	21/10/1987	81	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	1/08/1987	29/10/1987	89	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	1/08/1987	3/11/1987	94	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	1/08/1987	9/11/1987	100	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	1/08/1987	11/11/1987	102	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	1/08/1987	14/11/1987	105	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	1/08/1987	16/11/1987	107	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	1/08/1990	8/10/1990	68	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	1/08/1990	11/10/1990	71	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	1/08/1990	13/10/1990	73	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	1/08/1990	1/11/1990	92	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	1/08/1990	4/11/1990	95	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	1/08/1990	8/11/1990	99	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	1/08/1990	6/11/1990	97	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	1/08/1990	10/11/1990	101	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	15/08/1987	29/10/1987	75	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	15/08/1987	2/11/1987	79	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	15/08/1987	5/11/1987	82	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	15/08/1987	16/11/1987	93	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	15/08/1987	17/11/1987	94	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	15/08/1987	21/11/1987	98	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	15/08/1987	22/11/1987	99	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	15/08/1987	28/11/1987	105	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	3/04/1990	29/06/1990	87	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	3/04/1990	3/08/1990	122	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	3/04/1990	6/08/1990	125	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	3/04/1990	4/09/1990	154	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	3/04/1990	16/09/1990	166	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	3/04/1990	20/09/1990	170	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	3/04/1990	24/09/1990	174	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	3/04/1990	20/09/1990	170	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	1/09/1987	6/11/1987	66	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	1/09/1987	8/11/1987	68	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	1/09/1987	7/11/1987	67	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	1/09/1987	1/12/1987	91	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	1/09/1987	1/12/1987	91	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	1/09/1987	8/12/1987	98	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	1/09/1987	3/12/1987	93	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	1/09/1987	10/12/1987	100	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	1/09/1990	1/11/1990	61	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	1/09/1990	2/11/1990	62	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	1/09/1990	31/10/1990	60	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	1/09/1990	6/12/1990	96	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	1/09/1990	29/11/1990	89	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	1/09/1990	2/12/1990	92	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	1/09/1990	6/12/1990	96	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	1/09/1990	23/12/1990	113	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	15/09/1987	15/11/1987	61	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	15/09/1987	16/11/1987	62	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	15/09/1987	17/11/1987	63	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	15/09/1987	14/12/1987	90	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	15/09/1987	17/12/1987	93	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	15/09/1987	19/12/1987	95	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	15/09/1987	21/12/1987	97	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	15/09/1987	29/12/1987	105	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	15/09/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	15/09/1990	NA	NA	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	1/10/1987	27/11/1987	57	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	1/10/1987	27/11/1987	57	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	1/10/1987	24/11/1987	54	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	1/10/1987	28/12/1987	88	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	1/10/1987	24/12/1987	84	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	1/10/1987	31/12/1987	91	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	1/10/1987	2/01/1988	93	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	1/10/1987	27/01/1988	118	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	1/10/1990	24/11/1990	54	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	1/10/1990	22/11/1990	52	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	1/10/1990	21/11/1990	51	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	1/10/1990	23/12/1990	83	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	1/10/1990	22/12/1990	82	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	1/10/1990	24/12/1990	84	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	1/10/1990	25/12/1990	85	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	1/10/1990	1/01/1991	92	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Nungarin	1/11/1987	31/12/1987	60	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Dalkeith	1/11/1987	25/12/1987	54	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Trikkala	1/11/1987	15/12/1987	44	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Woogenellup	1/11/1987	17/01/1988	77	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Karridale	1/11/1987	20/01/1988	80	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Larisa	1/11/1987	23/01/1988	83	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	Meteora	1/11/1987	28/01/1988	88	50.00
Launceston1987	Evansetal1992	1987	Launceston	AU	MtBarker	1/11/1987	9/02/1988	100	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Nungarin	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Dalkeith	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Trikkala	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Woogenellup	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Karridale	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Larisa	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	Meteora	1/11/1990	NA	NA	50.00
Katanning1990	Evansetal1992	1990	Katanning	AU	MtBarker	1/11/1990	NA	NA	50.00
NA	FrancisAndGladstone1974	NA	Perth	AU	Daglish	NA	NA	81	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	NorthamA	NA	NA	76	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Geraldton	NA	NA	88	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Dwalganup	NA	NA	84	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Uniwager	NA	NA	90	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Mt.HelenaA	NA	NA	87	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Daliak	NA	NA	86	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	ShentonParkA	NA	NA	86	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Toodyay	NA	NA	92	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Lake	NA	NA	84	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Mulwala	NA	NA	92	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Gingin	NA	NA	97	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Darlington	NA	NA	91	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Collie	NA	NA	96	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	Clackline	NA	NA	94	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	CPI12709	NA	NA	96	NA
NA	FrancisAndGladstone1974	NA	Perth	AU	MidlandB	NA	NA	102	NA
