AuthorYear 	YearExperiment	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	Ttsow	Ttflow	Tttoflower	PhotopAtSowing	PhotopAtTtTarget	PhotopAverage	TtFlowerAdjusted
SmethamETAl1994	1993	Enfield	2/05/1993	4/10/1993	155	1708.7	2880.2	1171.5	11.2	10.4	10.4	1284.2
SmethamETAl1994	1993	142118	2/05/1993	5/10/1993	156	1708.7	2893.8	1185.1	11.2	10.4	10.4	1297.8
SmethamETAl1994	1993	014205A	2/05/1993	6/10/1993	157	1708.7	2913.1	1204.5	11.2	10.4	10.4	1317.2
SmethamETAl1994	1993	9756	2/05/1993	6/10/1993	157	1708.7	2913.1	1204.5	11.2	10.4	10.4	1317.2
SmethamETAl1994	1993	01421fA	2/05/1993	8/10/1993	159	1708.7	2947.9	1239.2	11.2	10.4	10.4	1351.9
SmethamETAl1994	1993	014326f-l	2/05/1993	9/10/1993	160	1708.7	2959.5	1250.9	11.2	10.4	10.4	1363.6
SmethamETAl1994	1993	014555A	2/05/1993	9/10/1993	160	1708.7	2959.5	1250.9	11.2	10.4	10.4	1363.6
SmethamETAl1994	1993	14198	2/05/1993	9/10/1993	160	1708.7	2959.5	1250.9	11.2	10.4	10.4	1363.6
SmethamETAl1994	1993	12722	2/05/1993	12/10/1993	163	1708.7	2996.7	1288.0	11.2	10.4	10.5	1400.7
SmethamETAl1994	1993	01421IC	2/05/1993	13/10/1993	164	1708.7	3005.1	1296.5	11.2	10.4	10.5	1409.2
SmethamETAl1994	1993	144548	2/05/1993	15/10/1993	166	1708.7	3034.0	1325.3	11.2	10.4	10.5	1438.0
SmethamETAl1994	1993	Tallarook	2/05/1993	18/10/1993	169	1708.7	3065.0	1356.3	11.2	10.4	10.6	1469.0
SmethamETAl1994	1993	142058	2/05/1993	25/10/1993	176	1708.7	3161.1	1452.4	11.2	10.4	10.7	1565.1
YoungEtal_1994	1986	Nungarin	25/03/1986	14/07/1986	111	2085.7	3720.2	1634.5	12.9	12.6	11.2	1634.5
YoungEtal_1994	1986	Dalkeith	25/03/1986	3/09/1986	162	2085.7	4223.8	2138.1	12.9	12.6	10.9	2138.1
YoungEtal_1994	1986	SeatonPark	25/03/1986	26/08/1986	154	2085.7	4124.5	2038.8	12.9	12.6	10.9	2038.8
YoungEtal_1994	1986	Nungarin	16/04/1986	24/07/1986	99	2611.6	3809.8	1198.2	12.1	11.8	11.0	1198.2
YoungEtal_1994	1986	Dalkeith	16/04/1986	3/09/1986	140	2611.6	4223.8	1612.2	12.1	11.8	10.9	1612.2
YoungEtal_1994	1986	SeatonPark	16/04/1986	27/08/1986	133	2611.6	4137.4	1525.8	12.1	11.8	10.9	1525.8
YoungEtal_1994	1986	Nungarin	5/05/1986	19/08/1986	106	2921.6	4050.8	1129.2	11.6	11.3	10.9	1129.2
YoungEtal_1994	1986	Dalkeith	5/05/1986	31/08/1986	118	2921.6	4181.4	1259.8	11.6	11.3	10.9	1259.8
YoungEtal_1994	1986	SeatonPark	5/05/1986	30/08/1986	117	2921.6	4171.6	1250.0	11.6	11.3	10.9	1250.0
YoungEtal_1994	1986	Nungarin	27/05/1986	31/08/1986	96	3253.1	4181.4	928.3	11.1	10.9	11.0	928.3
YoungEtal_1994	1986	Dalkeith	27/05/1986	6/09/1986	102	3253.1	4253.8	1000.8	11.1	10.9	11.1	1000.8
YoungEtal_1994	1986	SeatonPark	27/05/1986	8/09/1986	104	3253.1	4276.7	1023.7	11.1	10.9	11.1	1023.7
YoungEtal_1994	1986	Nungarin	19/06/1986	11/09/1986	84	3492.2	4321.6	829.4	10.9	11.0	11.3	829.4
YoungEtal_1994	1986	Dalkeith	19/06/1986	18/09/1986	91	3492.2	4404.5	912.3	10.9	11.0	11.4	912.3
YoungEtal_1994	1986	SeatonPark	19/06/1986	19/09/1986	92	3492.2	4416.9	924.7	10.9	11.0	11.4	924.7
YoungEtal_1994	1986	Nungarin	7/07/1986	22/09/1986	77	3648.0	4454.5	806.5	10.9	11.3	11.7	806.5
YoungEtal_1994	1986	Dalkeith	7/07/1986	27/09/1986	82	3648.0	4521.6	873.6	10.9	11.3	11.8	873.6
YoungEtal_1994	1986	SeatonPark	7/07/1986	29/09/1986	84	3648.0	4551.8	903.8	10.9	11.3	11.8	903.8
SmethamandDear2003	1985	SeatonPark	20/06/1985	3/10/1985	105	3110.5	4000.7	890.2	10.7	11.0	11.6	890.2
SmethamandDear2003	1985	Woogenellup	20/06/1985	3/10/1985	105	3110.5	4000.7	890.2	10.7	11.0	11.6	1002.9
SmethamandDear2003	1985	Trikkala	20/06/1985	3/10/1985	105	3110.5	4000.7	890.2	10.7	11.0	11.6	1002.9
